file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
CSVToO33247176;webcomm.octws.IntKey;IntKey;class;8;2;2;8;0;2;1;56
CSVToO33247176;webcomm.octws.InsertBuySellBookingResponse;InsertBuySellBookingResponse;class;0;2;1;0;0;2;1;46
CSVToO33247176;webcomm.octws.AccountAmountKey;AccountAmountKey;class;3;4;2;0;2;4;2;79
CSVToO33247176;webcomm.octws.Credentials;Credentials;class;0;4;1;0;2;4;2;77
CSVToO33247176;webcomm.octws.GetFinancialDiversBooking;GetFinancialDiversBooking;class;1;6;1;0;9;6;3;94
CSVToO33247176;webcomm.octws.GetLastError;GetLastError;class;0;0;1;0;0;0;0;26
CSVToO33247176;webcomm.octws.DossierKey;DossierKey;class;1;0;3;0;0;0;0;28
CSVToO33247176;webcomm.octws.GetModifiedBuySellBookingsResponse;GetModifiedBuySellBookingsResponse;class;1;5;1;0;1;3;2;80
CSVToO33247176;webcomm.octws.InsertUpdateAccountResponse;InsertUpdateAccountResponse;class;0;2;1;0;0;2;1;46
CSVToO33247176;webcomm.octws.GetBookyears;GetBookyears;class;0;0;1;0;0;0;0;26
CSVToO33247176;webcomm.octws.GetProducts;GetProducts;class;0;0;1;0;0;0;0;26
CSVToO33247176;webcomm.octws.UpdateInvoiceResponse;UpdateInvoiceResponse;class;0;2;1;0;0;2;1;46
CSVToO33247176;webcomm.octws.GetReportOpenSupplierResponse;GetReportOpenSupplierResponse;class;1;3;1;0;0;1;1;62
CSVToO33247176;webcomm.octws.CloseDossier;CloseDossier;class;0;0;1;0;0;0;0;26
CSVToO33247176;webcomm.octws.GetVatCodesResponse;GetVatCodesResponse;class;1;3;1;0;0;1;1;62
CSVToO33247176;webcomm.octws.HistoryRelationQueryData;HistoryRelationQueryData;class;1;10;1;0;35;10;5;128
CSVToO33247176;webcomm.octws.GetModifiedInvoicesResponse;GetModifiedInvoicesResponse;class;1;5;1;0;1;3;2;80
CSVToO33247176;webcomm.octws.GetDossiers;GetDossiers;class;0;0;1;0;0;0;0;26
CSVToO33247176;webcomm.octws.GetInvoiceResponse;GetInvoiceResponse;class;1;2;1;0;0;2;1;54
CSVToO33247176;webcomm.octws.BuySellBookingServiceData;BuySellBookingServiceData;class;3;29;1;0;325;27;14;351
CSVToO33247176;webcomm.octws.GetModifiedFinancialDiversBookingsResponse;GetModifiedFinancialDiversBookingsResponse;class;1;5;1;0;1;3;2;80
CSVToO33247176;webcomm.octws.GetRappelInformation;GetRappelInformation;class;0;2;1;0;0;2;1;55
CSVToO33247176;webcomm.octws.HistoryData;HistoryData;class;1;26;1;0;299;26;13;299
CSVToO33247176;webcomm.octws.ProductGroupKey;ProductGroupKey;class;1;0;3;0;0;0;0;28
CSVToO33247176;webcomm.octws.GetInvoiceResponse;GetInvoiceResponse;class;1;2;1;0;0;2;1;54
CSVToO33247176;webcomm.octws.InvoiceServiceData;InvoiceServiceData;class;2;27;1;0;276;25;13;326
CSVToO33247176;gui.window.config.LoginWindow;LoginWindow;class;2;11;5;0;0;2;2;71
CSVToO33247176;webcomm.octws.InsertDeliveryNote;InsertDeliveryNote;class;1;2;1;0;0;2;1;52
CSVToO33247176;webcomm.octws.HistoryRelationQueryData;HistoryRelationQueryData;class;1;10;1;0;35;10;5;128
CSVToO33247176;webcomm.octws.InsertUpdateAccountResponse;InsertUpdateAccountResponse;class;0;2;1;0;0;2;1;46
CSVToO33247176;webcomm.octws.GetModifiedInvoicesResponse;GetModifiedInvoicesResponse;class;1;5;1;0;1;3;2;80
CSVToO33247176;webcomm.octws.JournalBalance;JournalBalance;class;1;6;1;0;9;6;3;94
CSVToO33247176;webcomm.octws.HistoryCostCentreQueryData;HistoryCostCentreQueryData;class;1;18;1;0;135;18;9;196
CSVToO33247176;webcomm.octws.GetModifiedDeliveryNotesResponse;GetModifiedDeliveryNotesResponse;class;1;5;1;0;1;3;2;80
CSVToO33247176;webcomm.octws.GetFinancialJournalBalanceResponse;GetFinancialJournalBalanceResponse;class;1;2;1;0;0;2;1;54
CSVToO33247176;webcomm.octws.InsertUpdateProductResponse;InsertUpdateProductResponse;class;0;2;1;0;0;2;1;46
CSVToO33247176;webcomm.octws.BalancingServiceData;BalancingServiceData;class;1;6;1;0;9;6;3;94
CSVToO33247176;webcomm.octws.GetVatCodesResponse;GetVatCodesResponse;class;1;3;1;0;0;1;1;62
CSVToO33247176;webcomm.octws.GetModifiedRelationsResponse;GetModifiedRelationsResponse;class;1;8;1;0;4;4;3;112
CSVToO33247176;webcomm.octws.GetRappelInformationResponse;GetRappelInformationResponse;class;1;3;1;0;0;1;1;62
CSVToO33247176;webcomm.octws.GetInvoice;GetInvoice;class;1;6;1;0;9;6;3;94
CSVToO33247176;webcomm.octws.GetModifiedBalancingRelationsResponse;GetModifiedBalancingRelationsResponse;class;1;8;1;0;4;4;3;112
CSVToO33247176;webcomm.octws.OpenRelationQueryData;OpenRelationQueryData;class;1;10;1;0;35;10;5;128
CSVToO33247176;gui.component.custom.WaitProcess;WaitProcess;class;0;4;1;0;4;4;2;18
CSVToO33247176;webcomm.octws.GetErrorDescriptionResponse;GetErrorDescriptionResponse;class;0;2;1;0;0;2;1;54
CSVToO33247176;webcomm.octws.GetFinancialDiversBookingResponse;GetFinancialDiversBookingResponse;class;1;2;1;0;0;2;1;54
