file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ChatForFun48994749;com.springapp.mvc.config.WebSocketConfig;WebSocketConfig;class;5;2;2;0;1;2;0;25
ChatForFun48994749;com.springapp.mvc.model.web.UserResponce;UserResponce;class;6;6;1;0;9;6;3;41
ChatForFun48994749;com.springapp.mvc.controllers.UserController;UserController;class;15;8;1;0;4;3;1;70
ChatForFun48994749;com.springapp.mvc.services.UserDetailsService;UserDetailsService;interface;1;1;1;0;0;1;0;12
ChatForFun48994749;com.springapp.mvc.model.entity.MessageHistory;MessageHistory;class;12;8;1;0;8;8;4;57
ChatForFun48994749;com.springapp.mvc.services.UserServiceImplTest;UserServiceImplTest;class;9;10;1;0;45;10;3;63
ChatForFun48994749;com.springapp.mvc.services.MessageHistoryServiceImpl;MessageHistoryServiceImpl;class;9;11;1;0;0;4;3;97
ChatForFun48994749;com.springapp.mvc.controllers.MessageController;MessageController;class;9;2;1;0;0;2;1;37
ChatForFun48994749;com.springapp.mvc.config.AppConfig;AppConfig;class;7;0;1;0;0;0;0;19
ChatForFun48994749;com.springapp.mvc.repositories.UserRepository;UserRepository;interface;1;9;1;0;36;9;0;71
ChatForFun48994749;com.springapp.mvc.model.web.MessageHistoryDTO;MessageHistoryDTO;class;6;10;1;0;35;10;5;66
ChatForFun48994749;com.springapp.mvc.controllers.ServiceController;ServiceController;class;7;3;1;0;1;3;1;39
ChatForFun48994749;com.springapp.mvc.config.WebMvcConfig;WebMvcConfig;class;14;5;2;0;10;5;0;58
ChatForFun48994749;com.springapp.mvc.model.entity.UserRole;UserRole;enum;0;1;1;0;0;1;0;18
ChatForFun48994749;com.springapp.mvc.config.SecurityInit;SecurityInit;class;1;0;2;0;0;0;0;10
ChatForFun48994749;com.springapp.mvc.initializer.AppInitializer;AppInitializer;class;9;2;1;0;1;2;1;34
ChatForFun48994749;com.springapp.mvc.model.web.UserResponceStatus;UserResponceStatus;enum;0;0;1;0;0;0;0;10
ChatForFun48994749;com.springapp.mvc.repositories.MessageHistoryRepositoryImpl;MessageHistoryRepositoryImpl;class;6;6;1;0;0;6;1;44
ChatForFun48994749;com.springapp.mvc.services.UserService;UserService;interface;2;6;1;0;15;6;0;51
ChatForFun48994749;com.springapp.mvc.model.web.MessageHistoryDTOTest;MessageHistoryDTOTest;class;3;14;2;0;45;10;0;75
ChatForFun48994749;com.springapp.mvc.config.PersistenceConfig;PersistenceConfig;class;14;4;1;0;3;3;3;69
ChatForFun48994749;com.springapp.mvc.repositories.UserRepositoryImpl;UserRepositoryImpl;class;6;9;1;0;0;9;1;59
ChatForFun48994749;com.springapp.mvc.services.MessageHistoryService;MessageHistoryService;interface;1;4;1;0;6;4;0;39
ChatForFun48994749;com.springapp.mvc.services.UserDetailsServiceImpl;UserDetailsServiceImpl;class;11;2;1;0;0;1;2;41
ChatForFun48994749;com.springapp.mvc.config.SecurityConfig;SecurityConfig;class;12;3;2;0;3;3;2;69
ChatForFun48994749;com.springapp.mvc.AppTests;AppTests;class;9;2;1;0;0;2;2;33
ChatForFun48994749;com.springapp.mvc.config.AuthProvider;AuthProvider;class;10;3;1;0;1;2;1;37
ChatForFun48994749;com.springapp.mvc.model.web.UserDTO;UserDTO;class;5;11;1;0;25;11;5;66
ChatForFun48994749;com.springapp.mvc.model.web.UserDTOTest;UserDTOTest;class;3;15;1;0;45;10;0;96
ChatForFun48994749;com.springapp.mvc.model.entity.User;User;class;13;12;1;0;34;12;6;82
ChatForFun48994749;com.springapp.mvc.repositories.MessageHistoryRepository;MessageHistoryRepository;interface;1;6;1;0;15;6;0;50
ChatForFun48994749;com.springapp.mvc.services.UserServiceImpl;UserServiceImpl;class;10;14;1;0;0;6;2;111
ChatForFun48994749;com.springapp.mvc.controllers.HelloController;HelloController;class;3;4;1;0;6;4;0;32
