file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ChitChat-Client20237900;me.nrubin29.chitchat.client.ProgramImage;ProgramImage;enum;2;2;1;0;0;2;1;13
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketLoginResponse;PacketLoginResponse;class;2;3;2;0;0;3;3;20
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketChatAddUserHandler;PacketChatAddUserHandler;class;2;2;2;0;1;2;0;12
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketMessage;PacketMessage;class;3;6;2;0;0;6;5;32
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserStatusChangeHandler;PacketUserStatusChangeHandler;class;3;3;2;0;1;2;0;19
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketRegisterResponseHandler;PacketRegisterResponseHandler;class;4;4;2;0;1;2;0;24
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketChatCreate;PacketChatCreate;class;3;8;2;0;7;6;3;34
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketRegisterRequest;PacketRegisterRequest;class;1;3;2;0;0;3;3;16
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserLeave;PacketUserLeave;class;2;2;2;0;0;2;2;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserListHandler;PacketUserListHandler;class;3;3;2;0;1;2;0;15
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.Packet;Packet;class;0;0;1;16;0;0;1;5
ChitChat-Client20237900;me.nrubin29.chitchat.client.SettingsStage;SettingsStage;class;10;5;2;0;0;2;2;38
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketChatAddUser;PacketChatAddUser;class;2;4;2;0;0;4;3;20
ChitChat-Client20237900;me.nrubin29.chitchat.client.User;User;class;1;1;2;0;0;1;0;7
ChitChat-Client20237900;me.nrubin29.chitchat.common.Chat;Chat;class;3;14;1;0;3;11;4;60
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketChatRemoveUser;PacketChatRemoveUser;class;2;4;2;0;0;4;3;20
ChitChat-Client20237900;me.nrubin29.chitchat.client.GeneralSettingsPanel;GeneralSettingsPanel;class;4;3;2;0;3;1;0;28
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserPasswordChangeResponse;PacketUserPasswordChangeResponse;class;2;3;2;0;0;3;2;19
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketChatList;PacketChatList;class;2;2;2;0;0;2;2;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketChatRemoveUserHandler;PacketChatRemoveUserHandler;class;2;2;2;0;1;2;0;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.Notification;Notification;class;6;7;2;0;3;2;0;39
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketHandler;PacketHandler;class;1;3;1;9;1;3;1;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketHandlerManager;PacketHandlerManager;class;16;6;1;0;0;3;2;33
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserPasswordChange;PacketUserPasswordChange;class;2;4;2;0;0;4;2;20
ChitChat-Client20237900;me.nrubin29.chitchat.common.Message;Message;class;2;6;1;0;0;6;4;30
ChitChat-Client20237900;me.nrubin29.chitchat.client.ChatPanel;ChatPanel;class;15;11;2;0;3;3;3;74
ChitChat-Client20237900;me.nrubin29.chitchat.client.LoginPanel;LoginPanel;class;11;3;2;0;3;1;0;46
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserStatusChange;PacketUserStatusChange;class;3;3;2;0;0;3;3;17
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketLoginResponseHandler;PacketLoginResponseHandler;class;4;4;2;0;1;2;0;24
ChitChat-Client20237900;me.nrubin29.chitchat.client.Settings;Settings;class;1;29;1;0;1;7;3;83
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketChatCreateHandler;PacketChatCreateHandler;class;3;2;2;0;1;2;0;13
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketChatListHandler;PacketChatListHandler;class;3;3;2;0;1;2;0;16
ChitChat-Client20237900;me.nrubin29.chitchat.client.AccountSettingsPanel;AccountSettingsPanel;class;10;13;2;0;8;3;1;68
ChitChat-Client20237900;me.nrubin29.chitchat.client.JFXUtils;JFXUtils;class;6;13;1;0;15;5;0;65
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketMessageHandler;PacketMessageHandler;class;2;2;2;0;1;2;0;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserDisplayNameChangeHandler;PacketUserDisplayNameChangeHandler;class;3;3;2;0;1;2;0;21
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserPasswordChangeResponseHandler;PacketUserPasswordChangeResponseHandler;class;2;2;2;0;1;2;0;13
ChitChat-Client20237900;me.nrubin29.chitchat.common.ChatData;ChatData;class;0;3;1;0;0;3;3;17
ChitChat-Client20237900;me.nrubin29.chitchat.client.BubblePane;BubblePane;class;5;10;2;0;1;2;1;40
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserLeaveHandler;PacketUserLeaveHandler;class;2;2;2;0;1;2;0;12
ChitChat-Client20237900;me.nrubin29.chitchat.common.AbstractUser;AbstractUser;class;1;9;1;0;12;9;2;45
ChitChat-Client20237900;me.nrubin29.chitchat.client.packethandler.PacketUserJoinHandler;PacketUserJoinHandler;class;3;2;2;0;1;2;0;13
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserJoin;PacketUserJoin;class;2;2;2;0;0;2;2;12
ChitChat-Client20237900;me.nrubin29.chitchat.client.Main;Main;class;11;29;2;0;45;11;6;127
ChitChat-Client20237900;me.nrubin29.chitchat.client.ServerConnector;ServerConnector;class;2;18;1;0;2;7;6;93
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserDisplayNameChange;PacketUserDisplayNameChange;class;2;3;2;0;0;3;2;16
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketRegisterResponse;PacketRegisterResponse;class;2;3;2;0;0;3;3;20
ChitChat-Client20237900;me.nrubin29.chitchat.common.ChatManager;ChatManager;class;3;29;1;0;15;15;4;90
ChitChat-Client20237900;me.nrubin29.chitchat.common.packet.PacketUserList;PacketUserList;class;2;4;2;0;1;3;2;20
