file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Diablo2BankTracker48807460;logic.Account;Account;class;4;17;2;0;0;11;2;97
Diablo2BankTracker48807460;application.GUI;GUI;class;66;111;2;0;244;17;26;1084
Diablo2BankTracker48807460;application.ItemFrame_Animated;ItemFrame_Animated;class;18;17;2;0;0;4;1;141
Diablo2BankTracker48807460;logic.Manager;Manager;class;7;75;1;0;13;7;5;381
Diablo2BankTracker48807460;application.TreeViewable;TreeViewable;class;4;6;1;3;11;6;2;43
Diablo2BankTracker48807460;logic.Item;Item;class;5;32;2;0;42;16;9;145
Diablo2BankTracker48807460;logic.ItemType;ItemType;enum;2;22;1;0;15;7;2;131
Diablo2BankTracker48807460;application.ConfirmationBox;ConfirmationBox;class;12;3;2;0;1;3;2;51
Diablo2BankTracker48807460;logic.Character;Character;class;5;22;6;0;0;12;6;146
Diablo2BankTracker48807460;application.ModifiedTreeCell;ModifiedTreeCell;class;8;5;2;0;0;1;1;68
Diablo2BankTracker48807460;logic.ItemData;ItemData;class;1;19;1;0;13;10;6;100
Diablo2BankTracker48807460;logic.Tools;Tools;class;0;16;1;0;6;4;0;93
Diablo2BankTracker48807460;logic.ItemQuality;ItemQuality;enum;2;13;1;0;3;7;2;70
