file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Owner_;Owner_;class;11;0;1;0;0;0;9;21
Domain-Modeling-Assignement19465317;com.joseph.california.app.conf.ConnectionConfig;ConnectionConfig;class;16;4;1;0;6;4;0;60
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Account;Account;class;5;16;1;0;0;11;7;79
Domain-Modeling-Assignement19465317;com.joseph.california.services.Impl.TotalPeopleServiceImpl;TotalPeopleServiceImpl;class;5;1;1;0;0;1;1;25
Domain-Modeling-Assignement19465317;com.kabaso.askweb.respository.PersonRepository;PersonRepository;interface;2;0;1;0;0;0;0;15
Domain-Modeling-Assignement19465317;com.joseph.california.services.Impl.PeopleAgeServiceImpl;PeopleAgeServiceImpl;class;5;4;1;0;0;1;1;33
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Account_;Account_;class;5;0;1;0;0;0;3;12
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Horse_;Horse_;class;5;0;1;0;0;0;4;12
Domain-Modeling-Assignement19465317;com.joseph.california.respository.CustomerRepository;CustomerRepository;interface;3;0;1;0;0;0;0;16
Domain-Modeling-Assignement19465317;com.joseph.california.test.respository.HorseRepositoryTest;HorseRepositoryTest;class;10;6;1;0;13;6;3;55
Domain-Modeling-Assignement19465317;com.kabaso.askweb.domain.Club;Club;class;5;15;1;0;0;10;5;71
Domain-Modeling-Assignement19465317;com.joseph.california.test.respository.ClubRepositoryTest;ClubRepositoryTest;class;10;6;1;0;13;6;3;54
Domain-Modeling-Assignement19465317;com.joseph.california.test.respository.CustomerRepositoryTest;CustomerRepositoryTest;class;10;6;1;0;13;6;3;52
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Customer;Customer;class;4;12;1;0;0;7;3;57
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Club;Club;class;5;15;1;0;0;10;5;71
Domain-Modeling-Assignement19465317;com.joseph.california.respository.PersonRepository;PersonRepository;interface;3;0;1;0;0;0;0;17
Domain-Modeling-Assignement19465317;com.kabaso.askweb.domain.Account;Account;class;5;16;1;0;0;11;7;79
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Contact_;Contact_;class;3;0;1;0;0;0;3;11
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Customer_;Customer_;class;4;0;1;0;0;0;2;10
Domain-Modeling-Assignement19465317;com.kabaso.askweb.app.conf.ConnectionConfig;ConnectionConfig;class;16;4;1;0;6;4;0;60
Domain-Modeling-Assignement19465317;com.joseph.california.services.TotalPeopleService;TotalPeopleService;interface;1;1;1;0;0;1;0;15
Domain-Modeling-Assignement19465317;com.kabaso.askweb.test.respository.PersonRepositoryTest;PersonRepositoryTest;class;11;9;1;0;16;9;3;81
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Owner;Owner;class;11;15;1;0;21;10;10;85
Domain-Modeling-Assignement19465317;com.kabaso.askweb.test.services.TotalNumberTest;TotalNumberTest;class;10;6;1;0;13;6;2;53
Domain-Modeling-Assignement19465317;com.kabaso.askweb.services.PeopleAgeService;PeopleAgeService;interface;1;1;1;0;0;1;0;15
Domain-Modeling-Assignement19465317;com.kabaso.askweb.services.Impl.TotalPeopleServiceImpl;TotalPeopleServiceImpl;class;5;1;1;0;0;1;1;25
Domain-Modeling-Assignement19465317;com.joseph.california.services.PeopleAgeService;PeopleAgeService;interface;1;1;1;0;0;1;0;15
Domain-Modeling-Assignement19465317;com.kabaso.askweb.services.Services;Services;interface;2;5;1;0;10;5;0;17
Domain-Modeling-Assignement19465317;com.kabaso.askweb.test.services.PeopleAgeServiceTest;PeopleAgeServiceTest;class;12;6;1;0;9;6;3;66
Domain-Modeling-Assignement19465317;com.joseph.california.services.TotalClubsService;TotalClubsService;interface;1;1;1;0;0;1;0;15
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Person;Person;class;12;28;1;0;99;23;17;154
Domain-Modeling-Assignement19465317;com.kabaso.askweb.test.respository.CustomerRepositoryTest;CustomerRepositoryTest;class;10;6;1;0;13;6;3;50
Domain-Modeling-Assignement19465317;com.kabaso.askweb.domain.Contact;Contact;class;1;6;1;0;9;6;3;36
Domain-Modeling-Assignement19465317;com.joseph.california.test.services.PeopleAgeServiceTest;PeopleAgeServiceTest;class;12;6;1;0;9;6;3;66
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Person_;Person_;class;11;0;1;0;0;0;8;20
Domain-Modeling-Assignement19465317;com.joseph.california.test.respository.PersonRepositoryTest;PersonRepositoryTest;class;11;9;1;0;16;9;3;81
Domain-Modeling-Assignement19465317;com.kabaso.askweb.domain.Customer;Customer;class;4;12;1;0;0;7;3;57
Domain-Modeling-Assignement19465317;com.kabaso.askweb.services.Impl.PeopleAgeServiceImpl;PeopleAgeServiceImpl;class;5;4;1;0;0;1;1;33
Domain-Modeling-Assignement19465317;com.joseph.california.domain.Club_;Club_;class;4;0;1;0;0;0;2;10
