file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
FastLogin77154662;com.github.games647.fastlogin.bungee.tasks.ForceLoginTask;ForceLoginTask;class;10;20;2;0;26;8;1;79
FastLogin77154662;com.github.games647.fastlogin.core.importer.BPAImporter;BPAImporter;class;3;2;2;0;0;1;1;41
FastLogin77154662;com.github.games647.fastlogin.core.hooks.PasswordGenerator;PasswordGenerator;interface;1;1;1;0;0;1;0;4
FastLogin77154662;com.github.games647.fastlogin.core.shared.JoinManagement;JoinManagement;class;7;27;1;0;3;6;2;78
FastLogin77154662;com.github.games647.fastlogin.core.BalancedSSLFactory;BalancedSSLFactory;class;0;9;3;0;0;9;3;54
FastLogin77154662;com.github.games647.fastlogin.core.shared.MojangApiConnector;MojangApiConnector;class;2;30;1;0;7;6;12;128
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.protocollib.ProtocolLibLoginSource;ProtocolLibLoginSource;class;7;7;1;0;1;7;7;76
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.protocolsupport.ProtocolLoginSource;ProtocolLoginSource;class;2;5;1;0;0;5;1;25
FastLogin77154662;com.github.games647.fastlogin.bukkit.tasks.ForceLoginTask;ForceLoginTask;class;8;10;2;0;21;6;0;57
FastLogin77154662;com.github.games647.fastlogin.bukkit.commands.ImportCommand;ImportCommand;class;8;15;1;0;0;2;1;73
FastLogin77154662;com.github.games647.fastlogin.core.hooks.DefaultPasswordGenerator;DefaultPasswordGenerator;class;3;2;1;0;0;1;2;15
FastLogin77154662;com.github.games647.fastlogin.core.AuthStorage;AuthStorage;class;6;36;1;0;0;8;3;220
FastLogin77154662;com.github.games647.fastlogin.core.importer.ElDziAuthImporter;ElDziAuthImporter;class;3;4;2;0;0;1;1;47
FastLogin77154662;com.github.games647.fastlogin.core.SharedConfig;SharedConfig;class;1;7;1;0;0;4;1;22
FastLogin77154662;com.github.games647.fastlogin.core.importer.Importer;Importer;class;1;5;1;0;1;2;0;17
FastLogin77154662;com.github.games647.fastlogin.core.shared.PlatformPlugin;PlatformPlugin;interface;2;8;1;0;28;8;0;17
FastLogin77154662;com.github.games647.fastlogin.bukkit.hooks.CrazyLoginHook;CrazyLoginHook;class;9;15;1;0;0;4;2;100
FastLogin77154662;com.github.games647.fastlogin.bungee.FastLoginBungee;FastLoginBungee;class;22;29;2;0;60;13;3;138
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.BukkitJoinListener;BukkitJoinListener;class;8;8;1;0;0;4;2;44
FastLogin77154662;com.github.games647.fastlogin.bukkit.hooks.UltraAuthHook;UltraAuthHook;class;3;9;1;0;6;3;1;55
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.protocollib.EncryptionPacketListener;EncryptionPacketListener;class;7;5;2;0;0;3;1;61
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.protocollib.LoginSkinApplyListener;LoginSkinApplyListener;class;9;14;1;0;0;3;3;61
FastLogin77154662;com.github.games647.fastlogin.core.shared.ForceLoginMangement;ForceLoginMangement;class;10;29;1;0;0;8;3;85
FastLogin77154662;com.github.games647.fastlogin.bungee.tasks.AsyncToggleMessage;AsyncToggleMessage;class;6;13;1;0;0;5;5;62
FastLogin77154662;com.github.games647.fastlogin.core.PlayerProfile;PlayerProfile;class;0;14;1;0;37;14;6;57
FastLogin77154662;com.github.games647.fastlogin.core.shared.FastLoginCore;FastLoginCore;class;16;52;1;0;108;20;9;233
FastLogin77154662;com.github.games647.fastlogin.bukkit.tasks.DelayedAuthHook;DelayedAuthHook;class;9;15;1;0;0;3;1;63
FastLogin77154662;com.github.games647.fastlogin.bukkit.MojangApiBukkit;MojangApiBukkit;class;5;12;2;0;3;3;1;67
FastLogin77154662;com.github.games647.fastlogin.bukkit.hooks.xAuthHook;xAuthHook;class;4;13;1;0;4;3;1;79
FastLogin77154662;com.github.games647.fastlogin.bungee.BungeeLoginSource;BungeeLoginSource;class;2;5;1;0;0;5;1;26
FastLogin77154662;com.github.games647.fastlogin.bukkit.hooks.LogItHook;LogItHook;class;4;5;1;0;3;3;0;36
FastLogin77154662;com.github.games647.fastlogin.bukkit.EncryptionUtil;EncryptionUtil;class;1;13;1;0;28;8;0;106
FastLogin77154662;com.github.games647.fastlogin.bungee.tasks.AsyncPremiumCheck;AsyncPremiumCheck;class;10;4;2;0;0;4;3;43
FastLogin77154662;com.github.games647.fastlogin.core.shared.LoginSource;LoginSource;interface;0;3;1;0;3;3;0;7
FastLogin77154662;com.github.games647.fastlogin.bukkit.listener.protocollib.StartPacketListener;StartPacketListener;class;7;5;2;0;0;3;2;67
FastLogin77154662;com.github.games647.fastlogin.core.shared.LoginSession;LoginSession;class;1;6;1;0;7;6;4;44
FastLogin77154662;com.github.games647.fastlogin.bukkit.FastLoginBukkit;FastLoginBukkit;class;21;39;2;0;93;15;6;189
