file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Foreach56774608;com.scrnx.dao.DaoFactory;DaoFactory;class;23;69;1;0;253;23;23;206
Foreach56774608;com.scrnx.bean.StokKartiBean;StokKartiBean;class;6;28;2;0;131;22;5;138
Foreach56774608;com.scrnx.dao.TopluCariHesapExtresiDao;TopluCariHesapExtresiDao;class;2;14;2;0;0;4;2;113
Foreach56774608;com.scrnx.services.BankaHareketleriService;BankaHareketleriService;class;2;6;2;0;3;3;0;86
Foreach56774608;com.scrnx.model.StokGirisCikisDetayModel;StokGirisCikisDetayModel;class;0;18;1;0;135;18;9;85
Foreach56774608;com.scrnx.bean.OdemeGirisBean;OdemeGirisBean;class;7;26;2;0;40;16;5;144
Foreach56774608;com.scrnx.model.OdemeTahsilatGirisiModel;OdemeTahsilatGirisiModel;class;0;26;1;0;299;26;4;118
Foreach56774608;com.scrnx.dao.PersonelPerformansDao;PersonelPerformansDao;class;1;4;1;0;1;2;0;69
Foreach56774608;com.scrnx.services.AnasayfaService;AnasayfaService;class;3;6;2;0;3;3;0;79
Foreach56774608;com.scrnx.bean.AlisFaturasiBean;AlisFaturasiBean;class;9;73;2;0;1489;62;20;388
Foreach56774608;com.scrnx.dao.BakimKartiDetayDao;BakimKartiDetayDao;class;2;4;2;0;3;3;0;61
Foreach56774608;com.scrnx.bean.BankaGirisBean;BankaGirisBean;class;7;36;2;0;201;26;8;199
Foreach56774608;com.scrnx.model.KasaHareketiModel;KasaHareketiModel;class;0;22;1;0;209;22;11;104
Foreach56774608;com.scrnx.bean.SatisFaturasiBean;SatisFaturasiBean;class;13;86;2;0;1626;64;21;479
Foreach56774608;com.scrnx.services.ServiceFactory;ServiceFactory;class;13;39;1;0;78;13;13;117
Foreach56774608;com.scrnx.services.StokKartiService;StokKartiService;class;3;10;2;0;10;5;0;95
Foreach56774608;com.scrnx.dao.StokHareketleriDao;StokHareketleriDao;class;3;8;2;0;9;6;1;87
Foreach56774608;com.scrnx.services.DepoService;DepoService;class;3;6;2;0;3;3;0;77
Foreach56774608;com.scrnx.services.KasaHareketleriService;KasaHareketleriService;class;3;10;2;0;10;5;0;122
Foreach56774608;com.scrnx.services.BaseService;BaseService;class;1;19;1;9;3;6;2;63
Foreach56774608;com.scrnx.services.StokGirisCikislariService;StokGirisCikislariService;class;2;6;2;0;3;3;0;85
Foreach56774608;com.scrnx.bean.CariHesapExtresiBean;CariHesapExtresiBean;class;10;34;2;0;128;21;7;227
Foreach56774608;com.scrnx.model.BankaTanimlamalariModel;BankaTanimlamalariModel;class;0;14;1;0;77;14;7;67
