file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
FredSelfBoat56215879;frederikam.selfboat.util.Emoji;Emoji;enum;1;18;1;0;0;7;2;916
FredSelfBoat56215879;frederikam.selfboat.commandmeta.ICommandOwnerRestricted;ICommandOwnerRestricted;interface;1;0;1;0;0;0;0;3
FredSelfBoat56215879;frederikam.selfboat.command.fun.LeetCommand;LeetCommand;class;7;3;2;0;0;1;0;45
FredSelfBoat56215879;frederikam.selfboat.commandmeta.ICommand;ICommand;interface;4;1;1;0;0;1;0;8
FredSelfBoat56215879;frederikam.selfboat.command.fun.TextCommand;TextCommand;class;5;2;2;0;0;2;1;16
FredSelfBoat56215879;frederikam.selfboat.util.BrainfuckException;BrainfuckException;class;0;2;4;0;1;2;0;9
FredSelfBoat56215879;frederikam.selfboat.command.fun.JokeCommand;JokeCommand;class;8;8;2;0;0;1;0;35
FredSelfBoat56215879;frederikam.selfboat.lua.LuaDiscordLib;LuaDiscordLib;class;6;2;2;0;0;2;1;33
FredSelfBoat56215879;frederikam.selfboat.lua.LuaParser;LuaParser;class;20;29;1;0;24;7;5;193
FredSelfBoat56215879;frederikam.selfboat.lua.LuaUser;LuaUser;class;7;6;2;0;0;2;2;39
FredSelfBoat56215879;frederikam.selfboat.command.util.FindCommand;FindCommand;class;10;20;2;0;3;3;0;100
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.DBGetCommand;DBGetCommand;class;8;4;2;0;0;1;0;47
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.UptimeCommand;UptimeCommand;class;5;1;2;0;0;1;0;43
FredSelfBoat56215879;frederikam.selfboat.lua.LuaGuild;LuaGuild;class;7;6;2;0;1;2;2;37
FredSelfBoat56215879;frederikam.selfboat.SelfBoat;SelfBoat;class;27;7;1;0;0;2;8;111
FredSelfBoat56215879;frederikam.selfboat.command.fun.EndTrollCommand;EndTrollCommand;class;6;1;2;0;0;1;0;15
FredSelfBoat56215879;frederikam.selfboat.command.fun.RandomEmojiCommand;RandomEmojiCommand;class;6;2;2;0;0;1;0;19
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.RestartCommand;RestartCommand;class;7;4;2;0;0;1;0;42
FredSelfBoat56215879;frederikam.selfboat.commandmeta.CommandManager;CommandManager;class;7;22;1;0;4;5;3;84
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.TestCommand;TestCommand;class;6;1;2;0;0;1;0;17
FredSelfBoat56215879;frederikam.selfboat.command.util.BrainfuckCommand;BrainfuckCommand;class;7;33;2;0;0;2;3;107
FredSelfBoat56215879;frederikam.selfboat.util.LuaUtil;LuaUtil;class;2;5;1;0;0;1;0;17
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.ExitCommand;ExitCommand;class;6;3;2;0;0;1;0;30
FredSelfBoat56215879;frederikam.selfboat.command.maintenance.EvalCommand;EvalCommand;class;7;11;2;0;1;2;1;81
FredSelfBoat56215879;frederikam.selfboat.util.TextUtils;TextUtils;class;6;6;1;0;3;3;0;32
FredSelfBoat56215879;frederikam.selfboat.command.util.LuaCommandOLD;LuaCommandOLD;class;23;26;1;0;10;2;1;164
FredSelfBoat56215879;frederikam.selfboat.command.util.LuaCommand;LuaCommand;class;6;11;2;0;0;1;1;39
FredSelfBoat56215879;frederikam.selfboat.commandmeta.Command;Command;class;7;4;1;0;1;3;6;35
FredSelfBoat56215879;frederikam.selfboat.command.fun.AudioTrollCommand;AudioTrollCommand;class;11;12;2;0;1;2;1;76
FredSelfBoat56215879;frederikam.selfboat.command.util.SayCommand;SayCommand;class;6;2;2;0;0;1;0;29
FredSelfBoat56215879;frederikam.selfboat.command.util.ClearCommand;ClearCommand;class;7;6;2;0;0;1;0;37
FredSelfBoat56215879;frederikam.selfboat.util.HttpUtils;HttpUtils;class;0;7;1;0;10;5;1;44
FredSelfBoat56215879;frederikam.selfboat.commandmeta.UnknownCommand;UnknownCommand;class;5;1;1;0;0;1;0;22
FredSelfBoat56215879;frederikam.selfboat.command.fun.DanceCommand;DanceCommand;class;6;4;2;0;1;1;0;36
FredSelfBoat56215879;frederikam.selfboat.command.util.AvatarCommand;AvatarCommand;class;5;3;2;0;0;1;0;19
FredSelfBoat56215879;frederikam.selfboat.ChannelListener;ChannelListener;class;11;18;2;0;41;10;5;126
