file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
FreeShadowSocksSpider53997905;tianma.ss.spider.test.craw.impl.FreeVPNSSAccountCrawlerTester;FreeVPNSSAccountCrawlerTester;class;2;1;2;0;0;1;0;8
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.DefaultAccountCrawler;DefaultAccountCrawler;class;3;2;1;6;1;2;0;25
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.IShadowSocksAccountCrawler;IShadowSocksAccountCrawler;class;8;11;2;0;1;3;1;78
FreeShadowSocksSpider53997905;tianma.ss.spider.util.CharacterUtil;CharacterUtil;class;0;10;1;0;6;4;0;83
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.SoxOrzAccountCrawler;SoxOrzAccountCrawler;class;24;64;2;0;34;11;8;341
FreeShadowSocksSpider53997905;tianma.ss.spider.test.craw.impl.AccountCrawlerTester;AccountCrawlerTester;class;4;3;1;4;1;3;1;21
FreeShadowSocksSpider53997905;tianma.ss.spider.test.craw.impl.TianmaProAccountCrawlerTester;TianmaProAccountCrawlerTester;class;2;1;2;0;0;1;0;8
FreeShadowSocksSpider53997905;tianma.ss.spider.model.SSProgramConfig;SSProgramConfig;class;0;7;1;0;3;7;3;35
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.FreeShadowSocksAccountCrawler;FreeShadowSocksAccountCrawler;class;8;18;2;0;2;4;3;92
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.TianmaProAccountCrawler;TianmaProAccountCrawler;class;8;10;2;0;0;2;1;74
FreeShadowSocksSpider53997905;tianma.ss.spider.test.craw.impl.IShadowSocksAccountCrawlerTester;IShadowSocksAccountCrawlerTester;class;2;1;2;0;0;1;0;8
FreeShadowSocksSpider53997905;tianma.ss.spider.util.TextUtils;TextUtils;class;0;6;1;0;1;2;0;26
FreeShadowSocksSpider53997905;tianma.ss.spider.http.CookieStoreManager;CookieStoreManager;class;2;6;1;0;0;4;2;27
FreeShadowSocksSpider53997905;tianma.ss.spider.main.MainStarter;MainStarter;class;1;10;1;0;3;2;4;49
FreeShadowSocksSpider53997905;tianma.ss.spider.model.SoxOrzLoginStatus;SoxOrzLoginStatus;class;1;4;1;0;2;4;3;30
FreeShadowSocksSpider53997905;tianma.ss.spider.ShadowSocksSpider;ShadowSocksSpider;class;13;36;1;0;24;8;4;240
FreeShadowSocksSpider53997905;tianma.ss.spider.util.TLog;TLog;class;1;12;1;0;0;10;1;81
FreeShadowSocksSpider53997905;tianma.ss.spider.model.ShadowSocksConfig;ShadowSocksConfig;class;2;23;1;0;231;23;11;94
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.FreeVPNSSAccountCrawler;FreeVPNSSAccountCrawler;class;8;10;2;0;4;4;1;82
FreeShadowSocksSpider53997905;tianma.ss.spider.http.HttpClientsProxy;HttpClientsProxy;class;6;11;1;0;28;7;0;82
FreeShadowSocksSpider53997905;tianma.ss.spider.model.SoxOrzAccount;SoxOrzAccount;class;0;5;1;0;0;5;2;27
FreeShadowSocksSpider53997905;tianma.ss.spider.model.Config;Config;class;0;13;1;0;26;13;5;59
FreeShadowSocksSpider53997905;tianma.ss.spider.test.craw.impl.SoxOrzAccountCrawlerTester;SoxOrzAccountCrawlerTester;class;2;1;2;0;0;1;0;8
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.AccountCrawler;AccountCrawler;interface;1;3;1;0;3;3;1;28
FreeShadowSocksSpider53997905;tianma.ss.spider.craw.impl.GetShadowSocksAccountCrawler;GetShadowSocksAccountCrawler;class;8;11;2;0;1;3;1;76
