file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.TreeTableExample2;TreeTableExample2;class;5;74;6;0;176;18;13;416
GMusicDeduplicate5115646;gmusic.api.model.Song;Song;class;1;48;2;0;1096;48;16;173
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.PreserveFunction;PreserveFunction;enum;0;0;1;0;0;0;0;4
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.JTreeTable;JTreeTable;class;7;55;11;0;149;22;6;340
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.SHAHashCalculator;SHAHashCalculator;class;1;4;1;0;0;4;1;20
GMusicDeduplicate5115646;gmusic.api.skyjam.model.Track;Track;class;2;11;2;0;55;11;9;47
GMusicDeduplicate5115646;gmusic.api.model.DeletedSongs;DeletedSongs;class;0;2;1;0;0;2;1;10
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.FindDuplicateOption;FindDuplicateOption;class;2;23;1;0;231;23;12;84
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.GMusicRootRowNode;GMusicRootRowNode;class;4;20;2;0;169;19;1;86
GMusicDeduplicate5115646;gmusic.api.interfaces.IGoogleHttpClient;IGoogleHttpClient;interface;1;3;1;0;3;3;0;22
GMusicDeduplicate5115646;gmusic.api.model.QueryResults;QueryResults;class;1;6;1;0;9;6;3;28
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.AppTest;AppTest;class;5;3;2;0;3;3;0;29
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.HashCalculator;HashCalculator;interface;0;3;1;0;3;3;0;6
GMusicDeduplicate5115646;gmusic.api.impl.GoogleSkyJamAPI;GoogleSkyJamAPI;class;6;12;2;0;36;9;0;78
GMusicDeduplicate5115646;gmusic.api.model.Playlist;Playlist;class;1;14;1;0;77;14;7;63
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.AbstractTreeTableRowNode;AbstractTreeTableRowNode;class;2;9;1;2;10;5;0;33
GMusicDeduplicate5115646;gmusic.api.interfaces.IGoogleMusicAPI;IGoogleMusicAPI;interface;7;12;1;0;66;12;0;46
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.DuplicateFileTreeModel;DuplicateFileTreeModel;class;7;34;2;0;85;14;6;175
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.HashFunction;HashFunction;enum;0;0;1;0;0;0;0;4
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.ResizeableTableHeader;ResizeableTableHeader;class;4;87;7;0;197;22;6;239
GMusicDeduplicate5115646;gmusic.api.skyjam.model.TrackFeed;TrackFeed;class;1;2;1;0;1;2;2;11
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.AbstractCellEditor;AbstractCellEditor;class;0;15;1;0;24;9;1;63
GMusicDeduplicate5115646;gmusic.api.model.AddPlaylist;AddPlaylist;class;0;6;1;0;9;6;3;34
GMusicDeduplicate5115646;gmusic.api.skyjam.interfaces.IGoogleSkyJam;IGoogleSkyJam;interface;4;6;1;0;15;6;0;20
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.PreserveCalculator;PreserveCalculator;interface;1;1;1;0;0;1;0;6
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.model.GMusicTableRowNode;GMusicTableRowNode;class;4;20;2;0;0;17;3;81
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.DeduplicateSongs;DeduplicateSongs;class;18;52;3;0;63;12;19;350
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.AbstractTreeTableModel;AbstractTreeTableModel;class;2;37;1;1;59;14;2;172
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.TreeTableModel;TreeTableModel;interface;0;7;1;0;21;7;0;63
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.TreeTableModelAdapter;TreeTableModelAdapter;class;2;26;2;0;74;13;3;143
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.CustomTableHeaderRenderer;CustomTableHeaderRenderer;class;2;15;6;0;0;4;7;62
GMusicDeduplicate5115646;test.APIexample;APIexample;class;6;7;1;0;0;1;0;55
GMusicDeduplicate5115646;gmusic.api.skyjam.model.TrackFeedData;TrackFeedData;class;1;1;1;0;0;1;1;8
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.ui.treetable.SortableTableModel;SortableTableModel;interface;0;3;1;0;3;3;0;6
GMusicDeduplicate5115646;org.ekfliu.gmusic.deduplicate.DeleteSongs;DeleteSongs;class;3;3;1;0;0;1;0;20
