file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessResults;ProcessResults;class;4;26;1;0;0;2;3;115
InDelFixer5230707;jaligner.matrix.MatrixLoader;MatrixLoader;class;6;14;1;0;0;2;3;138
InDelFixer5230707;ch.ethz.bsse.indelfixer.ReadTest;ReadTest;class;1;1;1;0;0;1;0;18
InDelFixer5230707;jaligner.Cell;Cell;class;0;8;1;0;0;8;3;93
InDelFixer5230707;jaligner.TracebackNode;TracebackNode;class;0;7;1;0;0;7;2;87
InDelFixer5230707;jaligner.ui.filechooser.NamedInputStream;NamedInputStream;class;0;3;1;0;0;3;3;57
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessingSFFSingle;ProcessingSFFSingle;class;4;8;2;0;0;2;1;69
InDelFixer5230707;ch.ethz.bsse.indelfixer.utils.StatusUpdate;StatusUpdate;class;0;14;1;0;15;7;9;75
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.Hits;Hits;class;5;109;1;0;564;40;21;446
InDelFixer5230707;jaligner.util.Commons;Commons;class;1;17;1;0;26;8;11;195
InDelFixer5230707;jaligner.NeedlemanWunsch;NeedlemanWunsch;class;7;33;1;0;15;6;0;262
InDelFixer5230707;jaligner.SmithWatermanGotoh;SmithWatermanGotoh;class;8;51;1;0;15;6;0;305
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessingFastaSingle;ProcessingFastaSingle;class;4;49;2;0;4;4;1;184
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.TripleDouble;TripleDouble;class;0;1;1;0;0;1;3;30
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.Start;Start;class;14;89;1;0;31;11;40;475
InDelFixer5230707;ch.ethz.bsse.indelfixer.sffParser.SFFParsing;SFFParsing;class;4;5;1;0;0;1;0;57
InDelFixer5230707;jaligner.Markups;Markups;class;0;0;1;0;0;0;4;41
InDelFixer5230707;jaligner.Sequence;Sequence;class;1;18;1;0;13;18;7;221
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessingGeneral;ProcessingGeneral;class;5;61;1;3;22;8;9;289
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.Genome;Genome;class;0;9;1;0;0;6;3;81
InDelFixer5230707;jaligner.Directions;Directions;class;0;0;1;0;0;0;4;41
InDelFixer5230707;ch.ethz.bsse.indelfixer.GenomeTest;GenomeTest;class;2;2;1;0;1;2;1;30
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.parallel.ReadAlignment;ReadAlignment;class;10;150;1;0;58;12;7;439
InDelFixer5230707;jaligner.matrix.MatrixLoaderException;MatrixLoaderException;class;0;1;3;0;0;1;1;34
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessingIlluminaSingle;ProcessingIlluminaSingle;class;5;56;2;0;4;4;1;210
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.SequenceEntry;SequenceEntry;class;1;5;1;0;0;5;6;44
InDelFixer5230707;ch.ethz.bsse.indelfixer.utils.FastaParser;FastaParser;class;0;32;1;0;1;2;0;122
InDelFixer5230707;jaligner.Alignment;Alignment;class;4;89;1;0;721;42;19;590
InDelFixer5230707;ch.ethz.bsse.indelfixer.minimal.processing.ProcessingIlluminaPaired;ProcessingIlluminaPaired;class;5;47;2;0;1;3;2;195
InDelFixer5230707;jaligner.NeedlemanWunschGotoh;NeedlemanWunschGotoh;class;10;55;1;0;13;6;1;369
InDelFixer5230707;ch.ethz.bsse.indelfixer.sffParser.SFFParser;SFFParser;class;3;7;1;0;0;3;1;66
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.SimpleRead;SimpleRead;class;0;1;1;0;0;1;2;17
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.GapCosts;GapCosts;class;0;2;1;0;0;2;2;32
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.GridOutput;GridOutput;class;1;1;1;0;0;1;2;29
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.Kmer;Kmer;class;0;5;1;0;6;5;3;63
InDelFixer5230707;ch.ethz.bsse.indelfixer.sffParser.SFFRead;SFFRead;class;2;21;1;0;33;14;7;156
InDelFixer5230707;ch.ethz.bsse.indelfixer.utils.Utils;Utils;class;2;45;1;0;36;9;0;217
InDelFixer5230707;ch.ethz.bsse.indelfixer.sffParser.SFFFile;SFFFile;class;3;27;1;0;159;22;17;387
InDelFixer5230707;ch.ethz.bsse.indelfixer.stored.Globals;Globals;class;5;4;1;0;1;3;45;96
InDelFixer5230707;jaligner.matrix.Matrix;Matrix;class;1;4;1;0;0;4;4;69
