file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
KAdamsGroomingStore38981401;Grooming.connection.UserDB;UserDB;class;4;15;1;0;21;7;1;112
KAdamsGroomingStore38981401;Grooming.model.OrderItem;OrderItem;class;6;10;1;0;25;10;4;72
KAdamsGroomingStore38981401;Grooming.model.Product;Product;class;4;14;1;0;55;14;6;93
KAdamsGroomingStore38981401;Grooming.model.Order_;Order_;class;6;0;1;0;0;0;6;15
KAdamsGroomingStore38981401;Grooming.model.Product_;Product_;class;4;0;1;0;0;0;6;14
KAdamsGroomingStore38981401;Grooming.model.Cart;Cart;class;2;21;1;0;0;9;1;70
KAdamsGroomingStore38981401;Grooming.model.User;User;class;5;24;1;0;214;24;11;132
KAdamsGroomingStore38981401;Grooming.connection.PasswordUtil;PasswordUtil;class;1;4;1;0;0;1;0;27
KAdamsGroomingStore38981401;Grooming.model.Order;Order;class;9;17;1;0;96;17;8;114
KAdamsGroomingStore38981401;Grooming.controller.AdminController;AdminController;class;7;5;2;0;0;1;0;48
KAdamsGroomingStore38981401;Grooming.connection.DBUtil;DBUtil;class;1;13;1;0;6;4;1;37
KAdamsGroomingStore38981401;Grooming.controller.OrderController;OrderController;class;15;64;2;0;1;2;0;232
KAdamsGroomingStore38981401;Grooming.model.OrderItem_;OrderItem_;class;4;0;1;0;0;0;3;11
KAdamsGroomingStore38981401;Grooming.connection.ProductDB;ProductDB;class;4;11;1;0;15;6;1;90
KAdamsGroomingStore38981401;Grooming.model.User_;User_;class;4;0;1;0;0;0;11;19
KAdamsGroomingStore38981401;Grooming.connection.OrderDB;OrderDB;class;6;17;1;0;26;8;1;138
KAdamsGroomingStore38981401;Grooming.controller.CatalogController;CatalogController;class;6;19;2;0;0;1;0;86
