file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Library73624424;ru.mail.zahar.kolesnik.library.controllers.LogOutServlet;LogOutServlet;class;4;1;2;0;0;1;0;18
Library73624424;ru.mail.zahar.kolesnik.library.controllers.IssueBookServlet;IssueBookServlet;class;5;8;2;0;1;2;0;54
Library73624424;ru.mail.zahar.kolesnik.library.controllers.filters.FilterConnect;FilterConnect;class;9;11;1;0;0;3;1;56
Library73624424;ru.mail.zahar.kolesnik.library.controllers.EditClientServlet;EditClientServlet;class;5;4;2;0;0;1;0;31
Library73624424;ru.mail.zahar.kolesnik.library.models.entity.Client;Client;class;1;23;1;0;156;21;8;90
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ViewAllBooksServlet;ViewAllBooksServlet;class;6;2;2;0;0;1;0;29
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SearchClientServlet;SearchClientServlet;class;6;5;2;0;1;2;0;41
Library73624424;ru.mail.zahar.kolesnik.library.models.Library;Library;class;3;19;1;0;0;19;1;82
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SelectBookToIssueServlet;SelectBookToIssueServlet;class;6;5;2;0;1;2;0;42
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SelectClientToIssueServlet;SelectClientToIssueServlet;class;6;5;2;0;1;2;0;41
Library73624424;ru.mail.zahar.kolesnik.library.dao.impl.SqlDao;SqlDao;class;6;58;1;0;323;19;22;433
Library73624424;ru.mail.zahar.kolesnik.library.controllers.PersonalCabinetServlet;PersonalCabinetServlet;class;4;2;2;0;1;2;0;20
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SelectedBookServlet;SelectedBookServlet;class;6;3;2;0;1;2;0;33
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ViewIssuedBooksServlet;ViewIssuedBooksServlet;class;6;2;2;0;0;1;0;29
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ViewDebtorsServlet;ViewDebtorsServlet;class;6;2;2;0;0;1;0;29
Library73624424;ru.mail.zahar.kolesnik.library.dao.Dao;Dao;interface;2;17;1;0;136;17;0;28
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ViewMyRentedBooksServlet;ViewMyRentedBooksServlet;class;6;2;2;0;0;1;0;29
Library73624424;ru.mail.zahar.kolesnik.library.controllers.AddClientServlet;AddClientServlet;class;5;5;2;0;1;2;0;36
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ReturnBookServlet;ReturnBookServlet;class;6;5;2;0;1;2;0;41
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SelectedClientServlet;SelectedClientServlet;class;6;3;2;0;1;2;0;33
Library73624424;ru.mail.zahar.kolesnik.library.controllers.RemoveClientServlet;RemoveClientServlet;class;5;4;2;0;0;1;0;32
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SearchBookServlet;SearchBookServlet;class;6;5;2;0;1;2;0;42
Library73624424;ru.mail.zahar.kolesnik.library.controllers.AddBookServlet;AddBookServlet;class;5;3;2;0;1;2;0;31
Library73624424;ru.mail.zahar.kolesnik.library.controllers.SelectBookByClient;SelectBookByClient;class;6;4;2;0;1;2;0;43
Library73624424;ru.mail.zahar.kolesnik.library.models.entity.Book;Book;class;1;31;1;0;169;27;12;129
Library73624424;ru.mail.zahar.kolesnik.library.controllers.ViewAllClientsServlet;ViewAllClientsServlet;class;6;4;2;0;1;2;0;49
