file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
MusicSuggestor10987763;com.echo.settings.SettingsGUI;SettingsGUI;class;7;43;6;0;229;13;19;362
MusicSuggestor10987763;com.test.BasicPlayer;BasicPlayer;class;10;238;1;0;945;54;24;1188
MusicSuggestor10987763;com.echo.settings.checkSettings;checkSettings;class;3;13;1;0;0;2;1;75
MusicSuggestor10987763;com.echo.util.AppContants;AppContants;interface;0;0;1;0;0;0;7;19
MusicSuggestor10987763;com.echo.util.Search;Search;class;1;14;1;0;0;1;0;57
MusicSuggestor10987763;com.echo.gui.CodeStringGenerator;CodeStringGenerator;class;1;15;6;0;13;4;6;152
MusicSuggestor10987763;com.echo.db.DatabaseConnection;DatabaseConnection;class;1;6;1;0;0;2;1;37
MusicSuggestor10987763;com.echo.db.ArtistInfo;ArtistInfo;class;4;18;1;0;0;4;1;114
MusicSuggestor10987763;com.echo.bean.RegisterInfoBean;RegisterInfoBean;class;0;8;1;0;20;8;4;39
MusicSuggestor10987763;com.test.ControlComponent;ControlComponent;class;6;69;5;0;248;21;27;479
MusicSuggestor10987763;com.echo.sound.VolumeSlider;VolumeSlider;class;0;2;1;0;0;1;2;36
MusicSuggestor10987763;com.echo.bean.TrackInfoBean;TrackInfoBean;class;0;16;1;0;104;16;8;67
MusicSuggestor10987763;com.echo.gui.SuggestionJFrame;SuggestionJFrame;class;6;41;6;0;75;8;11;258
MusicSuggestor10987763;com.echo.render.SuggestionListTableCellRender;SuggestionListTableCellRender;class;0;7;6;0;0;1;0;40
MusicSuggestor10987763;com.echo.bean.UserInfoBean;UserInfoBean;class;0;4;1;0;2;4;2;25
MusicSuggestor10987763;com.echo.threads.DurationThread;DurationThread;class;5;9;1;0;0;6;9;210
MusicSuggestor10987763;com.echo.db.SuggestionInfoBean;SuggestionInfoBean;class;0;4;1;0;2;4;2;25
MusicSuggestor10987763;com.echo.bean.TrackMetaInfoBean;TrackMetaInfoBean;class;0;18;1;0;135;18;9;74
MusicSuggestor10987763;com.echo.db.TrackInfo;TrackInfo;class;3;18;1;0;0;3;1;95
MusicSuggestor10987763;com.echo.gui.EchoPlayer;EchoPlayer;class;11;99;6;0;1068;26;56;793
MusicSuggestor10987763;com.echo.gui.Login;Login;class;4;19;6;0;45;6;7;182
MusicSuggestor10987763;com.echo.bean.AlbumInfoBean;AlbumInfoBean;class;0;6;1;0;9;6;3;32
MusicSuggestor10987763;com.echo.bean.SongMetadata;SongMetadata;class;7;26;1;0;74;17;18;148
MusicSuggestor10987763;com.echo.threads.MyPlayerThread;MyPlayerThread;class;2;8;1;0;0;3;3;39
MusicSuggestor10987763;com.echo.db.LoginInfo;LoginInfo;class;3;6;1;0;0;1;1;44
MusicSuggestor10987763;com.echo.util.AppVariables;AppVariables;class;0;0;1;0;0;0;11;24
MusicSuggestor10987763;com.echo.sound.PlaySound;PlaySound;class;9;34;2;0;24;13;7;163
MusicSuggestor10987763;com.echo.settings.SettingsManager;SettingsManager;class;1;2;1;0;1;2;0;31
MusicSuggestor10987763;com.echo.bean.UserPlayListBean;UserPlayListBean;class;0;6;1;0;9;6;3;32
MusicSuggestor10987763;com.echo.settings.AppSettings;AppSettings;class;0;0;1;0;0;0;4;35
MusicSuggestor10987763;Test;Test;class;1;4;6;0;3;2;0;38
MusicSuggestor10987763;com.echo.render.PlayerListTableCellRender;PlayerListTableCellRender;class;0;5;6;0;0;1;0;28
MusicSuggestor10987763;com.echo.threads.RequestThread;RequestThread;class;6;6;1;0;1;3;10;110
MusicSuggestor10987763;com.echo.threads.JsliderThread;JsliderThread;class;2;7;1;0;0;2;4;38
MusicSuggestor10987763;com.echo.util.CheckCRC;CheckCRC;class;1;4;1;0;0;1;1;42
MusicSuggestor10987763;com.echo.bean.ArtistInfoBean;ArtistInfoBean;class;0;4;1;0;2;4;2;25
MusicSuggestor10987763;com.test.DalSongPlayer;DalSongPlayer;class;2;79;6;0;431;27;49;696
MusicSuggestor10987763;com.echo.bean.CodeStringBean;CodeStringBean;class;0;6;1;0;9;6;3;32
MusicSuggestor10987763;com.echo.db.CodeStringInfo;CodeStringInfo;class;9;26;1;0;0;5;3;142
MusicSuggestor10987763;com.test.URLRenderer;URLRenderer;class;1;25;6;0;30;9;3;115
