file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Password-Manager42785996;PmMockupUI;PmMockupUI;class;2;3;6;0;3;1;5;71
Password-Manager42785996;SignUp;SignUp;class;0;54;1;0;60;13;18;186
Password-Manager42785996;listUI;listUI;class;1;18;6;0;2;5;12;198
Password-Manager42785996;LoginGUI;LoginGUI;class;2;16;6;0;22;3;8;155
Password-Manager42785996;Login;Login;class;0;21;1;0;6;4;1;65
Password-Manager42785996;sidePanelUI;sidePanelUI;class;2;22;1;0;67;18;17;210
Password-Manager42785996;SignUpGUI;SignUpGUI;class;3;44;6;0;0;10;29;414
Password-Manager42785996;WelcomePanelUI;WelcomePanelUI;class;0;2;1;0;0;2;1;41
Password-Manager42785996;DataDriver;DataDriver;class;0;12;1;0;3;3;1;70
Password-Manager42785996;newAccount;newAccount;class;1;15;1;0;7;6;2;59
Password-Manager42785996;DefaultScreenUI;DefaultScreenUI;class;5;30;6;0;0;5;13;277
Password-Manager42785996;newUI;newUI;class;3;45;1;0;27;10;18;311
Password-Manager42785996;Password;Password;class;1;53;1;0;36;12;6;144
Password-Manager42785996;main;main;class;1;1;1;0;0;1;0;19
