file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Runner-Game62511980;LOGIC.Avatar;Avatar;class;1;102;1;0;59;18;14;292
Runner-Game62511980;Server.Server;Server;class;3;2;1;0;0;2;1;16
Runner-Game62511980;LOGIC.ScorePoint;ScorePoint;class;1;21;1;0;0;11;6;113
Runner-Game62511980;LOGIC.Score;Score;class;3;34;1;0;0;11;6;144
Runner-Game62511980;GUI.Instructions;Instructions;class;1;2;1;0;0;2;1;37
Runner-Game62511980;LOGIC.Physics;Physics;class;4;17;1;0;6;4;0;65
Runner-Game62511980;GUI.HighScores;HighScores;class;2;143;1;0;0;7;5;373
Runner-Game62511980;GUI.Player;Player;class;1;8;1;0;0;4;2;44
Runner-Game62511980;LOGIC.ListBox;ListBox;class;4;61;1;0;14;13;10;196
Runner-Game62511980;GUI.LoadFiles;LoadFiles;class;1;51;1;0;1052;49;18;344
Runner-Game62511980;GUI.Menu;Menu;class;1;20;1;0;0;5;3;86
Runner-Game62511980;GUI.Runner;Runner;class;2;1;1;0;0;1;3;31
Runner-Game62511980;Server.Handler;Handler;class;4;20;1;0;0;7;1;72
Runner-Game62511980;LOGIC.Box;Box;class;1;7;1;0;1;7;5;71
Runner-Game62511980;GUI.Game;Game;class;11;96;5;0;66;17;13;360
