file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SPN-Database41300681;admin.PrereqServlet;PrereqServlet;class;5;21;2;0;3;3;1;87
SPN-Database41300681;student.SPNDelete;SPNDelete;class;5;6;2;0;3;3;1;57
SPN-Database41300681;professor.RequestorChooseServlet;RequestorChooseServlet;class;5;21;2;0;10;5;1;104
SPN-Database41300681;student.NewRequestServlet;NewRequestServlet;class;8;26;2;0;6;4;1;140
SPN-Database41300681;utility.GetsSets;GetsSets;class;0;53;1;0;1322;53;26;191
SPN-Database41300681;student.RegisterClassServlet;RegisterClassServlet;class;9;10;2;0;3;3;1;94
SPN-Database41300681;student.RecordsServlet;RecordsServlet;class;5;9;2;0;3;3;1;79
SPN-Database41300681;admin.LoadFileServlet;LoadFileServlet;class;7;39;2;0;28;8;1;295
SPN-Database41300681;utility.DBManager;DBManager;class;2;57;1;0;0;13;2;357
SPN-Database41300681;utility.RegServlet;RegServlet;class;5;12;2;0;3;3;1;108
SPN-Database41300681;professor.ProfCourseServlet;ProfCourseServlet;class;5;12;2;0;3;3;1;90
SPN-Database41300681;student.EnterClassServlet;EnterClassServlet;class;5;12;2;0;6;4;1;88
SPN-Database41300681;professor.FillReqServlet;FillReqServlet;class;4;3;2;0;3;3;1;42
SPN-Database41300681;utility.WelcomeServlet;WelcomeServlet;class;5;12;2;0;3;3;1;76
SPN-Database41300681;admin.CourseServlet;CourseServlet;class;5;9;2;0;3;3;1;75
SPN-Database41300681;utility.Main;Main;class;0;1;1;0;0;1;0;8
SPN-Database41300681;utility.DBConnection;DBConnection;class;1;8;1;0;1;3;5;42
SPN-Database41300681;admin.AdminServlet;AdminServlet;class;5;5;2;0;3;3;1;61
SPN-Database41300681;professor.addMessageServlet;addMessageServlet;class;5;6;2;0;3;3;1;74
