file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Secure-Password-Manager-System51683455;main.AP;AP;class;4;8;5;0;17;2;2;105
Secure-Password-Manager-System51683455;main.Recognization;Recognization;class;13;15;1;0;1;2;2;95
Secure-Password-Manager-System51683455;main.Go;Go;class;13;10;1;0;0;1;2;83
Secure-Password-Manager-System51683455;main.Menu_bar;Menu_bar;class;8;6;5;0;9;6;1;105
Secure-Password-Manager-System51683455;main.Edit;Edit;class;6;12;1;0;1;3;6;136
Secure-Password-Manager-System51683455;main.Facebook;Facebook;class;5;2;1;0;0;1;2;32
Secure-Password-Manager-System51683455;main.main;main;class;4;4;1;0;0;1;4;69
Secure-Password-Manager-System51683455;main.Dreamspark;Dreamspark;class;4;3;1;0;1;2;2;37
Secure-Password-Manager-System51683455;main.Connect1;Connect1;class;1;37;1;0;0;11;5;239
Secure-Password-Manager-System51683455;main.Welcome;Welcome;class;2;2;1;0;1;2;1;69
Secure-Password-Manager-System51683455;main.EncryptDecryptMasterPW;EncryptDecryptMasterPW;class;2;5;1;0;0;4;5;88
Secure-Password-Manager-System51683455;main.Eigenface;Eigenface;class;6;3;1;0;1;2;0;58
Secure-Password-Manager-System51683455;main.Login;Login;class;5;11;6;0;1;3;3;123
Secure-Password-Manager-System51683455;main.Samsung;Samsung;class;5;2;1;0;0;1;2;29
Secure-Password-Manager-System51683455;main.Test;Test;class;0;1;1;0;0;1;0;113
Secure-Password-Manager-System51683455;main.Twitter;Twitter;class;4;2;1;0;1;2;2;25
Secure-Password-Manager-System51683455;main.Find;Find;class;8;19;1;0;2;4;3;101
Secure-Password-Manager-System51683455;main.Other;Other;class;6;3;1;0;1;2;2;42
Secure-Password-Manager-System51683455;main.Update;Update;class;3;2;1;0;0;1;0;28
Secure-Password-Manager-System51683455;main.MatToBufImg;MatToBufImg;class;4;5;1;0;0;4;3;54
Secure-Password-Manager-System51683455;main.Project;Project;class;4;8;1;0;8;5;2;47
Secure-Password-Manager-System51683455;main.ChangeMP;ChangeMP;class;4;12;1;0;1;3;4;140
Secure-Password-Manager-System51683455;main.Add;Add;class;7;11;6;0;1;3;5;144
Secure-Password-Manager-System51683455;main.Linkedin;Linkedin;class;6;3;1;0;1;2;2;37
Secure-Password-Manager-System51683455;main.Panel;Panel;class;0;1;5;0;0;1;0;16
Secure-Password-Manager-System51683455;main.changeMaster;changeMaster;class;0;7;1;0;1;2;4;53
Secure-Password-Manager-System51683455;main.Gmail;Gmail;class;7;3;1;0;1;2;2;46
Secure-Password-Manager-System51683455;main.FaceLoad;FaceLoad;class;10;12;1;0;1;3;1;93
Secure-Password-Manager-System51683455;main.NotUser;NotUser;class;2;2;1;0;1;2;1;57
Secure-Password-Manager-System51683455;main.Cancel;Cancel;class;0;2;1;0;0;2;1;22
Secure-Password-Manager-System51683455;main.Hackerrank;Hackerrank;class;6;3;1;0;1;2;2;42
Secure-Password-Manager-System51683455;main.Ok;Ok;class;1;2;1;0;0;2;1;23
Secure-Password-Manager-System51683455;main.EncryptDecrypt;EncryptDecrypt;class;3;5;1;0;1;3;4;94
Secure-Password-Manager-System51683455;main.Paypal;Paypal;class;4;3;1;0;1;2;2;32
Secure-Password-Manager-System51683455;main.Yahoo;Yahoo;class;3;2;1;0;0;1;2;24
Secure-Password-Manager-System51683455;main.Detail;Detail;class;2;3;1;0;0;1;2;91
Secure-Password-Manager-System51683455;main.Github;Github;class;4;3;1;0;1;2;2;31
Secure-Password-Manager-System51683455;main.Compare;Compare;class;4;9;5;0;5;6;7;67
Secure-Password-Manager-System51683455;main.NewClass;NewClass;class;0;0;1;0;0;0;0;11
Secure-Password-Manager-System51683455;main.Connect;Connect;class;3;65;1;0;0;16;4;408
Secure-Password-Manager-System51683455;main.Account_panel;Account_panel;class;4;10;5;0;17;2;2;112
Secure-Password-Manager-System51683455;main.FaceRec;FaceRec;class;2;7;5;0;4;5;2;46
Secure-Password-Manager-System51683455;main.inputDateTime;inputDateTime;class;0;5;1;0;0;2;4;42
Secure-Password-Manager-System51683455;main.ChangeUN;ChangeUN;class;4;7;1;0;1;3;3;95
Secure-Password-Manager-System51683455;main.Delete;Delete;class;6;4;1;0;0;2;3;90
Secure-Password-Manager-System51683455;main.Add1;Add1;class;9;14;6;0;1;3;6;169
Secure-Password-Manager-System51683455;main.signup;signup;class;6;8;1;0;1;3;4;120
Secure-Password-Manager-System51683455;main.Feels;Feels;class;3;2;1;0;0;1;2;25
