file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.Def.AppInstanceStates;AppInstanceStates;enum;0;0;1;0;0;0;0;32
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Exceptions.ACDRestClientException;ACDRestClientException;class;0;2;3;0;1;2;0;9
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Exceptions.AHEAuthenicationException;AHEAuthenicationException;class;0;2;3;0;1;2;0;9
ServiceBroker73297957;negotiation.Contract.AwsContract.AwsEc2ContractContents;AwsEc2ContractContents;class;1;5;2;0;10;5;3;114
ServiceBroker73297957;negotiation.HibernateImp.Contract;Contract;class;1;54;1;0;1377;54;27;215
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Exceptions.AHEAuthorizationException;AHEAuthorizationException;class;0;2;3;0;1;2;0;9
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Workflow.AHEWorkItemHandler.SubmissionAwsErrorWorkHandler;SubmissionAwsErrorWorkHandler;class;5;5;1;0;3;2;1;67
ServiceBroker73297957;test.AHECore.AHERestAPITest;AHERestAPITest;class;4;174;1;0;0;28;1;807
ServiceBroker73297957;test.util.http.AHEHTTPConnector;AHEHTTPConnector;class;33;165;1;0;0;60;19;1323
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Exceptions.PrepareException;PrepareException;class;0;2;3;0;1;2;0;9
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.jaxws.StopServer;StopServer;class;0;0;1;0;0;0;0;15
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.ConfigResource;ConfigResource;class;4;14;3;0;10;5;0;62
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.Def.AHE_XML_Element;AHE_XML_Element;enum;0;0;1;0;0;0;0;63
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Hibernate.AHEEntity.FileStaging;FileStaging;class;8;20;1;0;170;20;10;92
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.exception.AHEEncryptionException;AHEEncryptionException;class;0;4;3;0;6;4;0;18
ServiceBroker73297957;test.helper.AwsSocketClient;AwsSocketClient;class;0;2;1;0;0;1;0;38
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Workflow.AHEWorkItemHandler.FinishWorkHandler;FinishWorkHandler;class;5;2;1;0;1;2;1;18
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.message.JSON.Objects.Transfer;Transfer;class;1;7;1;0;15;7;3;27
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.message.XML.AHEMessageAPI;AHEMessageAPI;class;4;3;1;0;1;2;0;40
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.WorkerThread.Actions.TransferAction;TransferAction;class;1;1;2;0;0;1;0;7
ServiceBroker73297957;test.AHECore.AHEAuthroizationTest;AHEAuthroizationTest;class;1;10;1;0;45;10;0;34
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Hibernate.AHEEntity.AppRegistery;AppRegistery;class;11;16;1;0;104;16;8;100
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Hibernate.AHEEntity.AppInstanceCmds;AppInstanceCmds;class;7;10;1;0;35;10;5;59
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Configuration.AHEConfigFile;AHEConfigFile;class;2;3;2;0;3;3;0;20
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.WorkerThread.Actions.PollAction;PollAction;class;1;1;2;0;0;1;0;7
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.AppInstanceRuntimeResource;AppInstanceRuntimeResource;class;10;34;3;0;9;6;1;147
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Security.ACD.objects.ACDProxy;ACDProxy;class;0;12;1;0;54;12;6;45
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.AHEResource;AHEResource;class;6;39;2;5;15;7;1;274
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.ModuleHandler.AHEMessageUtility;AHEMessageUtility;class;14;33;1;0;21;7;1;207
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.RestAPI;RestAPI;class;8;7;1;0;0;4;5;306
ServiceBroker73297957;negotiation.Steerer.AccountingTimer;AccountingTimer;class;0;11;2;0;1;2;0;53
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.jaxws.StopServerResponse;StopServerResponse;class;0;0;1;0;0;0;0;15
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Workflow.AHEWorkItemHandler.StageOutPollWorkHandler;StageOutPollWorkHandler;class;10;27;1;0;4;4;3;146
ServiceBroker73297957;negotiation.HibernateImp.Offer;Offer;class;1;54;1;0;1377;54;27;192
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.message.JSON.JSONMessageUtil;JSONMessageUtil;class;2;7;1;0;21;7;0;94
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Workflow.AHEWorkItemHandler.PrepareWorkHandler;PrepareWorkHandler;class;5;2;1;0;1;2;1;18
ServiceBroker73297957;negotiation.Steerer.BrokerAccounting;BrokerAccounting;class;0;8;1;0;0;1;0;77
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Hibernate.AHEEntity.WorkflowDescription;WorkflowDescription;class;4;14;1;0;77;14;7;61
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.exception.AppInstanceAlreadyExistsException;AppInstanceAlreadyExistsException;class;0;2;3;0;1;2;0;9
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Workflow.AHEWorkItemHandler.InitWorkflowWorkHandler;InitWorkflowWorkHandler;class;5;5;1;0;1;2;1;33
ServiceBroker73297957;test.AHECore.AHEAuthenticationTest;AHEAuthenticationTest;class;1;3;1;0;3;3;0;25
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.API.Rest.AHERestletApplication;AHERestletApplication;class;21;1;2;0;0;1;0;121
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Engine.AHEEngine;AHEEngine;class;24;178;1;0;1508;56;4;1428
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.ModuleHandler.JobSubmissionHandler;JobSubmissionHandler;class;10;45;1;0;0;3;6;574
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Security.SecurityUserAPI;SecurityUserAPI;class;16;160;1;0;741;39;0;985
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHEModule.exception.AHEMyProxyDelegationException;AHEMyProxyDelegationException;class;0;4;3;0;6;4;0;18
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.ModuleHandler.MyProxyHandler;MyProxyHandler;class;8;21;1;0;0;5;1;164
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Security.ACD.objects.ACDCredentials;ACDCredentials;class;0;0;1;0;0;0;0;3
ServiceBroker73297957;uk.ac.ucl.chem.ccs.AHECore.Exceptions.AHEEncryptionException;AHEEncryptionException;class;0;4;3;0;6;4;0;18
ServiceBroker73297957;negotiation.Steerer.RedQueenTimer;RedQueenTimer;class;0;14;2;0;1;2;0;78
