file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SongFinder59047888;project3p2_webInterface.SongInfoServlet;SongInfoServlet;class;8;6;3;0;1;2;0;66
SongFinder59047888;project1_librarybuilding.Song;Song;class;3;15;1;0;0;12;3;138
SongFinder59047888;project1_librarybuilding.MusicLibraryBuilder;MusicLibraryBuilder;class;5;13;1;1;6;4;1;86
SongFinder59047888;comparators.ByArtistComparator;ByArtistComparator;class;1;5;1;0;0;1;0;24
SongFinder59047888;project4_database.FavoritesListServlet;FavoritesListServlet;class;6;12;3;0;3;3;0;66
SongFinder59047888;project3p2_webInterface.SearchServlet;SearchServlet;class;4;4;3;0;0;1;0;42
SongFinder59047888;project4_database.VerifyUserServlet;VerifyUserServlet;class;4;7;3;0;1;2;0;41
SongFinder59047888;ProjectTest;ProjectTest;class;3;31;1;0;28;8;4;225
SongFinder59047888;project2_multithreading.WorkQueue;WorkQueue;class;1;17;2;0;0;6;4;109
SongFinder59047888;project5_additionalFeatures.SearchHistoryServlet;SearchHistoryServlet;class;5;14;3;0;6;4;0;80
SongFinder59047888;Project2Test;Project2Test;class;6;0;1;0;0;0;0;12
SongFinder59047888;Project1Test;Project1Test;class;5;0;1;0;0;0;0;12
SongFinder59047888;project5_additionalFeatures.LastFMClient;LastFMClient;class;5;33;1;0;28;8;2;178
SongFinder59047888;project4_database.RegisterServlet;RegisterServlet;class;4;21;3;0;0;2;1;91
SongFinder59047888;project5_additionalFeatures.ArtistInfoServlet;ArtistInfoServlet;class;5;5;3;0;0;1;0;39
SongFinder59047888;Driver;Driver;class;5;15;1;0;0;1;9;77
SongFinder59047888;ThreadTest;ThreadTest;class;6;7;1;0;0;7;1;104
SongFinder59047888;project4_database.UserFavServlet;UserFavServlet;class;4;8;3;0;0;1;0;111
SongFinder59047888;project3p1_querybuilding.QueryWriter;QueryWriter;class;1;2;1;0;0;1;0;17
SongFinder59047888;project4_database.DBHelper;DBHelper;class;2;50;1;0;153;18;0;348
SongFinder59047888;Project3Test;Project3Test;class;7;0;1;0;0;0;0;12
SongFinder59047888;project5_additionalFeatures.ViewAllServlet;ViewAllServlet;class;7;14;3;0;3;3;0;76
SongFinder59047888;project1_librarybuilding.MusicLibrary;MusicLibrary;class;7;68;1;1;72;24;4;268
SongFinder59047888;project2_multithreading.ReentrantLock;ReentrantLock;class;0;29;1;0;2;9;2;134
SongFinder59047888;ThreadStressTest;ThreadStressTest;class;1;5;1;0;0;2;3;51
SongFinder59047888;SearchTest;SearchTest;class;1;4;1;0;6;4;0;61
SongFinder59047888;project3p2_webInterface.SongFinderServer;SongFinderServer;class;19;5;1;0;3;1;1;69
SongFinder59047888;project4_database.LoginServlet;LoginServlet;class;4;14;3;0;1;2;0;62
SongFinder59047888;LibraryTest;LibraryTest;class;1;9;1;0;6;9;6;67
SongFinder59047888;project2_multithreading.MultithreadedMusicLibraryBuilder;MultithreadedMusicLibraryBuilder;class;7;17;2;0;10;8;3;128
SongFinder59047888;project1_librarybuilding.LibraryWriter;LibraryWriter;class;1;10;1;0;6;4;0;78
SongFinder59047888;project4_database.LogoutServlet;LogoutServlet;class;3;1;3;0;0;1;0;13
SongFinder59047888;project3p2_webInterface.BaseServlet;BaseServlet;class;2;6;2;13;15;6;11;136
SongFinder59047888;comparators.ByIdComparator;ByIdComparator;class;1;1;1;0;0;1;0;9
SongFinder59047888;comparators.ByTitleComparator;ByTitleComparator;class;1;5;1;0;0;1;0;24
SongFinder59047888;project1_librarybuilding.ArgumentParser;ArgumentParser;class;0;22;1;0;46;17;1;172
SongFinder59047888;project2_multithreading.ThreadSafeMusicLibrary;ThreadSafeMusicLibrary;class;7;12;2;0;0;12;1;138
SongFinder59047888;project3p1_querybuilding.QueryBuilder;QueryBuilder;class;7;21;1;0;0;2;7;76
SongFinder59047888;project3p2_webInterface.SongsServlet;SongsServlet;class;8;29;3;0;3;3;0;121
SongFinder59047888;project5_additionalFeatures.UpdatePasswordServlet;UpdatePasswordServlet;class;4;20;3;0;0;2;1;85
