file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxLocalStorageFullException;DropboxLocalStorageFullException;class;1;1;4;0;0;1;1;29
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxParseException;DropboxParseException;class;1;8;4;0;3;3;1;57
SyncYourCloud9025424;syc.mvc.controller.Controller_addDrive;Controller_addDrive;class;2;24;1;0;1;3;2;97
SyncYourCloud9025424;syc.mvc.view.IHM_addDrive;IHM_addDrive;class;2;9;7;0;18;9;4;83
SyncYourCloud9025424;syc.mvc.view.Picture;Picture;class;0;11;4;0;7;6;3;65
SyncYourCloud9025424;api.CProgressListener;CProgressListener;class;1;5;2;0;1;2;2;24
SyncYourCloud9025424;org.kohsuke.args4j.spi.Messages;Messages;enum;1;3;1;0;0;1;1;25
SyncYourCloud9025424;CopyBetweenAccounts;CopyBetweenAccounts;class;16;56;3;0;53;15;7;285
SyncYourCloud9025424;org.kohsuke.args4j.spi.IntOptionHandler;IntOptionHandler;class;4;2;3;0;1;2;0;19
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxException;DropboxException;class;0;4;3;7;6;4;1;41
SyncYourCloud9025424;com.dropbox.client2.session.AbstractSession;AbstractSession;class;41;88;5;1;460;28;14;530
SyncYourCloud9025424;api.Sync;Sync;class;2;11;1;0;1;6;3;43
SyncYourCloud9025424;org.kohsuke.args4j.ClassParser;ClassParser;class;4;12;1;0;0;1;0;39
SyncYourCloud9025424;org.kohsuke.args4j.CmdLineParser;CmdLineParser;class;29;124;1;0;449;34;9;552
SyncYourCloud9025424;syc.mvc.controller.Controller_authorization;Controller_authorization;class;2;49;1;0;0;8;2;181
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxSSLException;DropboxSSLException;class;1;1;5;0;0;1;1;32
SyncYourCloud9025424;syc.mvc.view.IHM_home;IHM_home;class;2;15;7;0;69;15;7;150
SyncYourCloud9025424;syc.mvc.controller.Controller_home;Controller_home;class;2;28;1;0;1;3;2;99
SyncYourCloud9025424;syc.mvc.controller.Controller_drives;Controller_drives;class;2;31;1;0;1;3;2;120
SyncYourCloud9025424;com.dropbox.client2.session.RequestTokenPair;RequestTokenPair;class;1;1;3;0;0;1;1;14
SyncYourCloud9025424;api.EntrySkyDrive;EntrySkyDrive;class;6;11;2;0;0;2;2;54
SyncYourCloud9025424;org.kohsuke.args4j.IllegalAnnotationError;IllegalAnnotationError;class;0;3;3;0;3;3;1;23
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxIOException;DropboxIOException;class;1;2;4;1;1;2;1;36
SyncYourCloud9025424;org.kohsuke.args4j.spi.ArrayFieldSetter;ArrayFieldSetter;class;3;13;1;0;0;7;2;66
SyncYourCloud9025424;org.kohsuke.args4j.spi.StopOptionHandler;StopOptionHandler;class;5;3;2;0;3;3;0;45
SyncYourCloud9025424;com.dropbox.client2.session.WebAuthSession;WebAuthSession;class;8;11;2;0;15;7;2;212
SyncYourCloud9025424;syc.mvc.model.Singleton_Connexion;Singleton_Connexion;class;1;14;1;0;8;8;5;63
SyncYourCloud9025424;com.dropbox.client2.exception.DropboxFileSizeException;DropboxFileSizeException;class;1;1;4;0;0;1;1;33
SyncYourCloud9025424;com.dropbox.client2.jsonextract.JsonThing;JsonThing;class;7;64;3;0;427;30;2;185
SyncYourCloud9025424;org.kohsuke.args4j.spi.DoubleOptionHandler;DoubleOptionHandler;class;4;2;3;0;1;2;0;18
SyncYourCloud9025424;syc.mvc.view.IHM_authorization;IHM_authorization;class;2;14;7;0;32;12;9;132
SyncYourCloud9025424;api.DriveDropBox;DriveDropBox;class;16;51;1;0;87;19;9;200
SyncYourCloud9025424;syc.mvc.controller.Controller_editDrive;Controller_editDrive;class;2;28;1;0;1;3;2;111
SyncYourCloud9025424;syc.mvc.model.Model;Model;class;3;52;2;0;861;46;26;275
SyncYourCloud9025424;org.kohsuke.args4j.spi.Setters;Setters;class;6;8;1;0;1;2;0;28
SyncYourCloud9025424;syc.mvc.model.Connexion;Connexion;class;3;23;1;0;0;4;3;108
SyncYourCloud9025424;com.dropbox.client2.ProgressListener;ProgressListener;class;5;16;5;1;7;10;8;127
SyncYourCloud9025424;org.kohsuke.args4j.spi.ConfigElement;ConfigElement;class;0;1;1;0;0;1;9;24
SyncYourCloud9025424;org.kohsuke.args4j.spi.MapOptionHandler;MapOptionHandler;class;7;18;2;0;15;6;0;79
SyncYourCloud9025424;com.dropbox.client2.session.AccessTokenPair;AccessTokenPair;class;1;1;2;1;0;1;1;14
SyncYourCloud9025424;api.Config;Config;class;6;17;1;0;0;2;7;99
SyncYourCloud9025424;org.kohsuke.args4j.spi.SubCommandHandler;SubCommandHandler;class;9;17;2;0;34;7;1;140
