file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.ComparisonPanel;ComparisonPanel;class;8;25;5;0;8;5;3;144
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.StatsPanel;StatsPanel;class;8;66;5;0;0;6;4;131
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.RoundedImage;RoundedImage;class;1;3;1;0;0;2;1;46
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.MenuPanel;MenuPanel;class;4;14;5;0;8;3;2;91
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.CheckBoxOption;CheckBoxOption;class;0;3;7;0;0;2;2;24
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.Version;Version;class;1;9;1;0;0;8;5;41
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.ConnectionPanel;ConnectionPanel;class;8;53;5;0;21;7;5;219
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.SearchField;SearchField;class;1;18;6;0;34;4;3;114
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.AccountPanel;AccountPanel;class;9;14;5;0;0;2;4;132
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.Shortcut;Shortcut;class;2;8;1;0;0;1;0;49
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.ArchiveFile;ArchiveFile;class;4;17;1;0;6;2;0;86
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.UnzipUtils;UnzipUtils;class;0;13;1;0;0;1;0;42
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.panel.OptionsPanel;OptionsPanel;class;7;22;5;0;26;8;4;141
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.UserStats;UserStats;class;2;9;1;0;0;7;4;47
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.Share;Share;class;1;26;1;0;43;6;5;193
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.WordsMap;WordsMap;class;4;16;1;0;16;8;3;62
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.Frame;Frame;class;2;12;6;0;4;4;4;59
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.WordStats;WordStats;class;3;8;1;0;0;6;3;41
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.NumberStat;NumberStat;class;3;11;1;0;12;8;3;41
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.storage.Storage;Storage;class;6;22;1;0;0;5;1;91
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.Main;Main;class;6;16;1;0;0;4;3;96
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.TwitterUser;TwitterUser;class;4;20;1;0;6;16;3;84
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.Stats;Stats;class;14;66;1;0;0;8;7;210
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.statistics.UsersMap;UsersMap;class;4;20;1;0;16;8;3;67
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.TweetPreview;TweetPreview;class;7;53;1;0;19;5;5;294
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.storage.Data;Data;class;0;0;1;0;0;0;0;54
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.UpdateUtils;UpdateUtils;class;6;16;1;0;4;3;1;112
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.ScrollbarUI;ScrollbarUI;class;1;10;5;0;13;6;2;58
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.graphics.Button;Button;class;3;5;6;0;6;3;4;55
Twitter-Stalker-V.230827593;me.shadorc.twitterstalker.utility.Ressources;Ressources;class;4;4;1;0;3;3;10;34
