file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Twitter-Stalker22937806;me.shadorc.twitterstalker.frame.Storage;Storage;class;5;24;1;0;3;6;1;118
Twitter-Stalker22937806;me.shadorc.twitterstalker.frame.Connexion;Connexion;class;7;29;1;0;42;10;5;154
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.Text;Text;class;0;1;1;0;0;1;6;13
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.Coloration;Coloration;class;3;19;1;0;4;5;1;77
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.Stats;Stats;class;7;43;1;0;0;6;6;154
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.StatsComboBox;StatsComboBox;class;4;30;5;0;151;17;2;130
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.DetailsPanel;DetailsPanel;class;5;11;5;0;0;2;5;70
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.UserHistory;UserHistory;class;0;7;1;0;11;6;2;56
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.UserComboBoxRenderer;UserComboBoxRenderer;class;0;9;6;0;4;3;2;42
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.WordInfo;WordInfo;class;1;14;1;0;0;12;3;49
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.StatInfo;StatInfo;class;2;26;1;0;41;13;4;91
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.StatsPanel;StatsPanel;class;4;9;5;0;0;3;3;97
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.ChoicePanel;ChoicePanel;class;1;20;5;0;19;5;5;116
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.LenghtField;LenghtField;class;0;20;7;0;12;8;4;62
Twitter-Stalker22937806;me.shadorc.twitterstalker.frame.Upload;Upload;class;1;9;1;0;4;4;2;66
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.ComparaisonPanel;ComparaisonPanel;class;5;4;5;0;0;1;2;65
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.TextPane;TextPane;class;1;18;7;0;0;3;5;94
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.HomePanel;HomePanel;class;2;1;5;0;0;1;1;14
Twitter-Stalker22937806;me.shadorc.twitterstalker.frame.Fenetre;Fenetre;class;1;5;1;0;0;4;4;51
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.StatsComboBoxRenderer;StatsComboBoxRenderer;class;0;3;1;0;0;1;0;18
Twitter-Stalker22937806;me.shadorc.twitterstalker.component.UserComboBox;UserComboBox;class;3;26;5;0;38;12;5;95
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.TwitterUser;TwitterUser;class;3;17;1;0;4;13;2;81
Twitter-Stalker22937806;me.shadorc.twitterstalker.statistics.UserImage;UserImage;class;1;1;5;0;0;1;1;27
Twitter-Stalker22937806;me.shadorc.twitterstalker.panel.OptionsPanel;OptionsPanel;class;12;41;5;0;4;8;17;181
Twitter-Stalker22937806;me.shadorc.twitterstalker.frame.ErrorCenter;ErrorCenter;class;1;7;1;0;0;1;0;33
