file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
UniversalProxy58318965;net.md_5.bungee.api.CommandSender;CommandSender;interface;1;11;1;0;55;11;0;79
UniversalProxy58318965;net.md_5.bungee.protocol.packet.ClientSettings;ClientSettings;class;8;14;2;0;1;3;7;68
UniversalProxy58318965;net.md_5.bungee.compress.CompressFactory;CompressFactory;class;4;0;1;0;0;0;1;9
UniversalProxy58318965;net.md_5.bungee.netty.cipher.CipherEncoder;CipherEncoder;class;6;2;2;0;0;2;1;21
UniversalProxy58318965;net.md_5.bungee.jni.zlib.NativeZlib;NativeZlib;class;4;6;1;0;0;3;3;49
UniversalProxy58318965;net.md_5.bungee.chat.BaseComponentSerializer;BaseComponentSerializer;class;7;48;1;2;1;2;0;141
UniversalProxy58318965;net.md_5.bungee.forge.ForgeServerHandshakeState;ForgeServerHandshakeState;enum;6;20;1;0;45;10;0;120
UniversalProxy58318965;net.md_5.bungee.api.Favicon;Favicon;class;9;12;1;0;8;5;2;94
UniversalProxy58318965;net.md_5.bungee.config.YamlConfigurationTest;YamlConfigurationTest;class;3;2;1;0;1;2;1;70
UniversalProxy58318965;net.md_5.bungee.api.scheduler.GroupedThreadFactory;GroupedThreadFactory;class;3;3;2;0;1;3;1;26
UniversalProxy58318965;net.md_5.bungee.jni.cipher.BungeeCipher;BungeeCipher;interface;2;4;1;0;6;4;0;15
UniversalProxy58318965;net.md_5.bungee.api.plugin.Listener;Listener;interface;0;0;1;0;0;0;0;7
UniversalProxy58318965;net.md_5.bungee.protocol.packet.ScoreboardDisplay;ScoreboardDisplay;class;7;3;2;0;1;3;2;37
UniversalProxy58318965;net.md_5.bungee.EncryptionUtil;EncryptionUtil;class;8;18;1;0;34;9;4;131
UniversalProxy58318965;net.md_5.bungee.api.plugin.PluginDescription;PluginDescription;class;3;0;1;0;0;0;8;48
UniversalProxy58318965;net.md_5.bungee.command.PlayerCommand;PlayerCommand;class;6;6;2;2;10;3;0;44
UniversalProxy58318965;net.md_5.bungee.api.plugin.DummyPlugin;DummyPlugin;class;3;0;2;0;0;0;1;8
UniversalProxy58318965;net.md_5.bungee.api.chat.TextComponent;TextComponent;class;8;43;2;0;9;7;2;196
UniversalProxy58318965;net.md_5.bungee.Bootstrap;Bootstrap;class;0;3;1;0;0;1;0;14
UniversalProxy58318965;net.md_5.bungee.command.CommandEnd;CommandEnd;class;2;4;2;0;1;2;0;27
UniversalProxy58318965;net.md_5.bungee.log.ConciseFormatter;ConciseFormatter;class;0;3;2;0;0;1;1;30
UniversalProxy58318965;net.md_5.bungee.module.cmd.auth.PluginServer;PluginServer;class;2;1;2;0;0;1;0;10
UniversalProxy58318965;net.md_5.bungee.api.event.PermissionCheckEvent;PermissionCheckEvent;class;7;1;2;0;0;1;3;36
UniversalProxy58318965;io.github.waterfallmc.waterfall.utils.UUIDUtils;UUIDUtils;class;1;18;1;0;21;7;0;62
UniversalProxy58318965;net.md_5.bungee.query.RemoteQuery;RemoteQuery;class;7;1;1;0;0;1;2;24
