file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
VSMSRenewedDup50398583;DAO.OrderDAO;OrderDAO;class;4;25;1;0;36;9;0;266
VSMSRenewedDup50398583;javamail.EmailController;EmailController;class;9;14;1;0;9;6;3;122
VSMSRenewedDup50398583;Model.Supplier;Supplier;class;1;22;1;0;121;22;9;89
VSMSRenewedDup50398583;Controller.UtilityController;UtilityController;class;0;9;1;0;6;4;0;35
VSMSRenewedDup50398583;javamail.TestHTMLMail;TestHTMLMail;class;3;2;1;0;0;1;0;45
VSMSRenewedDup50398583;Model.Vendor;Vendor;class;1;20;1;0;90;20;8;81
VSMSRenewedDup50398583;Model.Orderline;Orderline;class;0;16;1;0;64;16;7;73
VSMSRenewedDup50398583;AutoCompleteServlet;AutoCompleteServlet;class;7;20;2;0;8;5;3;140
VSMSRenewedDup50398583;Model.Ingredient;Ingredient;class;0;14;1;0;29;14;6;65
VSMSRenewedDup50398583;Controller.IngredientController;IngredientController;class;6;26;2;0;153;18;0;156
VSMSRenewedDup50398583;DAO.UserDAO;UserDAO;class;4;75;1;0;147;18;1;538
VSMSRenewedDup50398583;Model.Dish;Dish;class;2;16;1;0;7;15;5;83
VSMSRenewedDup50398583;Controller.SearchController;SearchController;class;3;2;1;0;0;1;2;26
VSMSRenewedDup50398583;Controller.OrderController;OrderController;class;9;32;2;0;91;14;0;220
VSMSRenewedDup50398583;Model.FavouriteSupplier;FavouriteSupplier;class;0;6;1;0;0;6;2;24
VSMSRenewedDup50398583;DAO.IngredientDAO;IngredientDAO;class;2;140;1;0;120;16;0;794
VSMSRenewedDup50398583;Controller.ConnectionManager;ConnectionManager;class;1;16;1;0;1;2;4;110
VSMSRenewedDup50398583;Model.Order;Order;class;2;16;1;0;18;16;5;71
VSMSRenewedDup50398583;Controller.UserController;UserController;class;2;11;1;0;55;11;0;40
VSMSRenewedDup50398583;Servlet.LoginServlet;LoginServlet;class;9;12;2;0;13;6;1;129
VSMSRenewedDup50398583;javamail.GMailAuthenticator;GMailAuthenticator;class;3;2;2;0;0;2;2;17
VSMSRenewedDup50398583;javamail.Test;Test;class;3;3;1;0;0;1;0;37
