file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetFileInfoResponseImpl;GetFileInfoResponseImpl;class;3;2;2;0;0;2;1;28
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.RenameMethod;RenameMethod;class;7;9;2;0;0;1;0;142
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.RegisterNewUserResponseImpl;RegisterNewUserResponseImpl;class;3;4;2;0;2;4;2;41
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetFriendsRequestImpl;GetFriendsRequestImpl;class;2;5;2;0;6;5;2;49
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.MoveMethod;MoveMethod;class;6;9;2;0;0;1;0;138
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.AddToMyBoxResponse;AddToMyBoxResponse;interface;1;0;1;0;0;0;0;10
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.objects.BoxImpl;BoxImpl;class;1;6;1;0;9;6;3;56
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetAuthTokenResponseImpl;GetAuthTokenResponseImpl;class;3;4;2;0;2;4;2;43
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetFriendsResponseImpl;GetFriendsResponseImpl;class;2;4;2;0;2;4;2;43
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.AddToTagRequest;AddToTagRequest;interface;1;8;1;0;28;8;0;46
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.factories.BoxResponseFactory;BoxResponseFactory;class;25;22;2;0;231;22;1;234
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.objects.BoxFileImpl;BoxFileImpl;class;1;20;1;0;170;20;10;161
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetAuthTokenRequestImpl;GetAuthTokenRequestImpl;class;2;3;2;0;1;3;1;34
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.RegisterNewUserMethod;RegisterNewUserMethod;class;8;17;2;0;0;1;0;201
Web-Page-to-PDF-Bookmarklet3972819;com.mindstorm.pdfboomarklet.BookmarkletServlet;BookmarkletServlet;class;8;4;2;0;0;1;2;65
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.PrivateShareRequest;PrivateShareRequest;interface;1;12;1;0;66;12;0;64
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetFileInfoRequestImpl;GetFileInfoRequestImpl;class;2;5;2;0;6;5;2;49
Web-Page-to-PDF-Bookmarklet3972819;com.mindstorm.pdfboomarklet.PDFGenServlet;PDFGenServlet;class;15;13;2;0;1;2;3;139
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.ExportTagsResponseImpl;ExportTagsResponseImpl;class;2;4;2;0;2;4;2;43
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.SetDescriptionMethod;SetDescriptionMethod;class;7;9;2;0;0;1;0;140
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.PublicShareRequestImpl;PublicShareRequestImpl;class;2;13;2;0;66;13;6;109
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.objects.BoxUser;BoxUser;interface;0;12;1;0;66;12;0;64
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.LogoutResponseImpl;LogoutResponseImpl;class;2;0;2;0;0;0;0;12
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.BoxResponseImpl;BoxResponseImpl;class;0;2;1;19;0;2;1;25
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.CreateFolderRequest;CreateFolderRequest;interface;1;8;1;0;28;8;0;46
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.DownloadRequestImpl;DownloadRequestImpl;class;2;9;2;0;28;9;4;86
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.objects.BoxFolder;BoxFolder;interface;0;20;1;0;190;20;0;100
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.GetAuthTokenMethod;GetAuthTokenMethod;class;7;18;2;0;1;2;0;184
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.constant.BoxConstant;BoxConstant;class;0;0;1;0;0;0;177;403
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.LogoutResponse;LogoutResponse;interface;1;0;1;0;0;0;0;10
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.GetTicketResponse;GetTicketResponse;interface;1;2;1;0;1;2;0;19
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.CreateFolderResponseImpl;CreateFolderResponseImpl;class;3;2;2;0;0;2;1;28
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetTicketResponseImpl;GetTicketResponseImpl;class;2;2;2;0;0;2;1;27
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.objects.Box;Box;interface;0;6;1;0;15;6;0;49
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.BoxExternalAPI;BoxExternalAPI;interface;44;22;1;0;231;22;0;476
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.RequestFriendsRequestImpl;RequestFriendsRequestImpl;class;2;9;2;0;28;9;4;79
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.RequestFriendsResponseImpl;RequestFriendsResponseImpl;class;2;0;2;0;0;0;0;12
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.factories.BoxRequestFactory;BoxRequestFactory;class;25;44;2;0;946;44;1;736
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.test.BaseBoxTestCase;BaseBoxTestCase;class;53;36;2;3;0;4;22;1049
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.objects.BoxAbstractFileImpl;BoxAbstractFileImpl;class;2;20;1;0;117;19;9;177
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.factories.BaseBoxFactory;BaseBoxFactory;class;3;13;1;3;0;2;3;84
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.factories.BoxObjectFactory;BoxObjectFactory;class;10;9;2;0;36;9;0;100
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.DeleteResponseImpl;DeleteResponseImpl;class;2;0;2;0;0;0;0;12
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.ExportTagsMethod;ExportTagsMethod;class;6;13;2;0;0;1;0;124
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.GetTicketRequest;GetTicketRequest;interface;1;0;1;0;0;0;0;10
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.GetAccountTreeResponseImpl;GetAccountTreeResponseImpl;class;2;4;2;0;2;4;2;46
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.RenameResponse;RenameResponse;interface;1;0;1;0;0;0;0;10
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.PublicUnshareRequest;PublicUnshareRequest;interface;1;6;1;0;15;6;0;37
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.AddToMyBoxResponseImpl;AddToMyBoxResponseImpl;class;2;0;2;0;0;0;0;12
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.PublicUnshareMethod;PublicUnshareMethod;class;6;9;2;0;0;1;0;129
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.RenameRequestImpl;RenameRequestImpl;class;2;9;2;0;28;9;4;78
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.GetTicketMethod;GetTicketMethod;class;6;17;2;0;1;2;0;130
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.AddToMyBoxRequest;AddToMyBoxRequest;interface;0;12;1;0;66;12;0;64
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.GetAccountTreeResponse;GetAccountTreeResponse;interface;1;4;1;0;6;4;0;29
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.GetFileInfoResponse;GetFileInfoResponse;interface;2;2;1;0;1;2;0;20
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.objects.UploadResultImpl;UploadResultImpl;class;2;6;1;0;9;6;3;57
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.GetAccountTreeRequest;GetAccountTreeRequest;interface;1;6;1;0;15;6;0;37
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.objects.BoxFolderImpl;BoxFolderImpl;class;1;20;1;0;170;20;10;161
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.AddToTagResponseImpl;AddToTagResponseImpl;class;2;0;2;0;0;0;0;12
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.GetFriendsMethod;GetFriendsMethod;class;6;23;2;0;0;1;1;166
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.ExportTagsRequestImpl;ExportTagsRequestImpl;class;2;3;2;0;1;3;1;34
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.UploadResponse;UploadResponse;interface;1;2;1;0;1;2;0;21
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.AddToTagRequestImpl;AddToTagRequestImpl;class;2;9;2;0;28;9;4;79
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.methods.DownloadMethod;DownloadMethod;class;4;3;2;0;0;1;0;52
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.objects.UploadResult;UploadResult;interface;1;6;1;0;15;6;0;37
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.utils.ConverterUtils;ConverterUtils;class;8;78;1;0;21;7;0;275
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.AddToMyBoxRequestImpl;AddToMyBoxRequestImpl;class;2;11;2;0;45;11;5;94
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.impl.simple.functions.MoveResponseImpl;MoveResponseImpl;class;2;0;2;0;0;0;0;11
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.PublicUnshareResponse;PublicUnshareResponse;interface;1;0;1;0;0;0;0;10
Web-Page-to-PDF-Bookmarklet3972819;cn.com.believer.songyuanframework.openapi.storage.box.functions.RequestFriendsRequest;RequestFriendsRequest;interface;1;8;1;0;28;8;0;46
