file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
YoutubeCopycat81822971;elements.PlaylistVideoComponent;PlaylistVideoComponent;class;5;8;6;0;0;3;3;64
YoutubeCopycat81822971;views.VideoTab;VideoTab;class;6;8;5;0;1;6;4;78
YoutubeCopycat81822971;API.Auth;Auth;class;12;3;1;0;0;1;3;64
YoutubeCopycat81822971;views.CentralView;CentralView;class;4;5;5;0;4;5;4;47
YoutubeCopycat81822971;app.YoutubeCopycat;YoutubeCopycat;class;2;2;1;0;0;1;0;14
YoutubeCopycat81822971;views.PlayerControlsPanel;PlayerControlsPanel;class;5;44;5;0;84;15;19;420
YoutubeCopycat81822971;elements.LocalSearchButton;LocalSearchButton;class;3;2;6;0;1;1;0;30
YoutubeCopycat81822971;elements.makeChangesButton;makeChangesButton;class;2;2;6;0;0;1;2;23
YoutubeCopycat81822971;elements.ImportPlaylistButton;ImportPlaylistButton;class;2;5;6;0;1;1;1;44
YoutubeCopycat81822971;views.BottomView;BottomView;class;0;1;5;0;0;1;2;30
YoutubeCopycat81822971;views.PlaylistRightSideBarView;PlaylistRightSideBarView;class;7;17;5;0;0;9;9;162
YoutubeCopycat81822971;views.PlaylistTab;PlaylistTab;class;4;12;5;0;23;6;5;100
YoutubeCopycat81822971;elements.OurVideo;OurVideo;class;2;43;1;0;93;19;12;183
YoutubeCopycat81822971;elements.ClosePlaylistButton;ClosePlaylistButton;class;1;2;6;0;0;1;1;18
YoutubeCopycat81822971;views.Home;Home;class;2;1;5;0;0;1;3;69
YoutubeCopycat81822971;views.SearchTab;SearchTab;class;4;6;5;0;0;4;4;70
YoutubeCopycat81822971;elements.SettingsButton;SettingsButton;class;1;3;6;0;1;1;0;25
YoutubeCopycat81822971;app.UserInterface;UserInterface;class;7;8;6;0;14;8;7;73
YoutubeCopycat81822971;views.LeftSideBarView;LeftSideBarView;class;4;7;5;0;0;2;1;117
YoutubeCopycat81822971;views.TopView;TopView;class;1;13;5;0;18;5;4;81
YoutubeCopycat81822971;elements.Playlist;Playlist;class;2;23;1;0;0;12;2;66
YoutubeCopycat81822971;views.VideoPlayer;VideoPlayer;class;7;12;5;0;9;6;4;89
YoutubeCopycat81822971;app.AppController;AppController;class;8;60;1;0;0;21;3;279
YoutubeCopycat81822971;API.APIManager;APIManager;class;11;16;1;0;0;4;3;131
YoutubeCopycat81822971;elements.addToPlaylistButton;addToPlaylistButton;class;2;2;6;0;0;1;2;22
YoutubeCopycat81822971;elements.PlaylistComponent;PlaylistComponent;class;4;9;5;0;0;7;5;79
YoutubeCopycat81822971;elements.OurVideoComponent;OurVideoComponent;class;2;13;5;1;27;11;6;79
YoutubeCopycat81822971;elements.SavePlaylistButton;SavePlaylistButton;class;1;2;6;0;1;1;0;16
