file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonExtractor;JsonExtractor;class;2;1;1;0;0;1;0;4
ant-dropbox3347926;com.dropbox.client2.ProgressListener;ProgressListener;class;5;11;4;0;0;7;5;100
ant-dropbox3347926;com.dropbox.client2.exception.DropboxIOException;DropboxIOException;class;1;2;4;1;1;2;1;36
ant-dropbox3347926;com.dropbox.client2.session.AppKeyPair;AppKeyPair;class;1;1;2;0;0;1;0;11
ant-dropbox3347926;com.dropbox.client2.session.TokenPair;TokenPair;class;1;11;1;0;0;5;2;54
ant-dropbox3347926;com.dropbox.client2.session.RequestTokenPair;RequestTokenPair;class;1;1;3;0;0;1;1;14
ant-dropbox3347926;com.dropbox.client2.exception.DropboxParseException;DropboxParseException;class;1;8;4;0;3;3;1;57
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonBase;JsonBase;class;2;3;1;3;0;3;2;18
ant-dropbox3347926;com.dropbox.client2.exception.DropboxSSLException;DropboxSSLException;class;1;1;5;0;0;1;1;32
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonExtractionException;JsonExtractionException;class;0;13;3;0;1;2;0;40
ant-dropbox3347926;com.dropbox.client2.SdkVersion;SdkVersion;class;0;2;1;0;1;2;0;13
ant-dropbox3347926;com.dropbox.client2.DropboxAPI;DropboxAPI;class;42;173;4;0;805;66;53;1850
ant-dropbox3347926;com.dropbox.client2.session.WebAuthSession;WebAuthSession;class;8;11;2;0;15;7;2;212
ant-dropbox3347926;com.dropbox.client2.exception.DropboxLocalStorageFullException;DropboxLocalStorageFullException;class;1;1;4;0;0;1;1;29
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonThing;JsonThing;class;7;57;3;0;317;26;2;155
ant-dropbox3347926;com.dropbox.client2.RESTUtility;RESTUtility;class;25;73;1;0;64;12;1;479
ant-dropbox3347926;com.dropbox.client2.exception.DropboxException;DropboxException;class;0;4;3;7;6;4;1;41
ant-dropbox3347926;com.dropbox.client2.exception.DropboxUnlinkedException;DropboxUnlinkedException;class;1;2;4;0;1;2;1;38
ant-dropbox3347926;com.dropbox.client2.exception.DropboxPartialFileException;DropboxPartialFileException;class;1;1;4;0;0;1;2;36
ant-dropbox3347926;com.dropbox.client2.session.AccessTokenPair;AccessTokenPair;class;1;1;2;1;0;1;1;14
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonMap;JsonMap;class;5;30;2;0;98;17;4;80
ant-dropbox3347926;com.dropbox.client2.session.AbstractSession;AbstractSession;class;41;88;5;1;460;28;14;530
ant-dropbox3347926;com.dropbox.client2.exception.DropboxServerException;DropboxServerException;class;5;34;4;0;0;7;26;185
ant-dropbox3347926;com.dropbox.client2.jsonextract.JsonList;JsonList;class;7;19;3;0;51;14;4;68
ant-dropbox3347926;com.dropbox.client2.session.Session;Session;interface;7;17;1;0;124;17;3;138
ant-dropbox3347926;com.dropbox.client2.exception.DropboxFileSizeException;DropboxFileSizeException;class;1;1;4;0;0;1;1;33
