file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
app.energymanager49006817;xal.app.energymanager.SolverSession;SolverSession;class;28;48;1;0;311;31;18;357
app.energymanager49006817;xal.app.energymanager.NodeView;NodeView;class;3;7;5;0;6;4;2;46
app.energymanager49006817;xal.app.energymanager.OpticsEvaluator;OpticsEvaluator;class;7;6;1;0;0;3;1;48
app.energymanager49006817;xal.app.energymanager.OpticsObjective;OpticsObjective;class;8;19;2;0;73;14;5;146
app.energymanager49006817;xal.app.energymanager.SimulationChart;SimulationChart;class;12;72;1;0;349;34;26;458
app.energymanager49006817;xal.app.energymanager.LiveParameterQualifier;LiveParameterQualifier;class;10;40;1;0;128;21;12;193
app.energymanager49006817;xal.app.energymanager.CoreParameterListener;CoreParameterListener;interface;2;7;1;0;21;7;0;53
app.energymanager49006817;xal.app.energymanager.OptimizerObjectivesTableModel;OptimizerObjectivesTableModel;class;5;36;2;0;61;15;12;193
app.energymanager49006817;xal.app.energymanager.ElectromagnetFieldAdaptor;ElectromagnetFieldAdaptor;class;8;25;1;0;103;15;5;175
app.energymanager49006817;xal.app.energymanager.Main;Main;class;4;9;2;0;28;8;0;80
app.energymanager49006817;xal.app.energymanager.OnlineModelSimulator;OnlineModelSimulator;class;18;53;1;0;200;24;6;333
app.energymanager49006817;xal.app.energymanager.EnergyManagerWindow;EnergyManagerWindow;class;30;214;2;0;2680;48;42;1074
app.energymanager49006817;xal.app.energymanager.BetaMinObjective;BetaMinObjective;class;4;12;3;0;10;8;2;88
app.energymanager49006817;xal.app.energymanager.OpticsExporter;OpticsExporter;class;7;9;1;0;11;6;3;80
app.energymanager49006817;xal.app.energymanager.ParameterStoreListener;ParameterStoreListener;interface;3;4;1;0;6;4;0;34
app.energymanager49006817;xal.app.energymanager.SolverConfigDialog;SolverConfigDialog;class;6;37;6;0;140;15;10;240
app.energymanager49006817;xal.app.energymanager.LiveParameter;LiveParameter;class;19;114;1;0;1565;55;32;671
app.energymanager49006817;xal.app.energymanager.LiveParameterTableModel;LiveParameterTableModel;class;7;78;2;0;238;28;17;360
app.energymanager49006817;xal.app.energymanager.UnitConverter;UnitConverter;interface;1;4;1;0;6;4;1;21
app.energymanager49006817;xal.app.energymanager.EtaMaxObjective;EtaMaxObjective;class;5;20;3;0;2;8;2;109
app.energymanager49006817;xal.app.energymanager.EvaluationRangeDialog;EvaluationRangeDialog;class;1;12;6;0;11;7;6;130
app.energymanager49006817;xal.app.energymanager.EnergyManagerDocument;EnergyManagerDocument;class;19;46;2;0;220;24;1;266
app.energymanager49006817;xal.app.energymanager.OpticsOptimizer;OpticsOptimizer;class;25;58;1;0;88;32;7;364
app.energymanager49006817;xal.app.energymanager.BetaMeanErrorObjective;BetaMeanErrorObjective;class;3;6;3;0;8;5;1;60
app.energymanager49006817;xal.app.energymanager.OpticsObjectiveListener;OpticsObjectiveListener;interface;1;2;1;0;1;2;0;22
app.energymanager49006817;xal.app.energymanager.CoreParameter;CoreParameter;class;12;72;1;0;554;33;27;404
app.energymanager49006817;xal.app.energymanager.EtaMinObjective;EtaMinObjective;class;5;20;3;0;2;8;2;108
app.energymanager49006817;xal.app.energymanager.EnergyManagerListener;EnergyManagerListener;interface;9;7;1;0;21;7;0;60
app.energymanager49006817;xal.app.energymanager.DipoleCorrectorAgent;DipoleCorrectorAgent;class;6;4;3;0;3;3;1;41
