file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
carvoyant-splunk-modular-input36392730;org.json.JSONTokener;JSONTokener;class;4;87;1;1;127;18;7;396
carvoyant-splunk-modular-input36392730;org.json.JSONML;JSONML;class;4;121;1;0;21;7;0;418
carvoyant-splunk-modular-input36392730;org.json.JSONString;JSONString;interface;0;1;1;0;0;1;0;18
carvoyant-splunk-modular-input36392730;org.json.JSONWriter;JSONWriter;class;3;51;1;0;35;14;6;296
carvoyant-splunk-modular-input36392730;org.json.JSONStringer;JSONStringer;class;1;3;2;0;1;2;0;70
carvoyant-splunk-modular-input36392730;com.carvoyant.modularinput.Program;Program;class;15;37;2;0;28;8;0;294
carvoyant-splunk-modular-input36392730;org.json.CookieList;CookieList;class;2;8;1;0;1;2;0;80
carvoyant-splunk-modular-input36392730;org.json.JSONException;JSONException;class;0;3;4;0;1;3;2;39
carvoyant-splunk-modular-input36392730;org.json.JSONObject;JSONObject;class;6;331;1;0;2215;70;2;1593
carvoyant-splunk-modular-input36392730;org.json.HTTPTokener;HTTPTokener;class;2;13;2;0;1;2;0;68
carvoyant-splunk-modular-input36392730;org.json.Cookie;Cookie;class;3;27;1;0;6;4;0;156
carvoyant-splunk-modular-input36392730;org.json.JSONArray;JSONArray;class;4;135;1;0;1135;50;1;916
carvoyant-splunk-modular-input36392730;org.json.XML;XML;class;4;133;1;0;21;7;9;428
carvoyant-splunk-modular-input36392730;org.json.HTTP;HTTP;class;3;12;1;0;1;2;1;144
carvoyant-splunk-modular-input36392730;org.json.XMLTokener;XMLTokener;class;3;102;2;0;21;7;1;330
carvoyant-splunk-modular-input36392730;org.json.CDL;CDL;class;4;57;1;0;45;10;0;262
carvoyant-splunk-modular-input36392730;org.json.Property;Property;class;1;8;1;0;1;2;0;64
