file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ftn-iis60051443;ftn.iis.accounting.config.audit.AuditEventConverter;AuditEventConverter;class;5;17;1;0;6;4;0;79
ftn-iis60051443;ftn.iis.accounting.repository.JournalVaucherTemplateRepository;JournalVaucherTemplateRepository;interface;5;2;1;0;1;2;0;17
ftn-iis60051443;ftn.iis.accounting.domain.util.JSR310PersistenceConverters;JSR310PersistenceConverters;class;5;9;1;0;21;7;0;42
ftn-iis60051443;ftn.iis.accounting.security.UserNotActivatedException;UserNotActivatedException;class;1;2;2;0;1;2;1;14
ftn-iis60051443;ftn.iis.accounting.web.filter.CsrfCookieGeneratorFilter;CsrfCookieGeneratorFilter;class;6;3;2;0;0;1;0;31
ftn-iis60051443;ftn.iis.accounting.service.UserService;UserService;class;13;18;1;0;0;13;5;197
ftn-iis60051443;ftn.iis.accounting.web.rest.errors.ExceptionTranslator;ExceptionTranslator;class;20;10;1;0;21;7;0;72
ftn-iis60051443;ftn.iis.accounting.web.rest.mapper.UserMapper;UserMapper;interface;5;9;1;0;21;7;0;47
ftn-iis60051443;ftn.iis.accounting.config.LoggingAspectConfiguration;LoggingAspectConfiguration;class;5;1;1;0;0;1;0;12
ftn-iis60051443;ftn.iis.accounting.web.rest.AccountantUserGroupResource;AccountantUserGroupResource;class;14;9;1;0;0;5;2;120
ftn-iis60051443;ftn.iis.accounting.security.Http401UnauthorizedEntryPoint;Http401UnauthorizedEntryPoint;class;7;1;1;0;0;1;1;27
ftn-iis60051443;ftn.iis.accounting.web.rest.dto.LoggerDTO;LoggerDTO;class;2;7;1;0;0;7;2;33
ftn-iis60051443;ftn.iis.accounting.domain.util.FixedH2Dialect;FixedH2Dialect;class;1;1;2;0;0;1;0;9
ftn-iis60051443;ftn.iis.accounting.security.SpringSecurityAuditorAware;SpringSecurityAuditorAware;class;3;2;1;0;0;1;0;15
ftn-iis60051443;ftn.iis.accounting.security.CustomPersistentRememberMeServices;CustomPersistentRememberMeServices;class;23;22;2;0;10;8;8;174
ftn-iis60051443;ftn.iis.accounting.web.rest.BusinessAccountResourceIntTest;BusinessAccountResourceIntTest;class;16;9;1;0;0;9;9;163
ftn-iis60051443;ftn.iis.accounting.domain.util.JSR310LocalDateDeserializer;JSR310LocalDateDeserializer;class;5;11;2;0;0;2;2;52
ftn-iis60051443;ftn.iis.accounting.web.rest.dto.AccountBalanceEntryDTO;AccountBalanceEntryDTO;class;0;7;1;0;3;7;3;30
ftn-iis60051443;ftn.iis.accounting.config.Constants;Constants;class;0;1;1;0;0;1;8;22
ftn-iis60051443;ftn.iis.accounting.security.AjaxAuthenticationSuccessHandler;AjaxAuthenticationSuccessHandler;class;5;1;2;0;0;1;0;20
ftn-iis60051443;ftn.iis.accounting.domain.util.JSR310DateTimeSerializer;JSR310DateTimeSerializer;class;5;2;2;0;1;2;2;18
ftn-iis60051443;ftn.iis.accounting.domain.Business;Business;class;10;31;1;0;228;25;12;138
ftn-iis60051443;ftn.iis.accounting.web.rest.JournalVaucherTemplateEntryResource;JournalVaucherTemplateEntryResource;class;14;9;1;0;0;5;2;120
ftn-iis60051443;ftn.iis.accounting.web.rest.LogsResource;LogsResource;class;7;2;1;0;1;2;0;37
ftn-iis60051443;ftn.iis.accounting.async.ExceptionHandlingAsyncTaskExecutor;ExceptionHandlingAsyncTaskExecutor;class;8;16;1;0;3;10;2;68
ftn-iis60051443;ftn.iis.accounting.web.rest.VaucherEntryResource;VaucherEntryResource;class;18;11;1;0;0;5;3;133
ftn-iis60051443;ftn.iis.accounting.config.WebConfigurer;WebConfigurer;class;26;20;1;0;6;8;4;146
ftn-iis60051443;ftn.iis.accounting.web.rest.AccountResourceIntTest;AccountResourceIntTest;class;21;13;1;0;0;13;7;340
ftn-iis60051443;ftn.iis.accounting.web.rest.ProfileInfoResource;ProfileInfoResource;class;6;7;1;0;0;3;4;43
ftn-iis60051443;ftn.iis.accounting.repository.UserIsInGroupRepository;UserIsInGroupRepository;interface;4;1;1;0;0;1;0;12
ftn-iis60051443;ftn.iis.accounting.repository.AuthorityRepository;AuthorityRepository;interface;2;0;1;0;0;0;0;8
