file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
fullstop32521417;org.zalando.stups.fullstop.plugin.config.SaveSecurityGroupsPluginAutoConfiguration;SaveSecurityGroupsPluginAutoConfiguration;class;8;1;1;0;0;1;1;23
fullstop32521417;org.zalando.stups.fullstop.jobs.config.JobsProperties;JobsProperties;class;2;12;1;0;54;12;6;55
fullstop32521417;org.zalando.stups.fullstop.events.TestCloudTrailEventSerializer;TestCloudTrailEventSerializer;class;7;5;2;0;6;4;1;36
fullstop32521417;org.zalando.stups.fullstop.domain.validation.groups.PersistenceOnly;PersistenceOnly;interface;0;0;1;0;0;0;0;9
fullstop32521417;org.zalando.stups.fullstop.violation.entity.CountByAccountAndType;CountByAccountAndType;class;0;5;1;0;0;5;3;24
fullstop32521417;org.zalando.stups.fullstop.plugin.DockerRegistryPluginTest;DockerRegistryPluginTest;class;11;12;1;0;0;11;6;126
fullstop32521417;org.zalando.stups.fullstop.web.controller.ViolationsControllerTest;ViolationsControllerTest;class;31;14;1;0;19;14;10;234
fullstop32521417;org.zalando.stups.fullstop.rule.service.impl.RuleEntityServiceImpl;RuleEntityServiceImpl;class;9;17;1;0;0;9;2;88
fullstop32521417;org.zalando.stups.fullstop.plugin.keypair.KeyPairPlugin;KeyPairPlugin;class;5;5;3;0;4;4;1;48
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.impl.ScmSourceProviderImpl;ScmSourceProviderImpl;class;8;7;1;0;6;4;3;50
fullstop32521417;org.zalando.stups.fullstop.hystrix.HystrixExceptionWebMvcHandler;HystrixExceptionWebMvcHandler;class;6;1;1;0;0;1;1;16
fullstop32521417;org.zalando.stups.fullstop.taupage.TaupageYamlUtilTest;TaupageYamlUtilTest;class;3;5;1;0;10;5;0;36
fullstop32521417;org.zalando.stups.fullstop.config.ClientConfig;ClientConfig;class;27;11;1;0;28;8;5;96
fullstop32521417;org.zalando.stups.fullstop.plugin.unapproved.UnapprovedServicesAndRolePlugin;UnapprovedServicesAndRolePlugin;class;16;18;2;0;0;4;8;124
fullstop32521417;org.zalando.stups.fullstop.config.ClientConfigTest;ClientConfigTest;class;18;6;1;0;15;6;4;61
fullstop32521417;org.zalando.stups.fullstop.plugin.example.ExamplePlugin;ExamplePlugin;class;19;5;1;0;10;5;3;81
fullstop32521417;org.zalando.stups.fullstop.config.HystrixConfigurationTest;HystrixConfigurationTest;class;14;13;1;0;36;12;1;88
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.impl.AmiProviderImpl;AmiProviderImpl;class;9;6;1;0;1;3;2;51
fullstop32521417;org.zalando.fullstop.violation.persist.jpa.ViolationJpaPersister;ViolationJpaPersister;class;13;9;2;0;0;3;8;77
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.KioVersionProvider;KioVersionProvider;interface;2;0;1;0;0;0;0;7
fullstop32521417;org.zalando.stups.fullstop.jpa.config.AuditingConfig;AuditingConfig;class;5;1;1;0;0;1;0;14
fullstop32521417;org.zalando.stups.fullstop.violation.entity.Stack;Stack;class;2;3;1;0;0;3;2;15
fullstop32521417;org.zalando.stups.fullstop.events.CloudTrailEventSupport;CloudTrailEventSupport;class;13;27;1;0;114;16;11;160
fullstop32521417;org.zalando.stups.fullstop.jobs.config.HttpClientConfig;HttpClientConfig;class;7;2;1;0;0;1;0;46
fullstop32521417;org.zalando.stups.fullstop.jobs.common.AccountIdSupplier;AccountIdSupplier;interface;0;0;1;0;0;0;0;8
fullstop32521417;org.zalando.stups.fullstop.aws.ClientTest;ClientTest;class;4;1;1;0;0;1;1;15
fullstop32521417;org.zalando.stups.fullstop.jobs.iam.AccessKeyMetadataPredicates;AccessKeyMetadataPredicates;class;1;3;1;0;3;3;2;22
fullstop32521417;org.zalando.stups.fullstop.violation.repository.ViolationTypeRepository;ViolationTypeRepository;interface;3;0;1;0;0;0;0;10
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.impl.ScmSourceProviderImplTest;ScmSourceProviderImplTest;class;8;4;1;0;0;4;2;42
fullstop32521417;org.zalando.stups.fullstop.whitelist.WhitelistRulesEvaluator;WhitelistRulesEvaluator;class;2;15;1;0;36;9;0;94
fullstop32521417;org.zalando.stups.fullstop.rule.repository.RuleEntityRepository;RuleEntityRepository;interface;5;1;1;0;0;1;0;13
fullstop32521417;org.zalando.stups.fullstop.plugin.impl.EC2InstanceContextProviderImpl;EC2InstanceContextProviderImpl;class;16;5;1;0;1;2;2;67
fullstop32521417;org.zalando.stups.fullstop.web.test.builder.AbstractEntityBuilder;AbstractEntityBuilder;class;2;3;1;0;0;2;1;26
fullstop32521417;org.zalando.stups.fullstop.violation.service.impl.ApplicationLifecycleServiceImplTest;ApplicationLifecycleServiceImplTest;class;20;15;1;0;35;15;19;196
fullstop32521417;org.zalando.stups.fullstop.jobs.SimpleSchedulingIT;SimpleSchedulingIT;class;9;2;1;0;0;2;1;38
fullstop32521417;org.zalando.stups.fullstop.plugin.snapshot.config.SnapshotSourcePluginAutoConfigurationTest;SnapshotSourcePluginAutoConfigurationTest;class;11;3;1;0;3;3;1;36
fullstop32521417;org.zalando.stups.fullstop.plugin.SecurityGroupProviderTest;SecurityGroupProviderTest;class;12;5;1;0;0;5;4;63
fullstop32521417;org.zalando.stups.fullstop.ExtPropertiesFileConfiguration;ExtPropertiesFileConfiguration;class;6;19;1;0;102;16;20;225
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.impl.KioVersionProviderImpl;KioVersionProviderImpl;class;8;9;1;0;2;4;3;52
fullstop32521417;org.zalando.stups.fullstop.plugin.taupageyaml.config.TaupageYamlPluginAutoConfiguration;TaupageYamlPluginAutoConfiguration;class;5;1;1;0;0;1;0;17
fullstop32521417;org.zalando.stups.fullstop.violation.service.impl.ApplicationLifecycleServiceImpl;ApplicationLifecycleServiceImpl;class;22;13;1;0;2;5;7;111
fullstop32521417;org.zalando.stups.fullstop.violation.reactor.EventBusViolationHandler;EventBusViolationHandler;class;6;14;1;2;37;10;5;66
fullstop32521417;org.zalando.stups.fullstop.jobs.config.JobsConfig;JobsConfig;class;7;2;1;0;0;2;1;21
fullstop32521417;org.zalando.stups.fullstop.plugin.taupageyaml.TaupageYamlPlugin;TaupageYamlPlugin;class;6;13;3;0;1;3;1;58
fullstop32521417;org.zalando.stups.fullstop.web.controller.ApiExceptionHandler;ApiExceptionHandler;class;7;1;1;0;0;1;1;17
fullstop32521417;org.zalando.stups.fullstop.plugin.provider.KioApprovalProvider;KioApprovalProvider;interface;2;0;1;0;0;0;0;7
fullstop32521417;org.zalando.stups.fullstop.hystrix.HystrixTeamOperations;HystrixTeamOperations;class;5;4;1;0;0;4;1;32
fullstop32521417;org.zalando.stups.fullstop.teams.RestTemplateTeamOperations;RestTemplateTeamOperations;class;10;7;1;0;3;7;6;75
fullstop32521417;org.zalando.stups.fullstop.violation.SystemOutViolationHandler;SystemOutViolationHandler;class;2;1;1;0;0;1;0;12
fullstop32521417;org.zalando.stups.fullstop.config.HystrixConfiguration;HystrixConfiguration;class;3;0;1;0;0;0;0;9
fullstop32521417;org.zalando.stups.fullstop.it.ApplicationLifecycleServiceImplIt;ApplicationLifecycleServiceImplIt;class;20;4;1;0;0;4;10;97
fullstop32521417;org.zalando.stups.fullstop.plugin.unapproved.UnapprovedServicesAndRolePluginTest;UnapprovedServicesAndRolePluginTest;class;13;9;1;0;0;9;7;119
fullstop32521417;org.zalando.stups.fullstop.violation.service.impl.ApplicationVersionServiceImplTest;ApplicationVersionServiceImplTest;class;16;8;1;0;0;8;7;98
fullstop32521417;org.zalando.stups.fullstop.web.controller.ViolationTypesController;ViolationTypesController;class;11;2;1;0;0;2;2;39
fullstop32521417;org.zalando.stups.fullstop.plugin.subnet.config.SubnetPluginAutoConfiguration;SubnetPluginAutoConfiguration;class;3;0;1;0;0;0;0;11
fullstop32521417;org.zalando.stups.fullstop.web.api.ApiException;ApiException;class;0;2;3;2;0;2;1;11
fullstop32521417;org.zalando.stups.fullstop.jobs.common.SecurityGroupsChecker;SecurityGroupsChecker;interface;1;1;1;0;0;1;0;10
fullstop32521417;org.zalando.stups.fullstop.plugin.ApplicationMasterdataPlugin;ApplicationMasterdataPlugin;class;10;9;3;0;1;3;2;56
fullstop32521417;org.zalando.stups.fullstop.jpa.auditing.SpringSecurityAuditorAware;SpringSecurityAuditorAware;class;5;3;1;0;0;1;1;25
fullstop32521417;org.zalando.stups.fullstop.plugin.config.RegistryPluginAutoConfiguration;RegistryPluginAutoConfiguration;class;6;2;1;0;1;2;0;23
fullstop32521417;org.zalando.stups.fullstop.violation.NoOpViolationHandler;NoOpViolationHandler;class;2;1;1;0;0;1;0;10
