file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gscrum26824472;com.rwteam.gscrum.controller.parsers.TaskParser;TaskParser;class;2;5;1;0;0;1;0;38
gscrum26824472;com.rwteam.gscrum.controller.googleapi.GoogleCalendarConnectorTest;GoogleCalendarConnectorTest;class;1;13;1;0;78;13;0;43
gscrum26824472;com.rwteam.gscrum.controller.googleapi.DataProvider;DataProvider;class;3;22;1;0;9;6;3;65
gscrum26824472;com.rwteam.gscrum.model.UserStory;UserStory;class;7;54;1;0;446;33;14;211
gscrum26824472;com.rwteam.gscrum.model.Task;Task;class;5;52;1;0;416;32;13;187
gscrum26824472;com.rwteam.gscrum.view.TaskEditPanel;TaskEditPanel;class;5;42;5;0;48;12;25;289
gscrum26824472;com.rwteam.gscrum.view.GSMainWindow;GSMainWindow;class;10;77;1;0;1074;27;28;410
gscrum26824472;com.rwteam.gscrum.controller.utils.ParsersUtils;ParsersUtils;class;0;5;1;0;0;1;0;17
gscrum26824472;com.rwteam.gscrum.controller.parsers.UserStoryParserTest;UserStoryParserTest;class;13;2;1;0;0;2;5;65
gscrum26824472;TestAction;TestAction;class;2;1;2;0;0;1;0;10
gscrum26824472;com.rwteam.gscrum.controller.parsers.UserStoryParser;UserStoryParser;class;7;18;1;0;1;2;1;68
gscrum26824472;com.rwteam.gscrum.view.UserStoryEditWindow;UserStoryEditWindow;class;4;2;6;0;1;2;0;20
gscrum26824472;com.rwteam.gscrum.view.UserStoryHolder;UserStoryHolder;class;1;7;1;0;0;5;2;29
gscrum26824472;com.rwteam.gscrum.controller.utils.ParserUtilsTest;ParserUtilsTest;class;1;1;1;0;0;1;2;19
gscrum26824472;com.rwteam.gscrum.controller.GSMainWindowController;GSMainWindowController;class;5;59;1;0;29;19;5;216
gscrum26824472;com.rwteam.gscrum.view.TimelinePanel;TimelinePanel;class;5;2;5;0;1;2;0;32
gscrum26824472;com.rwteam.gscrum.utils.Logger;Logger;class;0;3;1;0;0;3;1;19
gscrum26824472;com.rwteam.gscrum.controller.googleapi.GoogleCalendarConnector;GoogleCalendarConnector;class;25;40;1;0;69;18;12;178
gscrum26824472;com.rwteam.gscrum.utils.CalendarUtils;CalendarUtils;class;2;7;1;0;1;2;0;32
gscrum26824472;com.rwteam.gscrum.controller.googleapi.DataProviderTest;DataProviderTest;class;12;1;1;0;0;1;3;87
gscrum26824472;com.rwteam.gscrum.controller.parsers.TaskParserTest;TaskParserTest;class;5;2;1;0;0;2;1;31
gscrum26824472;com.rwteam.gscrum.view.UserStoryEditPanel;UserStoryEditPanel;class;7;36;5;0;89;14;16;205
