file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
gyfor74261617;org.gyfor.template.impl.TemplateEngineFactory;TemplateEngineFactory;class;9;12;1;0;4;4;1;51
gyfor74261617;org.gyfor.object.type.builtin.ByteType;ByteType;class;4;13;3;0;78;13;0;74
gyfor74261617;org.gyfor.object.type.builtin.PathBasedType;PathBasedType;class;4;28;2;1;45;11;7;105
gyfor74261617;org.gyfor.docstore.parser.ISegmentMatcher;ISegmentMatcher;interface;1;1;1;0;0;1;0;4
gyfor74261617;org.apache.regexp.REProgram;REProgram;class;1;18;1;0;0;4;5;169
gyfor74261617;org.gyfor.web.form.IGlobalTemplateLocation;IGlobalTemplateLocation;interface;1;1;1;0;0;1;0;5
gyfor74261617;org.gyfor.classifier.impl.WordDictionary;WordDictionary;class;0;9;1;0;0;5;2;37
gyfor74261617;org.gyfor.object.type.builtin.BooleanType;BooleanType;class;7;34;2;0;169;19;2;131
gyfor74261617;org.gyfor.docfinder.file.FolderWatchService;FolderWatchService;class;12;6;1;0;0;4;5;63
gyfor74261617;org.gyfor.util.UniformEventListenerList;UniformEventListenerList;class;0;33;1;0;0;9;2;198
gyfor74261617;org.gyfor.object.plan.IPreparedStatementAccessObject;IPreparedStatementAccessObject;interface;2;5;1;0;10;5;0;10
gyfor74261617;org.gyfor.http.impl.PageNotFoundHandler;PageNotFoundHandler;class;3;1;1;0;0;1;1;14
gyfor74261617;org.gyfor.docstore.parser.impl.PDFToImage;PDFToImage;class;3;5;1;0;3;3;0;52
gyfor74261617;org.gyfor.object.plan.EntityLabelGroup;EntityLabelGroup;class;3;15;1;0;14;8;3;64
gyfor74261617;org.gyfor.todo.NotYetImplementedException;NotYetImplementedException;class;0;2;4;0;1;2;1;10
gyfor74261617;org.gyfor.object.type.builtin.SqlDateType;SqlDateType;class;5;10;3;0;45;10;0;75
gyfor74261617;org.gyfor.object.type.IMaxSettable;IMaxSettable;interface;0;1;1;0;0;1;0;4
gyfor74261617;org.gyfor.object.type.IPrecisionSettable;IPrecisionSettable;interface;0;1;1;0;0;1;0;14
gyfor74261617;org.gyfor.websocket.dao.EntityEditStateChangeListener;EntityEditStateChangeListener;interface;1;1;1;0;0;1;0;8
gyfor74261617;org.gyfor.value.DayTime;DayTime;class;1;36;1;0;0;24;3;133
gyfor74261617;org.gyfor.object.plan.impl.RuntimeFactoryProvider;RuntimeFactoryProvider;class;3;16;2;0;0;7;3;90
gyfor74261617;org.gyfor.berkeleydb.ObjectDatabaseEntry;ObjectDatabaseEntry;class;13;58;2;0;0;10;3;198
gyfor74261617;org.gyfor.object.type.builtin.DateBasedType;DateBasedType;class;6;45;2;3;171;19;2;185
gyfor74261617;org.gyfor.value.DatePeriod;DatePeriod;class;6;91;4;0;56;16;16;385
gyfor74261617;org.gyfor.object.model.impl.ContainerModel;ContainerModel;class;5;8;2;2;3;6;1;38
gyfor74261617;org.gyfor.sql.DatabaseMetaData;DatabaseMetaData;class;3;5;1;0;0;3;1;24
gyfor74261617;org.gyfor.util.ArrayIterator;ArrayIterator;class;1;6;1;0;0;4;3;61
gyfor74261617;org.gyfor.object.value.VersionValue;VersionValue;class;2;22;1;0;0;11;3;81
gyfor74261617;org.gyfor.value.IValueRange;IValueRange;interface;1;4;1;0;6;4;0;43
gyfor74261617;org.gyfor.sql.ResultSet;ResultSet;class;7;77;1;0;0;42;3;313
gyfor74261617;org.gyfor.web.form.defn.Entity2Node;Entity2Node;class;16;12;2;0;2;4;7;106
gyfor74261617;org.gyfor.object.plan.IRepeatingPlan;IRepeatingPlan;interface;3;7;1;0;21;7;0;11
gyfor74261617;org.gyfor.object.model.ItemEventAdapter;ItemEventAdapter;class;4;8;2;0;28;8;0;29
gyfor74261617;org.gyfor.object.model.path.PathTests;PathTests;class;7;3;1;0;1;1;2;56
gyfor74261617;org.apache.regexp.recompile;recompile;class;3;11;1;0;0;1;0;162
gyfor74261617;org.gyfor.object.type.builtin.BigIntegerType;BigIntegerType;class;5;14;3;0;91;14;2;78
gyfor74261617;org.gyfor.object.type.IMinAndMaxSettable;IMinAndMaxSettable;interface;2;0;1;0;0;0;0;5
gyfor74261617;org.gyfor.object.plan.impl.FieldDependency;FieldDependency;class;11;103;1;0;0;9;3;453
gyfor74261617;org.gyfor.web.form.defn.BodyContentNode;BodyContentNode;class;13;10;2;0;4;4;3;75
gyfor74261617;org.gyfor.object.model.path.parser.PlanPathParserTokenManager;PlanPathParserTokenManager;class;6;113;1;0;176;21;16;395
gyfor74261617;org.gyfor.object.SelfDescribing;SelfDescribing;interface;0;1;1;0;0;1;0;4
gyfor74261617;org.gyfor.dao.IDataAccessObject;IDataAccessObject;interface;5;14;1;0;91;14;0;21
gyfor74261617;org.gyfor.object.type.builtin.Type;Type;class;4;47;1;0;239;23;2;179
gyfor74261617;org.gyfor.text.DayDateFormat;DayDateFormat;class;4;29;1;0;0;3;3;164
gyfor74261617;org.gyfor.docstore.parser.impl.PDFBoxPDFParser;PDFBoxPDFParser;class;12;16;1;0;8;5;2;122
gyfor74261617;org.gyfor.object.plan.impl.ReferenceLabelGroup;ReferenceLabelGroup;class;1;1;2;0;0;1;0;12
gyfor74261617;org.gyfor.text.IFormat;IFormat;interface;0;1;1;0;0;1;0;4
gyfor74261617;org.gyfor.object.model.INameMappedModel;INameMappedModel;interface;2;1;1;0;0;1;0;4
gyfor74261617;org.gyfor.template.impl.TemplateEngine;TemplateEngine;class;10;7;1;0;0;2;3;46
gyfor74261617;org.gyfor.dao.sql.DataAccessObject;DataAccessObject;class;26;64;1;0;7;23;11;353
gyfor74261617;org.gyfor.util.ByteArrayDigestFactory;ByteArrayDigestFactory;class;5;25;2;1;21;14;2;118
gyfor74261617;org.gyfor.object.type.builtin.ShortType;ShortType;class;4;13;3;0;78;13;0;68
gyfor74261617;org.gyfor.object.type.builtin.DateType;DateType;class;5;10;3;0;45;10;0;74
