file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
importreuse56758530;com.meissereconomics.seminar.run.MemTest;MemTest;class;1;3;1;0;1;2;0;24
importreuse56758530;com.meissereconomics.seminar.Nodes;Nodes;class;3;16;1;0;0;10;3;60
importreuse56758530;com.meissereconomics.seminar.Country;Country;class;6;45;1;0;174;26;6;171
importreuse56758530;com.meissereconomics.seminar.run.ConsumptionPreference;ConsumptionPreference;class;3;5;1;0;0;1;0;38
importreuse56758530;com.meissereconomics.seminar.run.ImportExportCorrelation;ImportExportCorrelation;class;13;13;1;0;15;5;1;73
importreuse56758530;com.meissereconomics.seminar.util.InstantiatingHashmap;InstantiatingHashmap;class;2;4;3;0;1;2;0;13
importreuse56758530;com.meissereconomics.seminar.run.DomesticFlow;DomesticFlow;class;1;4;1;0;0;1;0;35
importreuse56758530;com.meissereconomics.seminar.run.Figure1Resolution;Figure1Resolution;class;9;6;1;0;6;2;0;47
importreuse56758530;com.meissereconomics.seminar.Result;Result;class;2;9;1;0;0;5;3;33
importreuse56758530;com.meissereconomics.seminar.util.Formatter;Formatter;class;1;8;1;0;1;2;0;26
importreuse56758530;com.meissereconomics.seminar.EFlowBendingMode;EFlowBendingMode;enum;1;4;1;0;0;1;1;16
importreuse56758530;com.meissereconomics.seminar.util.Neo4JWrapper;Neo4JWrapper;class;2;4;1;0;0;4;1;28
importreuse56758530;com.meissereconomics.seminar.util.TableKey;TableKey;class;1;9;1;0;0;6;2;37
importreuse56758530;com.meissereconomics.seminar.flow.MaxFlow;MaxFlow;class;7;12;1;0;0;2;2;51
importreuse56758530;com.meissereconomics.seminar.Node;Node;class;10;82;1;0;0;29;5;301
importreuse56758530;com.meissereconomics.seminar.RedirectionTest;RedirectionTest;class;3;2;1;0;0;1;0;26
importreuse56758530;com.meissereconomics.seminar.Composition;Composition;class;3;17;1;0;0;10;4;72
importreuse56758530;com.meissereconomics.seminar.run.ConsumptionPreferenceOverTime;ConsumptionPreferenceOverTime;class;9;50;1;0;17;11;7;173
importreuse56758530;com.meissereconomics.seminar.NodeTest;NodeTest;class;3;11;1;0;8;5;5;85
importreuse56758530;com.meissereconomics.seminar.InputOutputGraph;InputOutputGraph;class;6;35;1;0;19;14;3;145
importreuse56758530;com.meissereconomics.seminar.util.Table;Table;class;3;8;1;0;0;4;4;45
importreuse56758530;com.meissereconomics.seminar.util.TableValue;TableValue;class;6;5;1;0;0;4;1;26
