file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
indian-wildlife35789094;CheckAdminActivity;CheckAdminActivity;class;3;11;2;0;3;3;1;47
indian-wildlife35789094;CheckUser;CheckUser;class;5;9;2;0;3;3;1;121
indian-wildlife35789094;LogOut;LogOut;class;4;3;2;0;3;3;1;34
indian-wildlife35789094;beans.CommentBean;CommentBean;class;0;15;1;0;14;8;9;80
indian-wildlife35789094;DeleteUserAction;DeleteUserAction;class;4;5;2;0;3;3;1;46
indian-wildlife35789094;ManageUserAction;ManageUserAction;class;4;5;2;0;3;3;1;45
indian-wildlife35789094;SearchProcessAction;SearchProcessAction;class;5;5;2;0;3;3;1;49
indian-wildlife35789094;SubmitQueryAction;SubmitQueryAction;class;5;5;2;0;3;3;1;51
indian-wildlife35789094;beans.Comments;Comments;class;0;6;1;0;9;6;1;22
indian-wildlife35789094;beans.CheckUserBean;CheckUserBean;class;0;40;1;0;450;33;7;179
indian-wildlife35789094;beans.EditProfileBean;EditProfileBean;class;0;30;1;0;193;22;9;137
indian-wildlife35789094;beans.ViewQuery;ViewQuery;class;0;10;1;0;35;10;2;35
indian-wildlife35789094;beans.DeleteUserBean;DeleteUserBean;class;0;7;1;0;0;3;6;47
indian-wildlife35789094;beans.SearchProcessBean;SearchProcessBean;class;0;22;1;0;75;15;9;103
indian-wildlife35789094;beans.UploadStatisticsBean;UploadStatisticsBean;class;0;20;1;0;35;11;8;101
indian-wildlife35789094;GenerateNewsletterAction;GenerateNewsletterAction;class;4;5;2;0;3;3;1;47
indian-wildlife35789094;beans.ReplyQueryBean;ReplyQueryBean;class;0;9;1;0;0;4;6;53
indian-wildlife35789094;beans.ChooseTopicBean;ChooseTopicBean;class;1;18;1;0;27;10;9;95
indian-wildlife35789094;beans.VewQueryBean;VewQueryBean;class;1;14;1;0;24;8;7;78
indian-wildlife35789094;ReplyQueryAction;ReplyQueryAction;class;4;5;2;0;3;3;1;46
indian-wildlife35789094;beans.SaveUserBean;SaveUserBean;class;0;29;1;0;208;24;7;134
indian-wildlife35789094;beans.Newsletters;Newsletters;class;0;6;1;0;9;6;1;22
indian-wildlife35789094;SearchTopicAction;SearchTopicAction;class;4;5;2;0;3;3;1;46
indian-wildlife35789094;CommentAction;CommentAction;class;5;5;2;0;3;3;1;47
indian-wildlife35789094;SaveUser;SaveUser;class;5;5;2;0;3;3;1;62
indian-wildlife35789094;beans.GenerateNewsletterBean;GenerateNewsletterBean;class;0;8;1;0;0;4;8;53
indian-wildlife35789094;EditProfileAction;EditProfileAction;class;5;11;2;0;3;3;1;93
indian-wildlife35789094;beans.MyTopicNames;MyTopicNames;class;0;2;1;0;0;2;1;10
indian-wildlife35789094;beans.SearchForumBean;SearchForumBean;class;0;13;1;0;5;6;8;65
indian-wildlife35789094;beans.ViewReplyBean;ViewReplyBean;class;0;13;1;0;9;7;7;70
indian-wildlife35789094;ViewQueryAction;ViewQueryAction;class;4;7;2;0;3;3;1;43
indian-wildlife35789094;UploadStatisticsAction;UploadStatisticsAction;class;5;11;2;0;3;3;1;68
indian-wildlife35789094;ViewReplyAction;ViewReplyAction;class;4;5;2;0;3;3;1;46
indian-wildlife35789094;CreateTopicAction;CreateTopicAction;class;5;5;2;0;3;3;1;51
indian-wildlife35789094;beans.ManageUserBean;ManageUserBean;class;0;29;1;0;152;21;8;126
indian-wildlife35789094;CheckUserActivity;CheckUserActivity;class;3;17;2;0;3;3;1;60
indian-wildlife35789094;ChooseForum;ChooseForum;class;5;5;2;0;3;3;1;48
indian-wildlife35789094;ChooseTopicAction;ChooseTopicAction;class;5;7;2;0;3;3;1;50
indian-wildlife35789094;beans.CreateTopicBean;CreateTopicBean;class;0;10;1;0;3;6;9;62
indian-wildlife35789094;ViewNewsletterAction;ViewNewsletterAction;class;4;9;2;0;3;3;1;55
indian-wildlife35789094;beans.ViewNewsletterBean;ViewNewsletterBean;class;1;21;1;0;12;8;8;94
indian-wildlife35789094;beans.SubmitQueryBean;SubmitQueryBean;class;0;10;1;0;5;6;7;62
indian-wildlife35789094;SearchForumAction;SearchForumAction;class;4;5;2;0;3;3;1;45
indian-wildlife35789094;beans.ChooseForumBean;ChooseForumBean;class;1;15;1;0;29;10;9;80
indian-wildlife35789094;beans.SearchTopicBean;SearchTopicBean;class;0;9;1;0;0;4;7;53
