file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
mail-aggregator43194614;controller.LoginController;LoginController;class;6;14;1;0;3;3;1;95
mail-aggregator43194614;webservices.LoginWebService;LoginWebService;class;6;1;1;0;0;1;0;19
mail-aggregator43194614;controller.AddEmailController;AddEmailController;class;6;11;1;0;3;3;1;97
mail-aggregator43194614;transferObjects.Account;Account;class;0;18;1;0;135;18;9;66
mail-aggregator43194614;validator.MailCheckValidator;MailCheckValidator;class;3;5;1;0;3;3;1;25
mail-aggregator43194614;database.DB_Connection;DB_Connection;class;1;7;1;0;1;3;5;35
mail-aggregator43194614;validator.RegisterValidator;RegisterValidator;class;2;7;1;0;3;3;1;27
mail-aggregator43194614;controller.LogoutController;LogoutController;class;4;6;1;0;3;3;1;39
mail-aggregator43194614;controller.MailCheckController;MailCheckController;class;10;17;1;0;6;4;1;130
mail-aggregator43194614;Utils.EncryptionUtil;EncryptionUtil;class;2;19;1;0;0;7;4;151
mail-aggregator43194614;Utils.AesEncryption;AesEncryption;class;2;4;1;0;0;4;3;38
mail-aggregator43194614;Utils.Hash;Hash;class;1;7;1;0;3;3;1;33
mail-aggregator43194614;Utils.Status;Status;class;1;4;1;0;2;4;2;18
mail-aggregator43194614;webservices.MailCheckWebService;MailCheckWebService;class;7;1;1;0;0;1;0;20
mail-aggregator43194614;transferObjects.UserAuthentication;UserAuthentication;class;0;4;1;0;2;4;2;24
mail-aggregator43194614;controller.Main;Main;class;5;13;1;0;0;1;0;61
mail-aggregator43194614;controller.RegistrationController;RegistrationController;class;7;11;1;0;3;3;1;88
mail-aggregator43194614;webservices.AddAccountWebService;AddAccountWebService;class;6;1;1;0;0;1;0;21
mail-aggregator43194614;database.DB_Queries;DB_Queries;class;2;24;1;0;0;14;4;171
mail-aggregator43194614;validator.AddAccountValidator;AddAccountValidator;class;3;10;1;0;3;3;1;65
mail-aggregator43194614;Utils.CheckMailUtil;CheckMailUtil;class;12;56;1;0;34;9;2;294
mail-aggregator43194614;Utils.ServerResponse;ServerResponse;class;1;4;1;0;2;4;2;24
mail-aggregator43194614;validator.LoginValidator;LoginValidator;class;2;5;1;0;3;3;1;22
mail-aggregator43194614;validator.VerificationValidator;VerificationValidator;class;2;5;1;0;3;3;1;23
mail-aggregator43194614;Utils.CheckMessagesUtil;CheckMessagesUtil;class;13;49;1;0;16;8;2;219
mail-aggregator43194614;webservices.LogoutWebService;LogoutWebService;class;7;1;1;0;0;1;0;22
mail-aggregator43194614;transferObjects.UserRegistration;UserRegistration;class;0;8;1;0;20;8;4;36
mail-aggregator43194614;Utils.SendMail;SendMail;class;6;5;1;0;6;3;1;45
mail-aggregator43194614;webservices.RegistrationWebService;RegistrationWebService;class;7;1;1;0;0;1;0;22
mail-aggregator43194614;controller.VerificationController;VerificationController;class;5;8;1;0;3;3;1;61
mail-aggregator43194614;transferObjects.UserVerification;UserVerification;class;0;2;1;0;0;2;1;10
mail-aggregator43194614;transferObjects.AccessToken;AccessToken;class;0;2;1;0;0;2;1;10
mail-aggregator43194614;transferObjects.Email;Email;class;0;12;1;0;54;12;6;45
mail-aggregator43194614;Utils.ResponseStatus;ResponseStatus;enum;0;0;1;0;0;0;0;4
mail-aggregator43194614;webservices.VerificationWebService;VerificationWebService;class;7;1;1;0;0;1;0;20
