file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.RefObjectManagerLocal;RefObjectManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.PersonGroupEraseActionBean;PersonGroupEraseActionBean;class;11;3;3;0;1;3;1;37
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjUploadActionBean;RefObjUploadActionBean;class;14;10;4;0;18;8;4;76
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjViewActionBean;RefObjViewActionBean;class;11;12;3;0;11;7;6;73
mission-control-centre16166090;org.localstorm.mcc.web.gtd.charting.TasksStructureChartGenerator;TasksStructureChartGenerator;class;14;9;1;0;10;5;0;129
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjToggleStateActionBean;RefObjToggleStateActionBean;class;11;3;3;0;1;3;1;37
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.wrap.AssetWrapper;AssetWrapper;class;3;21;3;0;35;15;9;101
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.IteratorEnumeration;IteratorEnumeration;class;1;6;1;0;0;4;1;45
mission-control-centre16166090;org.localstorm.mcc.ejb.Identifiable;Identifiable;interface;0;1;1;0;0;1;0;9
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.StatsInputStream;StatsInputStream;class;2;18;2;0;0;12;2;95
mission-control-centre16166090;org.localstorm.mcc.web.TokenGenerator;TokenGenerator;class;0;1;1;0;0;1;0;12
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.impl.TargetManagerLocal;TargetManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.entity.Operation;Operation;class;13;11;2;0;45;11;14;112
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.NoteManagerBean;NoteManagerBean;class;8;8;1;0;15;6;1;72
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.servlets.AssetsStructureChartServlet;AssetsStructureChartServlet;class;7;7;2;0;1;2;1;51
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.CompressingFilterStats;CompressingFilterStats;class;5;37;1;0;257;27;18;268
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.entity.Note;Note;class;7;10;2;1;17;10;6;67
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.charting.AssetsLocationChartGenerator;AssetsLocationChartGenerator;class;12;18;1;0;8;5;1;92
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.wrap.NoteWrapper;NoteWrapper;class;2;12;3;0;0;12;3;60
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.PersonClipActionBean;PersonClipActionBean;class;15;5;3;0;1;3;2;57
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.wrap.PersonWrapper;PersonWrapper;class;2;13;3;0;0;13;3;76
mission-control-centre16166090;org.localstorm.mcc.web.CallTimingServlet;CallTimingServlet;class;8;6;2;0;1;2;1;40
mission-control-centre16166090;org.localstorm.mcc.ejb.ContextLookup;ContextLookup;class;3;8;1;0;4;4;3;52
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.filter.security.CashflowTargetSecurityCheckFilter;CashflowTargetSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.JavaUtilLoggingImpl;JavaUtilLoggingImpl;class;2;6;1;0;0;6;1;65
mission-control-centre16166090;org.localstorm.mcc.web.ReturnPageBean;ReturnPageBean;class;2;8;1;0;0;7;2;42
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.NetWorthHisotryReportActionBean;NetWorthHisotryReportActionBean;class;8;1;3;0;0;1;0;22
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListLeaveActionBean;MailListLeaveActionBean;class;13;5;3;0;6;5;4;59
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.agent.CommandHandler;CommandHandler;interface;0;1;1;0;0;1;0;8
mission-control-centre16166090;org.localstorm.mcc.ejb.Retireable;Retireable;interface;0;2;1;0;1;2;0;13
mission-control-centre16166090;org.localstorm.mcc.web.gtd.backend.TaskResolutionLogic;TaskResolutionLogic;class;9;13;1;0;1;2;0;98
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.Pages;Pages;enum;0;0;1;0;0;0;0;11
mission-control-centre16166090;org.localstorm.mcc.web.PollingServlet;PollingServlet;class;5;4;2;0;1;2;1;33
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListEraseActionBean;MailListEraseActionBean;class;11;3;3;0;1;3;1;39
mission-control-centre16166090;org.localstorm.mcc.ejb.people.entity.PersonGroup;PersonGroup;class;12;9;2;0;26;9;10;85
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.charting.DecimalUtil;DecimalUtil;class;0;2;1;0;0;1;0;16
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjAttachmentSearchSubmitActionBean;RefObjAttachmentSearchSubmitActionBean;class;27;24;3;0;100;17;10;204
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.entity.TaskResolutionAction;TaskResolutionAction;enum;0;0;1;0;0;0;0;17
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.TaskBulkPasteActionBean;TaskBulkPasteActionBean;class;13;4;3;0;1;3;1;47
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.FileDownloadActionBean;FileDownloadActionBean;class;9;8;3;0;1;3;2;53
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.HistoricalValuesManager;HistoricalValuesManager;interface;3;5;1;0;10;5;1;29
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.PersonUpdateActionBean;PersonUpdateActionBean;class;13;18;4;0;56;12;6;103
mission-control-centre16166090;org.localstorm.mcc.ejb.people.impl.PersonManagerLocal;PersonManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.ejb.people.PeopleSecuritySupport;PeopleSecuritySupport;interface;1;2;1;0;1;2;1;11
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.filter.security.CashflowAssetSecurityCheckFilter;CashflowAssetSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.filter.security.CashflowOperationSecurityCheckFilter;CashflowOperationSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.dao.DashboardReportBean;DashboardReportBean;class;4;7;2;0;0;5;4;66
mission-control-centre16166090;org.localstorm.mcc.web.Constants;Constants;class;0;0;1;0;0;0;3;11
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.agent.DefaultCommandHandler;DefaultCommandHandler;class;5;1;1;0;0;1;0;23
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.HintManagerBean;HintManagerBean;class;9;6;2;0;10;5;1;63
mission-control-centre16166090;org.localstorm.mcc.ejb.BaseManager;BaseManager;interface;1;5;1;0;10;5;0;15
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.NoteManagerLocal;NoteManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.ejb.users.UserManager;UserManager;interface;1;4;1;0;6;4;1;13
mission-control-centre16166090;org.localstorm.mcc.web.people.RequestAttributes;RequestAttributes;class;0;0;1;0;0;0;1;8
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.ThresholdOutputStream;ThresholdOutputStream;class;5;55;2;0;0;15;11;192
mission-control-centre16166090;org.localstorm.mcc.web.gtd.filter.security.GtdObjectSecurityCheckFilter;GtdObjectSecurityCheckFilter;class;4;3;2;0;0;1;1;27
mission-control-centre16166090;org.localstorm.mcc.web.util.FilterUtil;FilterUtil;class;1;16;1;0;1;2;0;43
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjAttachActionBean;RefObjAttachActionBean;class;13;13;4;0;12;8;6;86
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.OperationsViewActionBean;OperationsViewActionBean;class;14;13;3;0;24;9;6;86
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.AssetEraseActionBean;AssetEraseActionBean;class;13;5;3;0;1;3;1;46
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.charting.NetWorthHistoryChartGenerator;NetWorthHistoryChartGenerator;class;20;13;1;0;1;2;0;133
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.impl.AssetManagerLocal;AssetManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListProblemsAutoResolve;MailListProblemsAutoResolve;class;11;3;3;0;1;3;1;41
mission-control-centre16166090;org.localstorm.mcc.ejb.AbstractManager;AbstractManager;class;7;16;1;7;28;8;2;86
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.TargetAddActionBean;TargetAddActionBean;class;13;8;4;0;3;6;2;65
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.dao.DashboardReportRowP2;DashboardReportRowP2;class;1;14;2;0;77;14;8;57
mission-control-centre16166090;org.localstorm.mcc.web.gtd.backend.TaskHitCollector;TaskHitCollector;class;7;7;2;0;0;4;5;62
mission-control-centre16166090;org.localstorm.mcc.web.people.filter.security.PeoplePersonSecurityCheckFilter;PeoplePersonSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.OperationManager;OperationManager;interface;3;15;1;0;105;15;1;33
mission-control-centre16166090;org.localstorm.mcc.ejb.BaseSingletonManager;BaseSingletonManager;interface;2;4;1;0;6;4;0;13
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.ListManager;ListManager;interface;3;2;1;0;1;2;1;16
mission-control-centre16166090;org.localstorm.mcc.ejb.users.UserManagerBean;UserManagerBean;class;7;12;1;0;15;6;1;71
mission-control-centre16166090;org.localstorm.mcc.web.gtd.filter.security.GtdInboxSecurityCheckFilter;GtdInboxSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListsEditActionBean;MailListsEditActionBean;class;9;3;3;0;0;3;1;32
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjDetachNoteActionBean;RefObjDetachNoteActionBean;class;13;5;3;0;6;5;4;54
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.HintManager;HintManager;interface;5;4;1;0;6;4;1;19
mission-control-centre16166090;org.localstorm.mcc.ejb.people.entity.MailList;MailList;class;12;8;2;0;22;8;10;95
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.TaskSearch;TaskSearch;class;7;3;3;0;3;3;0;26
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.TaskResolveActionBean;TaskResolveActionBean;class;14;10;3;0;18;8;3;74
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.PersonAddActionBean;PersonAddActionBean;class;12;10;4;0;22;8;3;68
mission-control-centre16166090;org.localstorm.mcc.ejb.dao.Guard;Guard;class;0;9;1;0;3;3;0;25
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.AgentManagerBean;AgentManagerBean;class;6;3;2;0;3;3;0;35
mission-control-centre16166090;org.localstorm.mcc.web.actions.ConfigureActionBean;ConfigureActionBean;class;7;1;2;0;0;1;0;19
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.filter.security.SecurityUtil;SecurityUtil;class;6;16;1;0;0;3;1;65
mission-control-centre16166090;org.localstorm.mcc.web.gtd.GtdDashboardAgent;GtdDashboardAgent;class;9;1;1;0;0;1;0;36
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.HistoryTruncateActionBean;HistoryTruncateActionBean;class;10;8;3;0;15;7;3;66
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.entity.HintCondition;HintCondition;enum;0;0;1;0;0;0;0;22
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.RefObjAttachmentSearch;RefObjAttachmentSearch;class;7;3;3;0;3;3;0;26
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.GtdReporterBean;GtdReporterBean;class;5;2;1;0;0;1;1;27
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.ListBulkPasteActionBean;ListBulkPasteActionBean;class;13;4;3;0;1;3;1;47
mission-control-centre16166090;org.localstorm.mcc.ejb.cashflow.entity.ValueType;ValueType;enum;0;0;1;0;0;0;0;11
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.ContextManagerBean;ContextManagerBean;class;6;3;2;0;3;3;0;34
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListViewActionBean;MailListViewActionBean;class;13;12;3;0;28;9;5;86
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.ListManagerBean;ListManagerBean;class;6;3;2;0;3;3;0;34
mission-control-centre16166090;org.localstorm.mcc.web.people.filter.security.PeopleMailListSecurityCheckFilter;PeopleMailListSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.ejb.except.DuplicateException;DuplicateException;class;0;4;3;0;6;4;1;23
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.wrap.InboxEntryWrapper;InboxEntryWrapper;class;2;6;3;0;0;6;1;37
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.agent.FlightCommandHandler;FlightCommandHandler;class;6;7;1;0;1;2;0;49
mission-control-centre16166090;org.localstorm.mcc.web.SecurityRuntimeException;SecurityRuntimeException;class;0;1;4;0;0;1;1;13
mission-control-centre16166090;org.localstorm.mcc.ejb.users.User;User;class;8;13;2;0;46;13;11;106
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.charting.AssetCostHistoryChartGenerator;AssetCostHistoryChartGenerator;class;17;11;1;0;1;2;0;97
mission-control-centre16166090;org.localstorm.mcc.web.people.filter.security.PeopleGroupSecurityCheckFilter;PeopleGroupSecurityCheckFilter;class;4;3;2;0;0;1;1;28
mission-control-centre16166090;org.localstorm.mcc.ejb.AbstractSingletonManager;AbstractSingletonManager;class;6;6;1;1;10;5;2;46
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.DebtHisotryReportActionBean;DebtHisotryReportActionBean;class;8;1;3;0;0;1;0;22
mission-control-centre16166090;org.localstorm.mcc.ejb.people.dao.PeopleReportsDao;PeopleReportsDao;class;6;3;1;0;0;2;8;66
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.AssetsLocationViewActionBean;AssetsLocationViewActionBean;class;8;7;3;0;0;2;1;42
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.entity.FileAttachment;FileAttachment;class;8;8;2;1;22;8;6;60
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.impl.ContextManagerLocal;ContextManagerLocal;interface;2;0;1;0;0;0;0;7
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListManualResolveActionBean;MailListManualResolveActionBean;class;13;9;3;0;16;9;4;77
mission-control-centre16166090;org.localstorm.mcc.ejb.gtd.GtdReporter;GtdReporter;interface;2;1;1;0;0;1;1;11
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.ContextsEditActionBean;ContextsEditActionBean;class;8;3;3;0;0;3;1;30
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.MailListRenameActionBean;MailListRenameActionBean;class;11;6;4;0;4;4;1;53
mission-control-centre16166090;org.localstorm.mcc.ejb.NullResultGuard;NullResultGuard;class;2;3;1;0;0;1;0;14
mission-control-centre16166090;org.localstorm.mcc.web.RequestAttributes;RequestAttributes;class;0;0;1;0;0;0;7;14
mission-control-centre16166090;org.localstorm.mcc.web.people.actions.PersonGroupAddActionBean;PersonGroupAddActionBean;class;11;6;4;0;4;4;1;46
mission-control-centre16166090;org.localstorm.mcc.web.people.PeopleDashboardAgent;PeopleDashboardAgent;class;5;1;1;0;0;1;0;25
mission-control-centre16166090;org.localstorm.mcc.web.filter.compressing.CompressingStreamFactory;CompressingStreamFactory;class;16;79;4;0;328;21;21;396
mission-control-centre16166090;org.localstorm.mcc.web.cashflow.actions.AssetCostHistoryActionBean;AssetCostHistoryActionBean;class;10;5;3;0;6;5;3;50
mission-control-centre16166090;org.localstorm.mcc.ejb.dao.JdbcDaoHelper;JdbcDaoHelper;class;1;100;1;0;630;36;2;440
mission-control-centre16166090;org.localstorm.mcc.web.ExpirableValuesCache;ExpirableValuesCache;class;2;4;1;0;0;3;3;32
mission-control-centre16166090;org.localstorm.mcc.web.gtd.actions.TaskStructureReportActionBean;TaskStructureReportActionBean;class;7;1;3;0;0;1;0;19
