file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
photos41388298;blackco.photos.spring.PhotoFinderImpl;PhotoFinderImpl;class;1;7;2;0;0;3;2;47
photos41388298;blackco.photos.spring.GetInfoService;GetInfoService;interface;1;1;1;0;0;1;0;4
photos41388298;blackco.photos.spring.FlickrAuthService;FlickrAuthService;interface;2;4;1;0;6;4;0;10
photos41388298;blackco.photos.spring.GetInfo;GetInfo;class;4;2;1;0;0;2;1;14
photos41388298;blackco.photos.spring.MyPhotosTest;MyPhotosTest;class;13;9;1;0;9;7;5;104
photos41388298;blackco.photos.spring.GetExifServiceImpl;GetExifServiceImpl;class;9;6;1;0;2;4;2;49
photos41388298;blackco.photos.spring.PhotosServiceImpl;PhotosServiceImpl;class;5;9;1;0;0;7;3;55
photos41388298;blackco.photos.spring.FlickrPhoto;FlickrPhoto;class;0;27;1;0;337;27;16;103
photos41388298;blackco.photos.spring.GetInfoServiceImpl;GetInfoServiceImpl;class;11;6;1;0;2;4;3;55
photos41388298;blackco.photos.spring.PhotoFinderTest;PhotoFinderTest;class;8;4;1;0;1;3;3;32
photos41388298;blackco.photos.spring.GetExif;GetExif;class;4;2;1;0;0;2;1;14
photos41388298;blackco.photos.spring.GetExifService;GetExifService;interface;1;1;1;0;0;1;0;4
photos41388298;blackco.photos.spring.SearchCriteria;SearchCriteria;class;0;0;1;0;0;0;2;6
photos41388298;blackco.photos.spring.FlickrPhotoDate;FlickrPhotoDate;class;2;9;1;0;0;4;2;51
photos41388298;blackco.photos.spring.PhotosService;PhotosService;interface;1;3;1;0;3;3;0;7
photos41388298;blackco.photos.spring.MyPhotos;MyPhotos;interface;1;14;1;0;91;14;0;42
photos41388298;blackco.photos.spring.MyPhotoMetaDataReaderImplTest;MyPhotoMetaDataReaderImplTest;class;11;10;1;0;9;6;4;105
photos41388298;blackco.photos.spring.MyPhoto;MyPhoto;class;3;9;1;0;28;9;5;41
photos41388298;blackco.photos.apps.ComplexComparisonTest;ComplexComparisonTest;class;26;45;1;0;0;20;11;462
photos41388298;blackco.photos.spring.Photos;Photos;class;4;3;1;0;0;3;1;17
photos41388298;blackco.photos.spring.FlickrPhotoDateTest;FlickrPhotoDateTest;class;3;2;1;0;1;2;1;50
photos41388298;blackco.photos.apps.ComplexComparison;ComplexComparison;class;14;50;1;0;6;8;11;266
photos41388298;blackco.photos.spring.MyPhotosImpl;MyPhotosImpl;class;10;44;1;0;0;17;5;180
photos41388298;blackco.photos.spring.Search;Search;class;5;2;1;0;0;2;1;14
photos41388298;blackco.photos.spring.MyPhotosCache;MyPhotosCache;class;1;3;1;0;3;3;1;14
photos41388298;blackco.photos.spring.PhotoFinder;PhotoFinder;interface;0;2;1;0;1;2;0;11
photos41388298;blackco.photos.spring.PageSummary;PageSummary;class;1;1;1;0;0;1;5;12
photos41388298;blackco.photos.spring.Contexts;Contexts;class;2;2;1;0;0;2;1;14
photos41388298;blackco.photos.spring.AppConfig;AppConfig;class;24;31;1;0;52;12;4;111
photos41388298;blackco.photos.spring.SearchServiceImpl;SearchServiceImpl;class;13;7;1;0;2;4;2;67
photos41388298;blackco.photos.spring.SearchService;SearchService;interface;2;1;1;0;0;1;0;4
photos41388298;blackco.photos.spring.FlickrAuthServiceImpl;FlickrAuthServiceImpl;class;8;4;1;0;0;4;3;37
photos41388298;blackco.photos.spring.MyPhotoMetaDataReader;MyPhotoMetaDataReader;interface;1;4;1;0;6;4;0;10
photos41388298;blackco.photos.spring.MyPhotoMetaDataReaderImpl;MyPhotoMetaDataReaderImpl;class;8;15;1;0;6;4;1;92
photos41388298;blackco.photos.spring.FlickrAuth;FlickrAuth;class;5;5;1;0;0;5;1;26
