file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
sharethybook31541822;com.sharethyapp.servlets.FwdMessageServlet;FwdMessageServlet;class;6;10;2;0;6;4;0;99
sharethybook31541822;com.sharethyapp.helper.Messages;Messages;class;0;12;1;0;54;12;6;54
sharethybook31541822;com.sharethyapp.servlets.ReadMessageServlet;ReadMessageServlet;class;6;12;2;0;6;4;0;98
sharethybook31541822;testdemo.BooksPopulate;BooksPopulate;class;0;11;1;0;4;4;1;110
sharethybook31541822;com.sharethyapp.helper.TransactionHistory;TransactionHistory;class;0;16;1;0;112;16;8;69
sharethybook31541822;com.sharethyapp.servlets.RequestBookServlet;RequestBookServlet;class;5;6;2;0;6;4;0;81
sharethybook31541822;com.sharethyapp.servlets.BeforeEditProfileServlet;BeforeEditProfileServlet;class;6;6;2;0;6;4;0;82
sharethybook31541822;com.sharethyapp.dbclasses.DB;DB;class;1;10;1;9;0;2;2;55
sharethybook31541822;com.sharethyapp.helper.UtilitiesHelper;UtilitiesHelper;class;5;10;1;0;6;4;0;57
sharethybook31541822;com.sharethyapp.servlets.RateServlet;RateServlet;class;6;6;2;0;6;4;0;88
sharethybook31541822;com.sharethyapp.helper.LoginHelper;LoginHelper;class;2;8;1;0;3;3;0;44
sharethybook31541822;com.sharethyapp.servlets.SignUpServlet;SignUpServlet;class;7;14;2;0;6;4;0;120
sharethybook31541822;com.sharethyapp.servlets.LoginServlet;LoginServlet;class;4;6;2;0;6;4;0;79
sharethybook31541822;com.sharethyapp.servlets.AddBookServlet;AddBookServlet;class;7;53;2;0;15;6;0;211
sharethybook31541822;com.sharethyapp.dbclasses.UserTableDB;UserTableDB;class;6;43;2;0;49;11;3;295
sharethybook31541822;com.sharethyapp.servlets.LogoutServlet;LogoutServlet;class;4;4;2;0;6;4;0;70
sharethybook31541822;com.sharethyapp.servlets.ProfileServlet;ProfileServlet;class;12;6;2;0;6;4;0;120
sharethybook31541822;com.sharethyapp.servlets.ChangePasswordServlet;ChangePasswordServlet;class;5;8;2;0;6;4;0;92
sharethybook31541822;testdemo.URLImage;URLImage;class;2;32;1;0;10;8;3;167
sharethybook31541822;com.sharethyapp.helper.RateAndReview;RateAndReview;class;0;8;1;0;20;8;4;40
sharethybook31541822;testdemo.TestDemo;TestDemo;class;1;13;1;0;10;5;0;150
sharethybook31541822;com.sharethyapp.helper.Constants;Constants;class;0;0;1;0;0;0;6;27
sharethybook31541822;com.sharethyapp.servlets.EditProfileServlet;EditProfileServlet;class;6;10;2;0;6;4;0;101
sharethybook31541822;com.sharethyapp.dbclasses.UserTable;UserTable;class;1;32;1;0;464;32;16;125
sharethybook31541822;com.sharethyapp.helper.BookSearchQueryResult;BookSearchQueryResult;class;1;4;1;0;2;4;2;28
sharethybook31541822;com.sharethyapp.helper.ContactNumber;ContactNumber;class;0;6;1;0;9;6;3;33
sharethybook31541822;com.sharethyapp.dbclasses.SignUpDB;SignUpDB;class;3;6;2;0;1;2;0;82
sharethybook31541822;com.sharethyapp.servlets.ChangeUserTypeServlet;ChangeUserTypeServlet;class;5;8;2;0;6;4;0;90
sharethybook31541822;com.sharethyapp.dbclasses.RateAndReviewDB;RateAndReviewDB;class;3;5;2;0;0;1;1;39
sharethybook31541822;com.sharethyapp.servlets.InsertBookDetails;InsertBookDetails;class;8;13;2;0;6;4;0;108
sharethybook31541822;com.sharethyapp.dbclasses.SearchBooks;SearchBooks;class;6;36;2;0;14;8;7;227
sharethybook31541822;com.sharethyapp.servlets.BookImageServlet;BookImageServlet;class;6;6;2;0;6;4;0;84
sharethybook31541822;com.sharethyapp.servlets.ViewBookServlet;ViewBookServlet;class;8;10;2;0;6;4;0;100
sharethybook31541822;com.sharethyapp.servlets.AdminServlet;AdminServlet;class;9;14;2;0;6;4;0;95
sharethybook31541822;com.sharethyapp.dbclasses.TransactionDB;TransactionDB;class;4;25;2;0;19;7;1;204
sharethybook31541822;com.sharethyapp.servlets.MessageViewAllServlet;MessageViewAllServlet;class;6;6;2;0;6;4;0;86
