file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
syntax2591401;de.willuhn.jameica.fibu.gui.action.AbstractBuchungGeprueft;AbstractBuchungGeprueft;class;8;13;1;2;1;2;1;87
syntax2591401;de.willuhn.jameica.fibu.server.AnlagevermoegenImpl;AnlagevermoegenImpl;class;17;105;1;0;604;36;3;541
syntax2591401;de.willuhn.jameica.fibu.gui.menus.AnlagevermoegenListMenu;AnlagevermoegenListMenu;class;8;2;3;0;1;2;0;67
syntax2591401;de.willuhn.jameica.fibu.gui.action.AnlagevermoegenListe;AnlagevermoegenListe;class;2;1;1;0;0;1;0;41
syntax2591401;de.willuhn.jameica.fibu.server.BetriebsergebnisImpl;BetriebsergebnisImpl;class;4;17;1;0;0;8;3;131
syntax2591401;de.willuhn.jameica.fibu.gui.action.MandantDelete;MandantDelete;class;7;10;1;0;0;1;1;94
syntax2591401;de.willuhn.jameica.fibu.server.KontoartImpl;KontoartImpl;class;2;7;1;0;15;6;0;104
syntax2591401;de.willuhn.jameica.fibu.io.report.idea.KontoTable;KontoTable;class;7;5;1;0;0;1;0;63
syntax2591401;de.willuhn.jameica.fibu.gui.part.FinanzamtList;FinanzamtList;class;9;2;2;0;1;2;0;66
syntax2591401;de.willuhn.jameica.fibu.gui.action.BuchungstemplateNeu;BuchungstemplateNeu;class;2;1;1;0;0;1;0;35
syntax2591401;de.willuhn.jameica.fibu.server.AbschreibungImpl;AbschreibungImpl;class;10;33;1;0;72;13;1;199
syntax2591401;de.willuhn.jameica.fibu.gui.part.AnfangsbestandList;AnfangsbestandList;class;10;6;2;0;3;2;0;99
syntax2591401;de.willuhn.jameica.fibu.gui.input.KontoInput;KontoInput;class;14;26;2;0;0;6;6;171
syntax2591401;de.willuhn.jameica.fibu.gui.menus.BuchungListMenu;BuchungListMenu;class;18;11;7;0;9;6;1;157
syntax2591401;de.willuhn.jameica.fibu.gui.action.MandantListe;MandantListe;class;2;1;1;0;0;1;0;42
syntax2591401;de.willuhn.jameica.fibu.gui.util.CustomDecimalFormat;CustomDecimalFormat;class;0;6;4;0;1;2;0;60
syntax2591401;de.willuhn.jameica.fibu.server.AbschreibungsBuchungImpl;AbschreibungsBuchungImpl;class;5;6;3;0;3;3;0;76
syntax2591401;de.willuhn.jameica.fibu.gui.menus.GJContextMenuItem;GJContextMenuItem;class;2;5;2;0;1;2;0;62
syntax2591401;de.willuhn.jameica.fibu.gui.dialogs.AbschreibungDialog;AbschreibungDialog;class;25;30;2;0;6;7;7;242
syntax2591401;de.willuhn.jameica.fibu.gui.views.FirstStart1CreateDatabase;FirstStart1CreateDatabase;class;7;2;2;0;1;1;0;65
syntax2591401;de.willuhn.jameica.fibu.gui.action.BuchungUnGeprueft;BuchungUnGeprueft;class;1;1;2;0;0;1;0;33
syntax2591401;de.willuhn.jameica.fibu.gui.controller.BuchungControl;BuchungControl;class;43;116;3;0;188;21;15;604
syntax2591401;de.willuhn.jameica.fibu.io.report.VelocityReportBuchungList;VelocityReportBuchungList;class;8;19;3;0;10;5;0;148
syntax2591401;de.willuhn.jameica.fibu.gui.action.GeschaeftsjahrClose;GeschaeftsjahrClose;class;7;15;1;0;0;1;0;124
syntax2591401;de.willuhn.jameica.fibu.server.MandantImpl;MandantImpl;class;15;59;1;0;453;31;1;492
syntax2591401;de.willuhn.jameica.fibu.gui.views.AnlagevermoegenListe;AnlagevermoegenListe;class;7;1;2;0;0;1;1;66
syntax2591401;de.willuhn.jameica.fibu.gui.views.AnfangsbestandListe;AnfangsbestandListe;class;8;1;2;0;0;1;1;65
syntax2591401;de.willuhn.jameica.fibu.rmi.DBService;DBService;interface;2;4;1;0;6;4;0;71
syntax2591401;de.willuhn.jameica.fibu.io.report.VelocityReportKontoAuszug;VelocityReportKontoAuszug;class;8;16;3;0;3;3;1;139
syntax2591401;de.willuhn.jameica.fibu.gui.action.KontoListe;KontoListe;class;2;1;1;0;0;1;0;51
syntax2591401;de.willuhn.jameica.fibu.gui.controller.BuchungstemplateControl;BuchungstemplateControl;class;21;61;2;0;0;11;8;310
syntax2591401;de.willuhn.jameica.fibu.gui.part.SteuerList;SteuerList;class;15;21;2;0;6;2;0;165
syntax2591401;de.willuhn.jameica.fibu.messaging.ObjectChangedMessage;ObjectChangedMessage;class;1;1;2;0;0;1;0;41
syntax2591401;de.willuhn.jameica.fibu.gui.menus.AbschreibungListMenu;AbschreibungListMenu;class;8;6;4;0;3;3;0;80
syntax2591401;de.willuhn.jameica.fibu.gui.views.BuchungNeu;BuchungNeu;class;11;9;2;0;1;1;1;121
syntax2591401;de.willuhn.jameica.fibu.io.Importer;Importer;interface;3;1;1;0;0;1;0;42
syntax2591401;de.willuhn.jameica.fibu.messaging.ReportMessage;ReportMessage;class;1;1;2;0;0;1;0;45
syntax2591401;de.willuhn.jameica.fibu.rmi.Kontotyp;Kontotyp;interface;1;2;1;0;1;2;3;66
syntax2591401;de.willuhn.jameica.fibu.gui.views.FinanzamtNeu;FinanzamtNeu;class;9;2;2;0;1;1;1;83
syntax2591401;de.willuhn.jameica.fibu.gui.views.FirstStart2CreateFinanzamt;FirstStart2CreateFinanzamt;class;8;2;2;0;1;1;0;62
syntax2591401;de.willuhn.jameica.fibu.rmi.Kontoart;Kontoart;interface;1;3;1;0;3;3;7;96
syntax2591401;de.willuhn.jameica.fibu.gui.controller.GeschaeftsjahrControl;GeschaeftsjahrControl;class;11;21;2;0;9;6;5;189
syntax2591401;de.willuhn.jameica.fibu.gui.action.GeschaeftsjahrNeu;GeschaeftsjahrNeu;class;8;11;1;0;0;1;0;96
syntax2591401;de.willuhn.jameica.fibu.io.report.idea.KontotypTable;KontotypTable;class;4;2;1;0;0;1;0;55
syntax2591401;de.willuhn.jameica.fibu.server.KontenrahmenImpl;KontenrahmenImpl;class;10;22;2;0;34;9;1;196
syntax2591401;de.willuhn.jameica.fibu.gui.views.BuchungstemplateListe;BuchungstemplateListe;class;8;1;2;0;0;1;1;63
syntax2591401;de.willuhn.jameica.fibu.io.report.idea.SteuerTable;SteuerTable;class;6;6;1;0;0;1;0;76
syntax2591401;de.willuhn.jameica.fibu.gui.part.GeschaeftsjahrList;GeschaeftsjahrList;class;14;16;2;0;6;2;0;136
syntax2591401;de.willuhn.jameica.fibu.ext.hibiscus.Buchungstemplate;Buchungstemplate;class;10;12;1;0;1;1;0;95
syntax2591401;de.willuhn.jameica.fibu.gui.views.FirstStart4CreateGeschaeftsjahr;FirstStart4CreateGeschaeftsjahr;class;9;4;2;0;1;1;0;72
