file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
tuiter-1180293177;es.udc.fi.dc.fd.config.DataSourceConfig;DataSourceConfig;interface;1;1;1;0;0;1;0;15
tuiter-1180293177;es.udc.fi.dc.fd.Application;Application;interface;0;0;1;0;0;0;0;6
tuiter-1180293177;es.udc.fi.dc.fd.retuit.RetuitRepository;RetuitRepository;class;13;19;1;0;7;10;4;188
tuiter-1180293177;es.udc.fi.dc.fd.account.AdminController;AdminController;class;12;10;1;0;14;8;5;145
tuiter-1180293177;es.udc.fi.dc.fd.conversations.ConversationsController;ConversationsController;class;15;18;1;0;22;9;5;176
tuiter-1180293177;es.udc.fi.dc.fd.config.ApplicationConfig;ApplicationConfig;class;10;2;1;0;1;2;0;33
tuiter-1180293177;es.udc.fi.dc.fd.tuit.CustomTuit;CustomTuit;class;1;37;1;0;0;10;3;141
tuiter-1180293177;es.udc.fi.dc.fd.account.AdminTest;AdminTest;class;13;6;2;0;7;6;3;136
tuiter-1180293177;es.udc.fi.dc.fd.signup.SignupController;SignupController;class;12;13;1;0;1;3;3;93
tuiter-1180293177;es.udc.fi.dc.fd.tuit.TuitRepository;TuitRepository;class;21;38;1;0;6;13;6;301
tuiter-1180293177;es.udc.fi.dc.fd.search.SearchController;SearchController;class;10;7;1;0;1;3;1;66
tuiter-1180293177;es.udc.fi.dc.fd.restservice.RestSearchController;RestSearchController;class;9;3;1;0;0;2;1;44
tuiter-1180293177;es.udc.fi.dc.fd.config.MongoConfig;MongoConfig;class;15;6;1;0;15;6;0;79
tuiter-1180293177;es.udc.fi.dc.fd.home.HomeSignedInController;HomeSignedInController;class;20;38;1;0;35;11;8;268
tuiter-1180293177;es.udc.fi.dc.fd.support.web.MessageHelper;MessageHelper;class;4;11;1;0;55;11;0;159
tuiter-1180293177;es.udc.fi.dc.fd.tuit.TuitList;TuitList;class;2;19;1;0;0;6;1;81
tuiter-1180293177;es.udc.fi.dc.fd.signup.SignupForm;SignupForm;class;3;8;1;0;22;8;5;88
tuiter-1180293177;es.udc.fi.dc.fd.signin.SigninControllerTest;SigninControllerTest;class;7;2;3;0;1;2;3;55
tuiter-1180293177;es.udc.fi.dc.fd.error.CustomErrorController;CustomErrorController;class;6;7;1;0;3;3;0;68
tuiter-1180293177;es.udc.fi.dc.fd.favorite.FavoriteController;FavoriteController;class;13;4;1;0;2;4;3;89
tuiter-1180293177;es.udc.fi.dc.fd.restservice.RestSearchControllerTest;RestSearchControllerTest;class;9;1;3;0;0;1;2;55
tuiter-1180293177;es.udc.fi.dc.fd.tuit.TuitTest;TuitTest;class;21;27;2;0;7;18;7;411
tuiter-1180293177;es.udc.fi.dc.fd.follow.FollowRepository;FollowRepository;class;8;9;1;0;0;7;1;116
tuiter-1180293177;es.udc.fi.dc.fd.config.DefaultDataSourceConfig;DefaultDataSourceConfig;class;7;2;1;0;1;2;4;46
tuiter-1180293177;es.udc.fi.dc.fd.tuit.TuitMockitoTest;TuitMockitoTest;class;12;1;1;0;0;1;4;80
tuiter-1180293177;es.udc.fi.dc.fd.error.ExceptionHandler;ExceptionHandler;class;5;2;1;0;1;2;0;33
tuiter-1180293177;es.udc.fi.dc.fd.support.web.Message;Message;class;1;5;1;0;0;5;4;83
tuiter-1180293177;es.udc.fi.dc.fd.config.SecurityConfig;SecurityConfig;class;14;8;1;0;26;6;1;95
tuiter-1180293177;es.udc.fi.dc.fd.config.WebAppConfigurationAware;WebAppConfigurationAware;class;14;1;1;7;0;1;2;34
tuiter-1180293177;es.udc.fi.dc.fd.home.TuitForm;TuitForm;class;1;3;1;0;1;3;2;34
tuiter-1180293177;es.udc.fi.dc.fd.restclient.TuitSearchController;TuitSearchController;class;12;6;1;0;1;2;1;63
tuiter-1180293177;es.udc.fi.dc.fd.account.ProfileTest;ProfileTest;class;11;8;2;0;0;7;3;140
tuiter-1180293177;es.udc.fi.dc.fd.account.UserAuthenticationIntegrationTest;UserAuthenticationIntegrationTest;class;6;5;3;0;8;3;1;77
tuiter-1180293177;es.udc.fi.dc.fd.account.UserServiceTest;UserServiceTest;class;13;8;1;0;0;5;3;119
tuiter-1180293177;es.udc.fi.dc.fd.block.Block;Block;class;10;30;1;0;9;10;6;161
tuiter-1180293177;es.udc.fi.dc.fd.tuit.TuitDto;TuitDto;class;1;15;1;0;67;15;8;164
tuiter-1180293177;es.udc.fi.dc.fd.favorite.Favorite;Favorite;class;3;38;1;0;0;11;4;149
tuiter-1180293177;es.udc.fi.dc.fd.conversations.ResponseForm;ResponseForm;class;1;5;1;0;6;5;3;53
tuiter-1180293177;es.udc.fi.dc.fd.favorite.FavoriteDto;FavoriteDto;class;1;38;1;0;0;11;4;147
tuiter-1180293177;es.udc.fi.dc.fd.publish.PublishService;PublishService;class;9;7;1;0;4;4;5;101
tuiter-1180293177;es.udc.fi.dc.fd.follow.FollowTest;FollowTest;class;9;5;2;0;0;5;2;158
tuiter-1180293177;es.udc.fi.dc.fd.home.HomeSignedInControllerTest;HomeSignedInControllerTest;class;9;5;3;0;8;5;2;139
tuiter-1180293177;es.udc.fi.dc.fd.config.EmbeddedDataSourceConfig;EmbeddedDataSourceConfig;class;5;1;1;0;0;1;0;25
tuiter-1180293177;es.udc.fi.dc.fd.follow.Follow;Follow;class;10;30;1;0;9;10;6;163
tuiter-1180293177;es.udc.fi.dc.fd.account.UserService;UserService;class;15;9;1;0;19;7;1;110
tuiter-1180293177;es.udc.fi.dc.fd.publish.Publish;Publish;interface;0;1;1;0;0;1;0;15
tuiter-1180293177;es.udc.fi.dc.fd.account.PublicationsTest;PublicationsTest;class;17;6;2;0;0;6;6;253
tuiter-1180293177;es.udc.fi.dc.fd.search.SearchForm;SearchForm;class;1;3;1;0;1;3;2;34
tuiter-1180293177;es.udc.fi.dc.fd.retuit.RetuitDto;RetuitDto;class;1;47;1;0;0;13;5;178
tuiter-1180293177;es.udc.fi.dc.fd.tuit.FavoriteTest;FavoriteTest;class;17;8;2;0;7;7;6;194
tuiter-1180293177;es.udc.fi.dc.fd.config.WebMvcConfig;WebMvcConfig;class;27;10;2;0;45;10;5;164
tuiter-1180293177;es.udc.fi.dc.fd.util.DictionaryLoader;DictionaryLoader;class;1;2;1;0;0;1;1;38
tuiter-1180293177;es.udc.fi.dc.fd.account.Account;Account;class;9;58;1;0;28;16;11;259
tuiter-1180293177;es.udc.fi.dc.fd.favorite.FavoriteRepository;FavoriteRepository;class;13;17;1;0;7;10;4;185
tuiter-1180293177;es.udc.fi.dc.fd.signin.SigninController;SigninController;class;2;2;1;0;1;2;0;23
tuiter-1180293177;es.udc.fi.dc.fd.tuit.Tuit;Tuit;class;3;49;1;0;13;15;5;199
tuiter-1180293177;es.udc.fi.dc.fd.util.InstanceNotFoundException;InstanceNotFoundException;class;0;5;4;0;4;5;2;55
tuiter-1180293177;es.udc.fi.dc.fd.config.WebSecurityConfigurationAware;WebSecurityConfigurationAware;class;12;3;2;7;3;3;2;64
tuiter-1180293177;es.udc.fi.dc.fd.publish.PublishUtils;PublishUtils;class;6;5;1;0;3;3;3;66
