file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
tweet-gateway-server12342911;net.nitram509.config.Optional;Optional;interface;0;4;1;0;6;4;0;28
tweet-gateway-server12342911;net.nitram509.controller.SessionVisitor;SessionVisitor;class;2;17;1;0;0;9;4;70
tweet-gateway-server12342911;net.nitram509.controller.TwitterCallbackHttpController;TwitterCallbackHttpController;class;20;7;2;0;10;5;2;93
tweet-gateway-server12342911;net.nitram509.gateways.repository.TweetGatewayRepository;TweetGatewayRepository;interface;4;8;1;0;28;8;0;37
tweet-gateway-server12342911;net.nitram509.gateways.api.UserProfile;UserProfile;class;1;16;1;0;104;16;8;81
tweet-gateway-server12342911;net.nitram509.twitter.TwitterTextHelper;TwitterTextHelper;class;0;10;1;0;0;2;2;47
tweet-gateway-server12342911;net.nitram509.twitter.TwitterService;TwitterService;class;10;3;1;0;3;3;3;52
tweet-gateway-server12342911;de.bwaldvogel.base91.Base91;Base91;class;1;23;1;0;0;2;4;112
tweet-gateway-server12342911;net.nitram509.twitter.TwitterClientToolbox;TwitterClientToolbox;class;3;2;1;0;1;2;0;33
tweet-gateway-server12342911;net.nitram509.recaptcha.ReCaptchaService;ReCaptchaService;class;6;7;1;0;0;3;2;50
tweet-gateway-server12342911;net.nitram509.gateways.api.Tweet;Tweet;class;2;7;1;0;15;7;3;50
tweet-gateway-server12342911;net.nitram509.gateways.repository.TweetGatewayRepositoryPostgreSQLLearningTest;TweetGatewayRepositoryPostgreSQLLearningTest;class;9;6;1;0;1;6;4;91
tweet-gateway-server12342911;net.nitram509.gateways.GatewayUrlBuilder;GatewayUrlBuilder;class;1;1;1;0;0;1;1;29
tweet-gateway-server12342911;net.nitram509.gateways.repository.CryptoHelperTest;CryptoHelperTest;class;3;3;1;0;0;3;1;46
tweet-gateway-server12342911;net.nitram509.gateways.repository.TweetGatewayRepositoryInMemory;TweetGatewayRepositoryInMemory;class;5;25;1;0;23;9;2;104
tweet-gateway-server12342911;net.nitram509.gateways.controller.GatewaysResourceHttpController;GatewaysResourceHttpController;class;18;23;2;0;0;5;6;114
tweet-gateway-server12342911;net.nitram509.page.managegateways.ManageGatewaysHtmlContext;ManageGatewaysHtmlContext;class;2;5;1;0;2;5;4;48
tweet-gateway-server12342911;net.nitram509.config.EnvironmentConfig;EnvironmentConfig;class;2;13;1;0;21;7;7;80
tweet-gateway-server12342911;net.nitram509.twitter.TwitterTextHelperTest;TwitterTextHelperTest;class;3;6;1;0;0;6;3;63
tweet-gateway-server12342911;net.nitram509.config.Mandatory;Mandatory;interface;0;3;1;0;3;3;0;28
tweet-gateway-server12342911;net.nitram509.mustache.MustacheToolbox;MustacheToolbox;class;3;18;1;0;3;3;1;78
tweet-gateway-server12342911;net.nitram509.TweetGatewayServerLauncher;TweetGatewayServerLauncher;class;12;9;1;0;21;7;0;83
tweet-gateway-server12342911;net.nitram509.controller.TwitterSignInHttpController;TwitterSignInHttpController;class;12;3;2;0;3;3;3;61
tweet-gateway-server12342911;net.nitram509.gateways.api.UserId;UserId;class;1;11;1;0;0;5;1;48
tweet-gateway-server12342911;net.nitram509.gateways.controller.IdGenerator;IdGenerator;class;2;4;1;0;0;2;3;46
tweet-gateway-server12342911;net.nitram509.controller.TweetGatewayHttpController;TweetGatewayHttpController;class;12;8;1;0;0;2;3;73
tweet-gateway-server12342911;net.nitram509.page.managegateways.GatewayInfo;GatewayInfo;class;3;10;1;0;23;10;5;65
tweet-gateway-server12342911;net.nitram509.shared.AbstractHttpController;AbstractHttpController;class;5;10;1;0;4;4;3;64
tweet-gateway-server12342911;net.nitram509.page.managegateways.ManageGatewaysHtmlController;ManageGatewaysHtmlController;class;18;8;2;0;8;5;5;90
tweet-gateway-server12342911;net.nitram509.gateways.api.GatewayId;GatewayId;class;1;11;1;0;0;5;1;48
tweet-gateway-server12342911;net.nitram509.gateways.repository.CryptoHelper;CryptoHelper;class;1;6;1;0;0;3;4;69
tweet-gateway-server12342911;net.nitram509.logger.ConsoleLogger;ConsoleLogger;class;2;3;1;0;1;2;1;46
tweet-gateway-server12342911;net.nitram509.gateways.repository.TweetGateway;TweetGateway;class;4;6;1;0;0;2;1;47
tweet-gateway-server12342911;net.nitram509.gateways.api.Gateway;Gateway;class;3;9;1;0;24;9;4;56
tweet-gateway-server12342911;net.nitram509.gateways.repository.TweetGatewayRepositoryPostgreSQL;TweetGatewayRepositoryPostgreSQL;class;7;50;1;0;0;10;2;284
