file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.bpmntouml.core.MappingTree;MappingTree;class;2;7;1;0;11;7;3;27
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.idname.XpdlIdName;XpdlIdName;class;3;16;2;14;0;8;2;55
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.bpmn.BpmnDataObjectReference;BpmnDataObjectReference;class;7;12;4;0;9;6;1;44
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.bpmn.parameters.BpmnSelectDiagramParameters;BpmnSelectDiagramParameters;class;1;2;1;0;0;2;2;12
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.converters.PetriNetToBPMNWithSubProcConverterPlugin;PetriNetToBPMNWithSubProcConverterPlugin;class;23;39;1;0;10;5;3;191
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.bpmntouml.datatypes.UmlSwimlaneType;UmlSwimlaneType;enum;0;0;1;0;0;0;0;5
ProM-plugin---BPMN-to-UML-converter76992905;test.RemoveEdgePoints;RemoveEdgePoints;class;6;7;1;0;0;1;0;35
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.datatypes.XpdlTypeDeclaration;XpdlTypeDeclaration;class;5;32;3;0;27;14;4;121
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.datatypes.XpdlUnionType;XpdlUnionType;class;4;9;2;0;0;4;1;57
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.converters.PetriNetToBPMNConverter;PetriNetToBPMNConverter;class;17;99;1;0;0;19;8;290
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.XpdlIntermediateEvent;XpdlIntermediateEvent;class;20;91;2;0;247;31;12;333
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.gettingstarted.HelloWorld8;HelloWorld8;class;4;3;1;0;1;2;0;50
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.models.graphbased.directed.bpmn.BPMNEdge;BPMNEdge;class;10;15;2;4;27;10;3;56
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.gettingstarted.HelloWorld;HelloWorld;class;3;1;1;0;0;1;0;22
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.collections.XpdlPartnerLinkTypes;XpdlPartnerLinkTypes;class;2;2;3;0;1;2;0;20
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.converters.FlexFixer;FlexFixer;class;4;48;1;0;1;10;5;115
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.converters.PetriNetToBPMNConverterPlugin;PetriNetToBPMNConverterPlugin;class;36;117;1;0;202;21;2;540
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.gettingstarted.HelloWorld4;HelloWorld4;class;3;1;1;0;0;1;0;23
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.bpmn.BpmnMessage;BpmnMessage;class;1;1;4;0;0;1;0;6
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.xpdl.collections.XpdlExtendedAttributes;XpdlExtendedAttributes;class;2;2;3;0;1;2;0;18
ProM-plugin---BPMN-to-UML-converter76992905;org.processmining.plugins.converters.FlexToBPMNConverter;FlexToBPMNConverter;class;12;80;1;0;35;15;7;212
