file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.ApplicationMessage;ApplicationMessage;class;3;6;1;0;0;6;1;76
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.ServerKeyExchange;ServerKeyExchange;class;2;1;2;0;0;1;0;47
ROA-framework39845578;ifi.coap.WADL;WADL;class;2;6;1;0;6;4;0;102
ROA-framework39845578;ch.ethz.inf.vs.californium.util.DatagramReader;DatagramReader;class;1;25;1;0;28;8;3;183
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.Finished;Finished;class;8;12;2;0;0;9;1;142
ROA-framework39845578;ch.ethz.inf.vs.californium.coap.MessageReceiver;MessageReceiver;interface;1;1;1;0;0;1;0;34
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.DTLSSession;DTLSSession;class;6;37;1;0;533;35;16;230
ROA-framework39845578;ch.ethz.inf.vs.californium.endpoint.resources.DiscoveryResource;DiscoveryResource;class;5;2;3;0;0;2;2;75
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.ECDHECryptography;ECDHECryptography;class;2;20;1;0;0;10;5;230
ROA-framework39845578;ifi.coap.CoAPTest;CoAPTest;class;1;2;1;0;0;1;0;15
ROA-framework39845578;com.sample.ProcessTest;ProcessTest;class;4;1;2;0;0;1;0;18
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.CertificateVerify;CertificateVerify;class;9;12;2;0;0;8;6;177
ROA-framework39845578;ifi.coap.Resources;Resources;class;0;4;1;0;0;4;1;33
ROA-framework39845578;ch.ethz.inf.vs.californium.layers.UDPLayer;UDPLayer;class;5;27;3;0;37;11;4;239
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.CompressionMethod;CompressionMethod;enum;4;8;1;0;0;5;2;100
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.DTLSConnectionState;DTLSConnectionState;class;2;12;1;0;14;12;5;110
ROA-framework39845578;ch.ethz.inf.vs.californium.coap.DELETERequest;DELETERequest;class;2;2;3;0;1;2;0;41
ROA-framework39845578;ch.ethz.inf.vs.californium.endpoint.resources.ForwardingResource;ForwardingResource;class;7;7;3;2;21;7;0;43
ROA-framework39845578;ch.ethz.inf.vs.californium.layers.AdverseLayer;AdverseLayer;class;2;8;3;0;6;4;2;71
ROA-framework39845578;ch.ethz.inf.vs.californium.dtls.DTLSMessage;DTLSMessage;interface;1;1;1;0;0;1;0;47
ROA-framework39845578;ch.ethz.inf.vs.californium.util.HttpTranslator;HttpTranslator;class;32;160;1;0;0;11;16;855
ROA-framework39845578;ch.ethz.inf.vs.californium.endpoint.resources.Resource;Resource;class;9;120;1;0;742;44;10;641
