file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
java-in-practise72711730;top.onos.library.web.controller.BookController;BookController;class;16;11;1;0;0;5;2;102
java-in-practise72711730;top.onos.library.web.controller.SaveProductController;SaveProductController;class;10;3;1;0;0;1;1;41
java-in-practise72711730;top.onos.library.web.dao.impl.UserDaoImpl;UserDaoImpl;class;6;2;1;0;0;2;1;23
java-in-practise72711730;top.onos.library.web.controller.Controller;Controller;interface;2;1;1;0;0;1;0;9
java-in-practise72711730;top.onos.gene.web.model.User;User;class;1;14;1;0;77;14;7;58
java-in-practise72711730;top.onos.gene.web.controller.UsersController;UsersController;class;9;7;1;0;9;7;1;79
java-in-practise72711730;top.onos.library.web.domain.Login;Login;class;0;4;1;0;2;4;3;22
java-in-practise72711730;top.onos.library.web.mappers.StudentMapper;StudentMapper;interface;3;7;1;0;21;7;0;20
java-in-practise72711730;top.onos.library.web.controller.UserController;UserController;class;10;2;1;0;1;2;3;38
java-in-practise72711730;top.onos.library.web.domain.Category;Category;class;0;6;1;0;3;6;3;28
java-in-practise72711730;top.onos.library.web.domain.Book;Book;class;3;16;1;0;86;16;8;71
java-in-practise72711730;top.onos.library.web.service.UserService;UserService;interface;1;1;1;0;0;1;0;8
java-in-practise72711730;top.onos.library.web.controller.CustomerController;CustomerController;class;3;2;1;0;1;2;0;34
java-in-practise72711730;top.onos.library.web.controller.ImageController;ImageController;class;9;13;1;0;0;1;1;65
java-in-practise72711730;top.onos.library.web.dao.StudentDao;StudentDao;interface;1;3;1;0;3;3;0;11
java-in-practise72711730;top.onos.library.web.domain.Product;Product;class;1;9;1;0;28;9;5;47
java-in-practise72711730;top.onos.library.web.domain.UploadFile;UploadFile;class;1;2;1;0;0;2;2;16
java-in-practise72711730;top.onos.library.web.domain.ProductForm;ProductForm;class;0;6;1;0;9;6;3;27
java-in-practise72711730;top.onos.library.web.service.impl.BookServiceImpl;BookServiceImpl;class;4;20;1;0;0;8;2;78
java-in-practise72711730;top.onos.library.web.service.impl.UserServiceImpl;UserServiceImpl;class;5;1;1;0;0;1;1;17
java-in-practise72711730;top.onos.library.web.service.impl.ProductServiceImpl;ProductServiceImpl;class;3;3;1;0;1;3;2;31
java-in-practise72711730;top.onos.library.web.service.impl.StudentServiceImpl;StudentServiceImpl;class;9;9;1;0;36;9;2;91
java-in-practise72711730;top.onos.library.web.service.ProductService;ProductService;interface;1;2;1;0;1;2;0;9
java-in-practise72711730;top.onos.library.web.validator.ProductValidator;ProductValidator;class;1;6;1;0;0;1;0;27
java-in-practise72711730;top.onos.library.web.controller.Html5FileUploadController;Html5FileUploadController;class;10;3;1;0;1;2;1;39
java-in-practise72711730;top.onos.library.web.controller.HelloController;HelloController;class;0;0;1;0;0;0;0;6
java-in-practise72711730;top.onos.library.web.controller.InputProductController;InputProductController;class;7;1;1;0;0;1;1;20
java-in-practise72711730;top.onos.library.web.service.BookService;BookService;interface;2;7;1;0;21;7;0;16
java-in-practise72711730;top.onos.library.web.controller.ControllerServlet;ControllerServlet;class;6;14;2;0;3;3;1;68
java-in-practise72711730;top.onos.library.web.controller.ResourceController;ResourceController;class;11;16;1;0;1;2;1;88
java-in-practise72711730;top.onos.library.web.domain.Student;Student;class;0;9;1;0;12;9;4;45
java-in-practise72711730;top.onos.library.web.listener.ContextLoaderListener;ContextLoaderListener;class;4;2;1;0;0;2;1;17
java-in-practise72711730;top.onos.library.web.service.StudentService;StudentService;interface;1;7;1;0;21;7;0;15
java-in-practise72711730;top.onos.library.web.util.MyBatisSqlSessionFactory;MyBatisSqlSessionFactory;class;5;5;1;0;1;2;1;32
java-in-practise72711730;top.onos.library.web.dao.impl.StudentDaoImpl;StudentDaoImpl;class;8;4;1;0;6;4;3;39
java-in-practise72711730;top.onos.library.web.dao.UserDao;UserDao;interface;1;1;1;0;0;1;0;8
java-in-practise72711730;top.onos.library.web.domain.User;User;class;0;5;1;0;0;5;2;24
java-in-practise72711730;top.onos.library.web.servlet.DispatcherServlet;DispatcherServlet;class;6;9;2;0;3;3;1;59
java-in-practise72711730;top.onos.library.web.controller.ProductController;ProductController;class;12;6;1;0;0;5;2;77
java-in-practise72711730;top.onos.library.web.service.StudentServiceTest;StudentServiceTest;class;8;10;1;0;0;8;2;86
