file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
learningApacheMahout33397539;chapter4.src.logistic.CrossFoldLearnerExample;CrossFoldLearnerExample;class;9;10;1;0;0;1;1;104
learningApacheMahout33397539;chapter4.src.logistic.OnlineLogisticRegressionTrain;OnlineLogisticRegressionTrain;class;7;13;1;0;1;2;0;99
learningApacheMahout33397539;chapter4.src.InputFileToSequence;InputFileToSequence;class;6;10;1;0;0;1;0;50
learningApacheMahout33397539;chapter10.src.KMeansClusteringExample;KMeansClusteringExample;class;4;1;1;0;0;1;0;29
learningApacheMahout33397539;chapter4.src.logistic.LogisticModelParametersPredict;LogisticModelParametersPredict;class;6;39;1;0;146;24;10;239
learningApacheMahout33397539;chapter10.src.PreprocessDataExample;PreprocessDataExample;class;5;4;1;0;1;2;0;38
learningApacheMahout33397539;chapter5.fpm.src.CSVToMahoutFormatConverter;CSVToMahoutFormatConverter;class;0;12;1;0;0;1;0;57
learningApacheMahout33397539;chapter4.src.logistic.OnlineLogisticRegressionPredict;OnlineLogisticRegressionPredict;class;5;6;1;0;0;2;3;48
learningApacheMahout33397539;chapter4.src.logistic.OnlineLogisticRegressionTest;OnlineLogisticRegressionTest;class;7;4;1;0;0;2;5;64
learningApacheMahout33397539;chapter7.src.MahoutClusteringExample;MahoutClusteringExample;class;13;18;1;0;0;1;0;141
learningApacheMahout33397539;chapter6.src.ItemBasedRecommenderEvaluation;ItemBasedRecommenderEvaluation;class;20;9;1;0;10;3;0;85
learningApacheMahout33397539;chapter10.src.TextPreprocessingExample;TextPreprocessingExample;class;6;2;1;0;0;1;0;67
learningApacheMahout33397539;chapter7.src.InputDriver;InputDriver;class;18;6;1;0;3;3;1;95
learningApacheMahout33397539;chapter6.src.UserBasedRecommenderEvaluation;UserBasedRecommenderEvaluation;class;24;9;1;0;10;3;0;126
learningApacheMahout33397539;chapter10.src.CustomAnalyzer;CustomAnalyzer;class;8;2;2;0;0;1;0;26
learningApacheMahout33397539;chapter6.src.UserBasedRecommender;UserBasedRecommender;class;16;8;1;0;3;3;0;85
learningApacheMahout33397539;chapter7.src.DataPreprocessing;DataPreprocessing;class;3;3;1;0;0;1;0;30
learningApacheMahout33397539;chapter4.src.logistic.OnlineTrainLogisticExampleWithoutParamater;OnlineTrainLogisticExampleWithoutParamater;class;7;22;1;0;0;4;3;150
learningApacheMahout33397539;chapter10.src.ClassificationExample;ClassificationExample;class;17;16;1;0;1;2;2;141
learningApacheMahout33397539;chapter5.fpm.src.FPGrowthExample;FPGrowthExample;class;22;30;2;0;6;4;1;208
learningApacheMahout33397539;chapter4.src.logistic.CsvRecordFactoryPredict;CsvRecordFactoryPredict;class;12;69;1;0;115;20;15;399
learningApacheMahout33397539;chapter6.src.ItemBasedRecommender;ItemBasedRecommender;class;12;8;1;0;3;3;0;55
learningApacheMahout33397539;chapter5.fpm.src.FormatResults;FormatResults;class;11;24;1;0;6;4;0;130
