file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
leetcode47997834;Binary_Tree_Postorder_Traversal;Binary_Tree_Postorder_Traversal;class;1;25;1;0;1;2;0;126
leetcode47997834;Maximal_Rectangle;Maximal_Rectangle;class;2;18;1;0;1;2;0;115
leetcode47997834;Find_Minimum_in_Rotated_Sorted_Array_II;Find_Minimum_in_Rotated_Sorted_Array_II;class;1;16;1;0;1;2;0;55
leetcode47997834;Minimum_Path_Sum;Minimum_Path_Sum;class;1;7;1;0;0;1;0;32
leetcode47997834;Reverse_Words_in_a_String;Reverse_Words_in_a_String;class;1;28;1;0;10;5;0;126
leetcode47997834;Single_Number;Single_Number;class;1;4;1;0;0;1;0;24
leetcode47997834;Convert_Sorted_Array_to_Binary_Search_Tree;Convert_Sorted_Array_to_Binary_Search_Tree;class;4;4;1;0;1;2;0;48
leetcode47997834;Sort_Colors;Sort_Colors;class;3;17;1;0;3;3;0;91
leetcode47997834;WeakReferenceExample;WeakReferenceExample;class;0;1;1;0;0;1;0;17
leetcode47997834;Longest_Palindromic_Substring;Longest_Palindromic_Substring;class;2;21;1;0;6;4;0;70
leetcode47997834;Merge_k_Sorted_Lists;Merge_k_Sorted_Lists;class;3;12;1;0;3;3;0;49
leetcode47997834;Pascals_Triangle_II;Pascals_Triangle_II;class;0;9;1;0;0;1;0;38
leetcode47997834;Search_in_Rotated_Sorted_Array_II;Search_in_Rotated_Sorted_Array_II;class;1;12;1;0;0;1;0;40
leetcode47997834;Single_Number_II;Single_Number_II;class;1;5;1;0;0;1;0;33
leetcode47997834;Remove_Duplicates_from_Sorted_List_II;Remove_Duplicates_from_Sorted_List_II;class;1;7;1;0;0;1;0;34
leetcode47997834;Symmetric_Tree;Symmetric_Tree;class;1;23;1;0;6;4;0;84
leetcode47997834;Two_Sum;Two_Sum;class;3;6;1;0;1;2;0;39
leetcode47997834;Pascals_Triangle;Pascals_Triangle;class;0;9;1;0;0;1;0;46
leetcode47997834;Triangle;Triangle;class;1;12;1;0;1;2;0;56
leetcode47997834;Word_Ladder;Word_Ladder;class;1;47;1;0;3;6;2;173
leetcode47997834;Copy_List_with_Random_Pointer;Copy_List_with_Random_Pointer;class;1;9;1;0;0;2;1;46
leetcode47997834;Maximum_Product_Subarray;Maximum_Product_Subarray;class;1;20;1;0;15;6;0;95
leetcode47997834;Combination_Sum_II;Combination_Sum_II;class;1;19;1;0;0;4;1;84
leetcode47997834;N_Queens;N_Queens;class;1;16;1;0;4;4;1;68
