file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Containers;Containers;class;2;25;2;0;63;15;7;256
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.RcatType;RcatType;enum;1;2;1;0;1;2;0;68
om2m-java-client-api37616324;fr.lissi.belilif.om2m.rest.WebServiceActions;WebServiceActions;class;13;25;1;0;15;6;1;265
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.ContentTypes;ContentTypes;class;0;4;1;0;0;2;1;91
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.HolderRefListType;HolderRefListType;class;1;18;1;0;0;3;1;117
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.RcatList;RcatList;class;1;3;1;0;0;1;1;88
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.TrpdtType;TrpdtType;class;0;4;1;0;2;4;2;110
om2m-java-client-api37616324;fr.lissi.belilif.om2m.subscription.Monitor;Monitor;class;7;8;1;0;3;2;2;107
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.AnyURIList;AnyURIList;class;0;4;1;0;0;2;2;95
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.ActionStatus;ActionStatus;class;1;7;1;0;3;7;3;140
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Groups;Groups;class;2;17;2;0;25;11;5;201
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.LongPollingChannelData;LongPollingChannelData;class;2;17;2;0;0;4;1;111
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.LocationContainerAnnc;LocationContainerAnnc;class;1;6;2;0;9;6;3;138
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.APoCPath;APoCPath;class;2;40;1;0;0;11;3;190
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Group;Group;class;4;26;2;0;209;22;11;337
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.M2MPoc;M2MPoc;class;3;12;2;0;54;12;6;193
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Refs;Refs;class;0;0;1;0;0;0;14;57
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Schedule;Schedule;class;0;3;1;0;0;1;1;89
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.AttachedDevices;AttachedDevices;class;2;13;2;0;12;9;4;171
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Parameters;Parameters;class;2;20;2;0;77;14;7;254
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.PermissionListType;PermissionListType;class;2;25;1;0;0;3;2;123
om2m-java-client-api37616324;org.eclipse.om2m.commons.utils.XmlMapper;XmlMapper;class;2;7;1;0;0;4;4;93
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.ExecInstance;ExecInstance;class;4;20;2;0;83;18;8;282
om2m-java-client-api37616324;fr.lissi.belilif.om2m.test.Om2mManagerTest;Om2mManagerTest;class;13;16;1;0;0;12;2;229
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.AccessRightAnnc;AccessRightAnnc;class;1;7;2;0;3;7;3;148
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.DomainListType;DomainListType;class;1;19;1;0;0;4;1;119
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Container;Container;class;5;31;2;1;283;27;11;354
om2m-java-client-api37616324;fr.lissi.belilif.om2m.exception.UnsupportedMethodException;UnsupportedMethodException;class;0;3;3;0;3;3;1;45
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.AttachedDevice;AttachedDevice;class;1;15;2;0;25;11;5;200
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.MgmtProtocolType;MgmtProtocolType;enum;1;6;1;0;0;3;1;68
om2m-java-client-api37616324;fr.lissi.belilif.om2m.oao.ApplicationManager;ApplicationManager;class;6;35;2;0;45;10;0;221
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.ContainerAnnc;ContainerAnnc;class;2;9;2;0;18;9;3;167
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.MemberType;MemberType;enum;1;2;1;0;1;2;0;62
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Applications;Applications;class;3;22;2;0;49;14;6;226
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.PermissionType;PermissionType;class;3;35;1;0;0;8;3;182
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.Content;Content;class;2;3;2;0;0;3;1;48
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.NotificationChannels;NotificationChannels;class;2;8;2;0;9;6;3;132
om2m-java-client-api37616324;fr.lissi.belilif.om2m.model.Subscription;Subscription;class;0;4;1;0;0;4;1;54
om2m-java-client-api37616324;org.eclipse.om2m.commons.resource.ConnectionParamSet;ConnectionParamSet;class;1;17;1;0;42;13;6;236
