file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
software-engineering-project36395852;ems.presentation.NewTimesheetWindow;NewTimesheetWindow;class;28;42;1;0;100;13;27;321
software-engineering-project36395852;tests.models.EmployeeTest;EmployeeTest;class;4;5;2;0;6;4;0;43
software-engineering-project36395852;ems.persistence.DataBaseAccess;DataBaseAccess;class;0;3;1;0;0;1;0;8
software-engineering-project36395852;tests.AllTests;AllTests;class;16;4;1;0;0;4;1;35
software-engineering-project36395852;tests.models.NotificationTest;NotificationTest;class;7;9;2;0;21;7;0;104
software-engineering-project36395852;ems.presentation.FinancialSummaryWindow;FinancialSummaryWindow;class;21;15;1;0;33;10;10;125
software-engineering-project36395852;ems.persistence.DataBaseInterface;DataBaseInterface;interface;4;14;1;0;91;14;0;22
software-engineering-project36395852;ems.business.AccessProject;AccessProject;class;2;4;2;0;1;2;0;18
software-engineering-project36395852;ems.business.CalculateHours;CalculateHours;class;6;27;1;0;28;8;0;101
software-engineering-project36395852;ems.presentation.FinanceWindow;FinanceWindow;class;22;23;1;0;38;13;25;211
software-engineering-project36395852;tests.business.CalculateDateTest;CalculateDateTest;class;3;14;2;0;72;13;2;135
software-engineering-project36395852;ems.presentation.EmployeeWindow;EmployeeWindow;class;28;26;1;0;70;16;17;248
software-engineering-project36395852;tests.business.FinancialCalculatorTest;FinancialCalculatorTest;class;6;8;2;0;28;8;0;62
software-engineering-project36395852;tests.models.ProjectTest;ProjectTest;class;2;7;2;0;10;5;0;40
software-engineering-project36395852;ems.presentation.LogInWindow;LogInWindow;class;25;25;1;0;6;11;16;174
software-engineering-project36395852;ems.persistence.DatabaseReal;DatabaseReal;class;8;63;1;0;33;15;5;355
software-engineering-project36395852;ems.business.AccessTimesheet;AccessTimesheet;class;5;22;2;0;16;8;2;62
software-engineering-project36395852;ems.persistence.DatabaseAdapter;DatabaseAdapter;class;6;15;1;0;0;15;1;54
software-engineering-project36395852;tests.business.AccessTimesheetTest;AccessTimesheetTest;class;6;16;2;0;66;12;0;98
software-engineering-project36395852;ems.models.Title;Title;class;1;8;1;0;0;6;3;30
software-engineering-project36395852;ems.persistence.DatabaseStub;DatabaseStub;class;8;38;1;0;42;16;6;193
software-engineering-project36395852;tests.business.AccessProjectTest;AccessProjectTest;class;5;4;2;0;6;4;0;34
software-engineering-project36395852;ems.application.Main;Main;class;2;2;1;0;1;2;0;16
software-engineering-project36395852;ems.models.Financial;Financial;class;2;2;2;0;1;2;0;9
software-engineering-project36395852;ems.presentation.WorkReportWindow;WorkReportWindow;class;22;15;1;0;27;10;12;134
software-engineering-project36395852;tests.stub.DatabaseStubTest;DatabaseStubTest;class;6;17;2;0;36;9;0;119
software-engineering-project36395852;ems.business.AccessUser;AccessUser;class;3;41;2;0;48;16;2;103
software-engineering-project36395852;ems.models.Manager;Manager;class;3;8;2;0;0;5;1;27
software-engineering-project36395852;ems.models.Notification;Notification;class;3;16;1;0;2;12;5;69
software-engineering-project36395852;ems.business.AccessTitle;AccessTitle;class;1;1;1;0;0;1;0;9
software-engineering-project36395852;ems.presentation.ManagerWindow;ManagerWindow;class;33;41;1;0;44;14;26;335
software-engineering-project36395852;ems.models.Project;Project;class;0;8;1;0;0;5;1;23
software-engineering-project36395852;tests.business.AccessUserTest;AccessUserTest;class;6;21;2;0;190;20;0;159
software-engineering-project36395852;tests.business.DataBaseAccessTest;DataBaseAccessTest;class;3;2;2;0;1;2;0;18
software-engineering-project36395852;ems.business.CalculateDate;CalculateDate;class;0;19;1;0;8;5;3;66
software-engineering-project36395852;ems.models.Employee;Employee;class;3;25;1;2;105;18;6;76
software-engineering-project36395852;tests.business.CalculateHoursTest;CalculateHoursTest;class;8;16;2;0;105;15;0;115
software-engineering-project36395852;ems.models.Timesheet;Timesheet;class;1;35;1;0;87;18;7;97
software-engineering-project36395852;org.eclipse.wb.swt.SWTResourceManager;SWTResourceManager;class;14;69;1;0;111;18;12;444
software-engineering-project36395852;ems.presentation.DetailsWindow;DetailsWindow;class;26;16;1;0;28;11;14;149
software-engineering-project36395852;tests.models.TitleTest;TitleTest;class;2;5;2;0;3;3;0;31
software-engineering-project36395852;ems.business.FinancialCalculator;FinancialCalculator;class;6;17;1;0;6;4;0;48
software-engineering-project36395852;tests.models.TimesheetTest;TimesheetTest;class;3;8;2;0;6;4;0;63
software-engineering-project36395852;ems.presentation.PaystubWindow;PaystubWindow;class;17;14;1;0;23;10;13;129
