file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
-database-based-DiceGame79785831;Account;Account;class;0;21;1;0;174;21;10;78;
-database-based-DiceGame79785831;ImageLabel;ImageLabel;class;0;4;5;0;0;2;1;15;
-database-based-DiceGame79785831;ServerThread;ServerThread;class;7;105;4;0;0;23;37;376;
-database-based-DiceGame79785831;AdminEdit;AdminEdit;class;4;28;7;0;4;4;15;171;
-database-based-DiceGame79785831;Admins;Admins;class;4;18;7;0;0;4;6;114;
-database-based-DiceGame79785831;AdminAdd;AdminAdd;class;7;30;7;0;2;4;14;153;
-database-based-DiceGame79785831;AdminDelete;AdminDelete;class;4;24;7;0;1;3;13;159;
-database-based-DiceGame79785831;AccountAdmin;AccountAdmin;class;0;10;1;0;35;10;5;37;
-database-based-DiceGame79785831;SQLDatabase;SQLDatabase;class;2;61;1;0;66;13;1;326;
-database-based-DiceGame79785831;AccountEdit;AccountEdit;class;4;63;7;0;4;4;23;312;
-database-based-DiceGame79785831;AccountDelete;AccountDelete;class;4;24;7;0;1;3;17;200;
-database-based-DiceGame79785831;First;First;class;2;2;1;0;0;1;1;22;
-database-based-DiceGame79785831;Managements;Managements;class;9;39;7;0;5;6;35;266;
-database-based-DiceGame79785831;MyFrame;MyFrame;class;1;2;6;0;1;2;1;13;
-database-based-DiceGame79785831;AcManager;AcManager;class;1;4;1;0;0;4;1;66;
