file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
JavaSensorThingyForCommandLine53592433;sensorPlatforms.MicazMote;MicazMote;class;0;33;1;0;204;24;9;120;
JavaSensorThingyForCommandLine53592433;oscilloscope.Messaging;Messaging;class;6;16;1;0;4;3;1;102;
JavaSensorThingyForCommandLine53592433;sensorPlatforms.IMASensor;IMASensor;class;1;24;1;0;0;12;3;92;
JavaSensorThingyForCommandLine53592433;util.Util;Util;class;1;6;1;0;10;5;0;44;
JavaSensorThingyForCommandLine53592433;DecisionMaking.ServiceEstimation;ServiceEstimation;class;0;17;1;0;15;10;4;64;
JavaSensorThingyForCommandLine53592433;oscilloscope.Conductor;Conductor;class;2;1;1;0;0;1;0;22;
JavaSensorThingyForCommandLine53592433;affinitySupport.ThreadAffinity;ThreadAffinity;class;7;30;1;0;54;12;3;148;
JavaSensorThingyForCommandLine53592433;DecisionMaking.Statics;Statics;class;0;0;1;0;0;0;3;15;
JavaSensorThingyForCommandLine53592433;webServer.DoComms;DoComms;class;3;26;1;0;0;2;4;106;
JavaSensorThingyForCommandLine53592433;webServer.Server;Server;class;3;6;1;0;1;2;2;57;
JavaSensorThingyForCommandLine53592433;lib.Constants;Constants;class;0;0;1;0;0;0;14;21;
JavaSensorThingyForCommandLine53592433;affinitySupport.Core;Core;class;1;11;1;0;0;8;2;54;
JavaSensorThingyForCommandLine53592433;sensorPlatforms.AssociatedHardware;AssociatedHardware;class;0;6;1;0;0;6;2;33;
JavaSensorThingyForCommandLine53592433;sensorPlatforms.Service;Service;class;1;14;1;0;55;14;6;66;
JavaSensorThingyForCommandLine53592433;util.Control;Control;class;7;90;1;0;23;7;15;325;
JavaSensorThingyForCommandLine53592433;DecisionMaking.DecisionMaking;DecisionMaking;class;3;17;1;0;0;4;5;74;
JavaSensorThingyForCommandLine53592433;Logging.MyLogger;MyLogger;class;1;11;1;0;0;3;2;70;
JavaSensorThingyForCommandLine53592433;DecisionMaking.SuperSmahtThread;SuperSmahtThread;class;4;18;1;0;41;14;7;85;
JavaSensorThingyForCommandLine53592433;util.HTTPRequest;HTTPRequest;class;0;6;1;0;1;2;1;160;
