file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
Lawbook2295876;br.com.lawbook.util.JavaUtil;JavaUtil;class;0;9;1;0;1;2;0;27;
Lawbook2295876;br.com.lawbook.business.CommentService;CommentService;class;4;6;1;0;6;4;4;36;
Lawbook2295876;br.com.lawbook.dao.PostDAO;PostDAO;interface;1;6;1;0;15;6;0;17;
Lawbook2295876;br.com.lawbook.managedbean.LocationBean;LocationBean;class;2;0;1;0;0;0;0;11;
Lawbook2295876;br.com.lawbook.managedbean.CommentBean;CommentBean;class;2;0;1;0;0;0;0;12;
Lawbook2295876;br.com.lawbook.dao.EventDAO;EventDAO;interface;2;7;1;0;21;7;0;20;
Lawbook2295876;br.com.lawbook.dao.ProfileDAO;ProfileDAO;interface;1;6;1;0;15;6;0;16;
Lawbook2295876;br.com.lawbook.model.test.ProfileTest;ProfileTest;class;2;2;1;0;1;2;0;36;
Lawbook2295876;br.com.lawbook.business.test.PostServiceTest;PostServiceTest;class;5;9;1;0;15;6;1;75;
Lawbook2295876;br.com.lawbook.managedbean.ScheduleBean;ScheduleBean;class;13;44;1;0;0;17;8;219;
Lawbook2295876;br.com.lawbook.model.Authority;Authority;class;7;7;1;0;3;7;3;47;
Lawbook2295876;br.com.lawbook.dao.CommentDAO;CommentDAO;interface;1;2;1;0;1;2;0;12;
Lawbook2295876;br.com.lawbook.business.test.ProfileServiceTest;ProfileServiceTest;class;4;20;1;0;1;7;1;112;
Lawbook2295876;br.com.lawbook.business.EventService;EventService;class;5;11;1;0;36;9;2;63;
Lawbook2295876;br.com.lawbook.model.Profile;Profile;class;16;22;1;0;170;20;11;116;
Lawbook2295876;br.com.lawbook.business.test.UserServiceTest;UserServiceTest;class;4;9;1;0;4;5;1;89;
Lawbook2295876;br.com.lawbook.model.Comment;Comment;class;10;10;1;0;20;8;5;60;
Lawbook2295876;br.com.lawbook.util.HibernateUtil;HibernateUtil;class;3;6;1;0;0;1;3;31;
Lawbook2295876;br.com.lawbook.model.Location;Location;class;6;16;1;0;104;16;9;84;
Lawbook2295876;br.com.lawbook.managedbean.ProfileBean;ProfileBean;class;9;28;1;0;0;11;7;106;
Lawbook2295876;br.com.lawbook.managedbean.PostBean;PostBean;class;4;8;1;0;0;5;3;49;
Lawbook2295876;br.com.lawbook.model.Post;Post;class;14;14;1;0;54;12;7;83;
Lawbook2295876;br.com.lawbook.model.Event;Event;class;16;23;2;0;183;23;11;137;
Lawbook2295876;br.com.lawbook.managedbean.CustomerBean;CustomerBean;class;2;3;1;0;1;3;2;25;
Lawbook2295876;br.com.lawbook.dao.LocationDAO;LocationDAO;interface;1;3;1;0;3;3;0;13;
Lawbook2295876;br.com.lawbook.managedbean.UserBean;UserBean;class;15;9;1;0;1;3;2;93;
Lawbook2295876;br.com.lawbook.dao.impl.EventDAOImpl;EventDAOImpl;class;8;14;1;0;0;7;1;142;
Lawbook2295876;br.com.lawbook.util.TablesGenerator;TablesGenerator;class;9;5;1;0;0;1;1;42;
Lawbook2295876;br.com.lawbook.util.UserConverter;UserConverter;class;4;11;1;0;1;2;1;42;
Lawbook2295876;br.com.lawbook.business.LocationService;LocationService;class;4;7;1;0;10;5;1;37;
Lawbook2295876;br.com.lawbook.business.test.EventServiceTest;EventServiceTest;class;5;26;1;0;0;8;1;177;
Lawbook2295876;br.com.lawbook.model.User;User;class;13;13;1;0;42;13;7;86;
Lawbook2295876;br.com.lawbook.managedbean.HomeBean;HomeBean;class;9;16;1;0;0;7;7;78;
Lawbook2295876;br.com.lawbook.dao.impl.ProfileDAOImpl;ProfileDAOImpl;class;7;14;1;0;1;7;1;103;
Lawbook2295876;br.com.lawbook.business.UserService;UserService;class;7;14;1;0;28;8;1;58;
Lawbook2295876;br.com.lawbook.dao.impl.PostDAOImpl;PostDAOImpl;class;8;14;1;0;0;6;1;146;
Lawbook2295876;br.com.lawbook.util.FacesUtil;FacesUtil;class;3;5;1;0;10;5;0;27;
Lawbook2295876;br.com.lawbook.dao.AuthorityDAO;AuthorityDAO;interface;1;3;1;0;3;3;0;14;
Lawbook2295876;br.com.lawbook.model.test.CommentTest;CommentTest;class;2;1;1;0;0;1;0;19;
Lawbook2295876;br.com.lawbook.dao.impl.CommentDAOImpl;CommentDAOImpl;class;6;4;1;0;0;2;1;48;
Lawbook2295876;br.com.lawbook.managedbean.AdminBean;AdminBean;class;6;52;1;0;115;22;10;189;
Lawbook2295876;br.com.lawbook.business.AuthorityService;AuthorityService;class;4;7;1;0;10;5;1;37;
Lawbook2295876;br.com.lawbook.dao.impl.LocationDAOImpl;LocationDAOImpl;class;6;6;1;0;0;3;1;64;
Lawbook2295876;br.com.lawbook.business.test.AuthorityServiceTest;AuthorityServiceTest;class;3;6;1;0;3;3;1;50;
Lawbook2295876;br.com.lawbook.dao.UserDAO;UserDAO;interface;1;6;1;0;15;6;0;17;
Lawbook2295876;br.com.lawbook.util.AllTests;AllTests;class;8;0;1;0;0;0;0;15;
Lawbook2295876;br.com.lawbook.business.ProfileService;ProfileService;class;9;27;1;0;53;11;4;95;
Lawbook2295876;br.com.lawbook.model.test.MessageTest;MessageTest;class;2;1;1;0;0;1;0;19;
Lawbook2295876;br.com.lawbook.dao.impl.AuthorityDAOImpl;AuthorityDAOImpl;class;8;14;1;0;0;4;1;89;
Lawbook2295876;br.com.lawbook.business.PostService;PostService;class;5;11;1;0;28;8;2;65;
Lawbook2295876;br.com.lawbook.dao.impl.UserDAOImpl;UserDAOImpl;class;9;23;1;0;0;7;1;138;
