file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
SerialChannel6626611;org.vesalainen.comm.channel.PeerT;PeerT;class;10;25;1;0;1;2;0;160;
SerialChannel6626611;javax.comm.ParallelPortEvent;ParallelPortEvent;class;0;4;1;0;6;4;3;32;
SerialChannel6626611;org.vesalainen.comm.channel.SerialSelector;SerialSelector;class;3;19;3;0;34;12;3;133;
SerialChannel6626611;org.vesalainen.comm.channel.LoopT;LoopT;class;18;73;1;0;120;14;1;515;
SerialChannel6626611;org.vesalainen.comm.channel.LinuxSerialChannel;LinuxSerialChannel;class;4;63;5;0;313;26;9;298;
SerialChannel6626611;javax.comm.SerialPortEventListener;SerialPortEventListener;interface;0;1;1;0;0;1;0;6;
SerialChannel6626611;javax.comm.CommPortIdentifierT;CommPortIdentifierT;class;1;5;1;0;1;2;0;108;
SerialChannel6626611;javax.comm.CommDriver;CommDriver;interface;0;2;1;0;1;2;0;6;
SerialChannel6626611;org.vesalainen.comm.channel.SimpleSync;SimpleSync;class;1;19;1;0;0;6;8;146;
SerialChannel6626611;javax.comm.SerialPortEvent;SerialPortEvent;class;0;4;1;0;6;4;10;35;
SerialChannel6626611;javax.comm.UnsupportedCommOperationException;UnsupportedCommOperationException;class;0;2;3;0;1;2;0;11;
SerialChannel6626611;org.vesalainen.comm.channel.SerialChannel;SerialChannel;class;16;164;4;1;2370;81;18;839;
SerialChannel6626611;org.vesalainen.comm.channel.RandomASCII;RandomASCII;class;1;6;2;0;0;2;1;44;
SerialChannel6626611;javax.comm.CommPortOwnershipListener;CommPortOwnershipListener;interface;0;1;1;0;0;1;3;9;
SerialChannel6626611;javax.comm.NoSuchPortException;NoSuchPortException;class;0;2;3;0;1;2;0;11;
SerialChannel6626611;org.vesalainen.comm.channel.MiscT;MiscT;class;3;4;1;0;0;1;0;59;
SerialChannel6626611;org.vesalainen.comm.channel.SerialInputStream;SerialInputStream;class;2;16;2;0;0;9;3;114;
SerialChannel6626611;javax.comm.SerialPort;SerialPort;class;0;30;2;0;435;30;17;66;
SerialChannel6626611;org.vesalainen.comm.channel.RandomChar;RandomChar;class;0;7;1;0;9;7;4;69;
SerialChannel6626611;org.vesalainen.comm.channel.SerialSelectionKey;SerialSelectionKey;class;1;8;3;0;8;8;4;74;
SerialChannel6626611;org.vesalainen.comm.channel.SerialSelectorProvider;SerialSelectorProvider;class;2;7;2;0;21;7;1;67;
SerialChannel6626611;org.vesalainen.comm.channel.SpeedDetector;SpeedDetector;class;11;64;4;0;153;23;15;331;
SerialChannel6626611;javax.comm.CommPort;CommPort;class;0;20;1;2;190;20;1;36;
SerialChannel6626611;javax.comm.ParallelPortEventListener;ParallelPortEventListener;interface;0;1;1;0;0;1;0;6;
SerialChannel6626611;javax.comm.CommPortIdentifier;CommPortIdentifier;class;3;119;3;0;1769;63;16;564;
SerialChannel6626611;org.vesalainen.comm.channel.Receiver;Receiver;class;2;7;1;0;0;2;3;60;
SerialChannel6626611;org.vesalainen.comm.channel.SerialOutputStream;SerialOutputStream;class;2;12;2;0;0;6;2;83;
SerialChannel6626611;org.vesalainen.comm.channel.Transmitter;Transmitter;class;2;7;1;0;0;4;4;63;
SerialChannel6626611;javax.comm.PortInUseException;PortInUseException;class;0;2;3;0;1;2;1;12;
SerialChannel6626611;org.vesalainen.comm.channel.WinSerialChannel;WinSerialChannel;class;4;59;5;0;576;36;11;293;
SerialChannel6626611;javax.comm.ParallelPort;ParallelPort;class;0;12;2;0;66;12;6;27;
