file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
SimulationFrontEndViewer20474853;frontend.MenuManager;MenuManager;class;2;10;4;0;26;5;8;125;
SimulationFrontEndViewer20474853;visualization.HelloWorldWrapper;HelloWorldWrapper;class;17;8;1;0;1;2;2;63;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.ResultSetHelperService;ResultSetHelperService;class;2;49;1;0;55;11;5;156;
SimulationFrontEndViewer20474853;frontend.SimulationDisplay;SimulationDisplay;class;4;2;1;0;1;2;4;53;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.CSVReaderTest;CSVReaderTest;class;3;20;1;0;178;20;1;324;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.CSVParser;CSVParser;class;0;55;1;0;29;15;14;277;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.ResultSetHelperServiceTest;ResultSetHelperServiceTest;class;5;19;1;0;120;16;1;286;
SimulationFrontEndViewer20474853;backend.ParserControl;ParserControl;class;2;16;1;0;3;3;0;77;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.bean.HeaderColumnNameTranslateMappingStrategyTest;HeaderColumnNameTranslateMappingStrategyTest;class;4;3;1;0;3;3;0;81;
SimulationFrontEndViewer20474853;frontend.ButtonManager;ButtonManager;class;2;16;4;0;84;13;8;121;
SimulationFrontEndViewer20474853;integrationTest.issue3189428.CsvSample;CsvSample;class;6;42;1;0;100;17;6;158;
SimulationFrontEndViewer20474853;backend.ReflectionException;ReflectionException;class;0;3;4;0;3;3;0;22;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.CSVWriterTest;CSVWriterTest;class;4;26;1;0;190;20;0;327;
SimulationFrontEndViewer20474853;frontend.ViewFactory;ViewFactory;class;1;7;1;0;15;6;0;56;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.ResultSetHelper;ResultSetHelper;interface;0;2;1;0;1;2;0;27;
SimulationFrontEndViewer20474853;frontend.Main;Main;class;1;1;1;0;0;1;3;18;
SimulationFrontEndViewer20474853;frontend.WindowPanel;WindowPanel;class;3;8;5;0;9;5;4;50;
SimulationFrontEndViewer20474853;backend.CSVEntryParser;CSVEntryParser;interface;1;1;1;0;0;1;0;10;
SimulationFrontEndViewer20474853;integrationTest.issue2153020.DataReader;DataReader;class;1;3;1;0;0;1;1;32;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.MockResultSetHelper;MockResultSetHelper;class;1;3;1;0;0;3;2;37;
SimulationFrontEndViewer20474853;au.com.bytecode.opencsv.bean.HeaderColumnNameMappingStrategyTest;HeaderColumnNameMappingStrategyTest;class;5;4;1;0;4;4;1;64;
