file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
SoftEng-Project69708194;net.java.sip.communicator.gui.Client;Client;class;1;2;1;0;1;2;0;19;
SoftEng-Project69708194;net.java.sip.communicator.gui.MenuBar;MenuBar;class;1;14;5;0;34;12;6;177;
SoftEng-Project69708194;net.java.sip.communicator.gui.RegistrationSplash;RegistrationSplash;class;3;49;10;0;108;10;16;454;
SoftEng-Project69708194;gov.nist.sip.proxy.gui.ProxyLauncher;ProxyLauncher;class;9;26;6;0;62;10;24;300;
SoftEng-Project69708194;net.java.sip.communicator.gui.BillingSplash;BillingSplash;class;3;46;10;0;53;9;13;402;
SoftEng-Project69708194;gov.nist.sip.proxy.Registration_Server;Registration_Server;class;2;26;1;0;15;6;1;86;
SoftEng-Project69708194;net.java.sip.communicator.gui.BlockingSplash;BlockingSplash;class;3;52;10;0;61;9;15;429;
SoftEng-Project69708194;gov.nist.sip.proxy.Billing_Server;Billing_Server;class;2;35;1;0;36;9;1;147;
SoftEng-Project69708194;gov.nist.sip.proxy.Blocking_Server;Blocking_Server;class;2;49;1;0;21;7;1;155;
SoftEng-Project69708194;net.java.sip.communicator.SipCommunicator;SipCommunicator;class;35;92;1;0;0;29;7;894;
SoftEng-Project69708194;gov.nist.sip.proxy.Forwarding_Server;Forwarding_Server;class;3;46;1;0;21;7;1;145;
SoftEng-Project69708194;gov.nist.sip.proxy.Service_Provider;Service_Provider;class;5;42;1;0;1;2;0;147;
SoftEng-Project69708194;net.java.sip.communicator.gui.GuiManager;GuiManager;class;42;108;12;0;1197;53;27;710;
SoftEng-Project69708194;net.java.sip.communicator.gui.AuthenticationSplash;AuthenticationSplash;class;4;60;10;0;119;10;17;540;
SoftEng-Project69708194;gov.nist.sip.proxy.Proxy;Proxy;class;56;290;1;0;260;29;15;1253;
SoftEng-Project69708194;net.java.sip.communicator.gui.imp.MenuBar;MenuBar;class;0;9;5;0;8;9;4;115;
SoftEng-Project69708194;net.java.sip.communicator.gui.ForwardingSplash;ForwardingSplash;class;3;49;10;0;53;9;13;398;
SoftEng-Project69708194;gov.nist.sip.proxy.SQL_connection;SQL_connection;class;0;18;1;0;0;6;5;114;
