file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
TD-Game50459097;code.game.tests.StrategyNearestToEndPointTest;StrategyNearestToEndPointTest;class;7;1;1;0;0;1;0;46;
TD-Game50459097;code.game.models.GameMap;GameMap;class;4;69;2;0;98;25;7;354;
TD-Game50459097;code.game.models.TowerModel;TowerModel;class;2;24;2;0;91;19;12;194;
TD-Game50459097;code.game.tests.StrategyStrongestTest;StrategyStrongestTest;class;7;1;1;0;0;1;0;42;
TD-Game50459097;code.game.models.TowerImperial;TowerImperial;class;1;1;3;0;0;1;0;22;
TD-Game50459097;code.game.models.MapModel;MapModel;class;2;2;2;0;0;2;2;31;
TD-Game50459097;code.game.controllers.SingleGameController;SingleGameController;class;16;198;1;0;640;34;21;883;
TD-Game50459097;code.game.models.CritterIntermediate;CritterIntermediate;class;2;1;2;0;0;1;0;23;
TD-Game50459097;code.game.strategies.StrategyNearestToEndPoint;StrategyNearestToEndPoint;class;5;30;1;0;4;4;5;150;
TD-Game50459097;code.game.tests.UtilTest;UtilTest;class;3;13;1;0;55;11;0;128;
TD-Game50459097;code.game.tests.AllTests;AllTests;class;13;0;1;0;0;0;0;15;
TD-Game50459097;code.game.models.GameData;GameData;class;0;15;2;0;65;15;4;147;
TD-Game50459097;code.game.tests.GameMapTest;GameMapTest;class;9;6;1;0;10;5;0;133;
TD-Game50459097;code.game.utils.Util;Util;class;2;68;1;0;307;26;9;439;
TD-Game50459097;code.game.models.CritterAdvanced;CritterAdvanced;class;2;1;2;0;0;1;0;21;
TD-Game50459097;code.game.strategies.StrategyStrongest;StrategyStrongest;class;5;43;1;0;3;3;3;140;
TD-Game50459097;code.game.models.TowerIndustrial;TowerIndustrial;class;1;1;3;0;0;1;0;22;
TD-Game50459097;code.game.models.TowerCastle;TowerCastle;class;1;1;3;0;0;1;0;26;
TD-Game50459097;code.game.strategies.StrategyWeakest;StrategyWeakest;class;5;43;1;0;3;3;3;139;
TD-Game50459097;code.game.strategies.TowerStrategy;TowerStrategy;interface;2;2;1;0;1;2;0;23;
TD-Game50459097;code.game.tests.StrategyWeakestTest;StrategyWeakestTest;class;7;1;1;0;0;1;0;42;
TD-Game50459097;code.game.models.CritterBasic;CritterBasic;class;2;1;2;0;0;1;0;22;
TD-Game50459097;code.game.tests.SingleGameControllerTest;SingleGameControllerTest;class;11;9;1;0;36;9;0;196;
TD-Game50459097;code.game.tests.MapLoggerTest;MapLoggerTest;class;3;2;1;0;1;2;0;50;
TD-Game50459097;code.game.models.CritterFactory;CritterFactory;class;5;4;1;0;0;1;0;33;
TD-Game50459097;code.game.tests.StrategyNearestTest;StrategyNearestTest;class;8;3;1;0;3;3;0;96;
TD-Game50459097;code.game.tests.CritterFactoryTest;CritterFactoryTest;class;4;1;1;0;0;1;0;29;
TD-Game50459097;code.game.strategies.StrategyNearest;StrategyNearest;class;5;28;1;0;4;4;3;141;
TD-Game50459097;code.game.models.MapLogger;MapLogger;class;0;15;1;1;62;13;7;127;
TD-Game50459097;code.game.TDGameMain2;TDGameMain2;class;5;46;1;0;98;10;13;490;
TD-Game50459097;code.game.tests.TDGameMain2Test;TDGameMain2Test;class;4;1;1;0;0;1;0;28;
TD-Game50459097;code.game.models.Critter;Critter;class;1;23;1;3;155;23;12;215;
