file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
photoFlags15893472;EyeDropper;EyeDropper;class;2;17;1;0;4;4;16;84;
photoFlags15893472;Pear;Pear;class;0;3;5;0;1;3;2;110;
photoFlags15893472;FlagWatch;FlagWatch;class;8;260;1;0;17;11;33;931;
photoFlags15893472;FlagCast;FlagCast;class;4;161;5;0;54;17;28;622;
photoFlags15893472;guiControl;guiControl;class;6;75;2;0;15;9;17;395;
photoFlags15893472;Mast;Mast;class;2;3;5;0;0;1;3;39;
photoFlags15893472;SmallScreen;SmallScreen;class;0;3;5;0;0;3;2;18;
photoFlags15893472;IconJAI;IconJAI;class;1;24;1;0;0;4;20;182;
photoFlags15893472;ShapePanel;ShapePanel;class;0;2;5;0;1;2;4;31;
photoFlags15893472;Entrance;Entrance;class;2;7;1;0;0;4;4;57;
