file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.jaxws.MakeCall;MakeCall;class;0;4;1;0;2;4;2;50;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.WebAction;WebAction;class;5;8;2;0;1;2;1;62;
prism-samples720921;com.micromethod.sipmethod.sample.b2bua.B2BUA;B2BUA;class;10;25;2;0;4;4;5;164;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.AddressManagerClient;AddressManagerClient;class;7;21;1;0;10;5;0;81;
prism-samples720921;com.voxeo.sipmethod.sample.xmppecho.Roster;Roster;class;1;4;1;0;0;4;1;18;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.Click2DialImplService;Click2DialImplService;class;1;6;2;0;6;4;1;55;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.RemoveRegisterResponse;RemoveRegisterResponse;class;0;2;1;0;0;2;1;46;
prism-samples720921;multiparty.MinimalConferenceServlet;MinimalConferenceServlet;class;15;10;2;0;4;4;3;109;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.Click2DialImpl;Click2DialImpl;class;3;7;1;0;0;1;1;29;
prism-samples720921;com.micromethod.sipmethod.sample.vxml.AnnouncerServlet;AnnouncerServlet;class;13;40;2;0;4;5;7;174;
prism-samples720921;multiparty.ConferenceSession;ConferenceSession;class;3;7;1;0;0;5;4;70;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.SipAgent;SipAgent;interface;1;2;1;0;1;2;0;8;
prism-samples720921;com.voxeo.sipmethod.sample.xmppecho.RosterProvider;RosterProvider;class;8;19;1;0;15;6;0;81;
prism-samples720921;voicemail.VxmlMailSession;VxmlMailSession;class;10;18;2;0;0;6;4;100;
prism-samples720921;com.micromethod.sipmethod.sample.findme.FindMeServlet;FindMeServlet;class;9;12;2;0;19;7;3;113;
prism-samples720921;com.voxeo.prism.sample.PrismServlet;PrismServlet;class;35;94;2;0;150;20;12;529;
prism-samples720921;com.voxeo.prism.sample.multiparty.MixerManager;MixerManager;class;11;17;1;0;0;5;3;71;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.MapWrapper;MapWrapper;class;2;9;1;0;1;7;4;215;
prism-samples720921;basic.PlayerServlet;PlayerServlet;class;21;41;2;1;47;11;10;284;
prism-samples720921;multiparty.Participant;Participant;class;32;43;1;0;38;16;9;252;
prism-samples720921;basic.PromptAndCollectServlet;PromptAndCollectServlet;class;12;6;3;0;1;3;3;84;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.SipAgentImpl;SipAgentImpl;class;14;98;1;0;91;15;4;398;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.AddressManagerImpl;AddressManagerImpl;class;6;11;1;0;0;2;1;48;
prism-samples720921;com.voxeo.prism.sample.multiparty.Participant;Participant;class;24;40;1;0;17;11;12;179;
prism-samples720921;com.voxeo.sipmethod.sample.xmppecho.Item;Item;class;1;24;1;0;17;11;4;62;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.Options;Options;class;0;106;1;0;38;13;3;249;
prism-samples720921;voicemail.CoreMailbox;CoreMailbox;class;2;23;1;0;0;9;9;117;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.AddressManagerService;AddressManagerService;class;1;6;2;0;6;4;1;55;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.RemoveRegister;RemoveRegister;class;0;2;1;0;0;2;1;52;
prism-samples720921;com.micromethod.sipmethod.sample.ar.SipForwardApplicationRouter;SipForwardApplicationRouter;class;9;29;1;0;22;8;2;133;
prism-samples720921;voicemail.VoiceMailSession;VoiceMailSession;class;12;14;1;1;9;6;5;100;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.MakeCallResponse;MakeCallResponse;class;0;2;1;0;0;2;1;54;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.Options;Options;class;0;106;1;0;38;13;3;249;
prism-samples720921;com.voxeo.sipmethod.sample.xmppclient.MyXmppConnectionListener;MyXmppConnectionListener;class;4;11;1;0;3;3;0;58;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.ObjectFactory;ObjectFactory;class;7;13;1;0;78;13;5;122;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.GetRegisteredAddresses;GetRegisteredAddresses;class;0;0;1;0;0;0;0;26;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.jaxws.MakeCallResponse;MakeCallResponse;class;0;2;1;0;0;2;1;29;
prism-samples720921;com.voxeo.prism.sample.multiparty.ConferenceServlet;ConferenceServlet;class;12;24;2;0;21;7;2;121;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.Registrar;Registrar;class;8;6;2;0;0;2;2;69;
prism-samples720921;com.voxeo.sipmethod.sample.convergence.SimpleImServerXmppServlet;SimpleImServerXmppServlet;class;20;56;2;0;25;10;8;342;
prism-samples720921;voicemail.VoiceMailServlet;VoiceMailServlet;class;8;8;2;0;1;3;2;69;
prism-samples720921;com.voxeo.sipmethod.sample.convergence.HttpClient;HttpClient;class;0;9;1;0;1;2;0;41;
prism-samples720921;com.voxeo.sipmethod.sample.xmppclient.XMPPClientHTTPServlet;XMPPClientHTTPServlet;class;8;8;2;0;1;3;3;104;
prism-samples720921;basic.AsyncPlayerServlet;AsyncPlayerServlet;class;11;10;3;0;4;4;3;90;
prism-samples720921;multiparty.ConferenceServlet;ConferenceServlet;class;10;10;2;0;0;6;3;108;
prism-samples720921;com.voxeo.sipmethod.sample.convergence.ReceiveMessageSIPServlet;ReceiveMessageSIPServlet;class;14;40;2;0;11;6;9;199;
prism-samples720921;com.voxeo.sipmethod.sample.convergence.ExposeURLServlet;ExposeURLServlet;class;11;13;2;0;1;3;4;104;
prism-samples720921;com.micromethod.sipmethod.sample.echo.EchoServlet;EchoServlet;class;13;28;2;0;26;8;2;186;
prism-samples720921;voicemail.CoreMailSession;CoreMailSession;class;28;101;2;0;0;38;81;713;
prism-samples720921;com.micromethod.sipmethod.sample.ar.SipForwardApplicationRouterProvider;SipForwardApplicationRouterProvider;class;3;2;2;0;1;2;1;13;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.MakeCall;MakeCall;class;0;4;1;0;2;4;2;77;
prism-samples720921;com.micromethod.sipmethod.sample.userjoin.UserJoinServlet;UserJoinServlet;class;9;38;2;0;41;10;3;193;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.Click2DialClient;Click2DialClient;class;4;8;1;0;3;3;0;43;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.QueryAddressServlet;QueryAddressServlet;class;5;10;2;0;1;2;1;75;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.AddressManager;AddressManager;interface;2;2;1;0;1;2;0;43;
prism-samples720921;com.micromethod.sipmethod.sample.clicktodial.SipListener;SipListener;interface;2;2;1;0;1;2;0;10;
prism-samples720921;com.voxeo.sipmethod.sample.registrar.GetRegisteredAddressesResponse;GetRegisteredAddressesResponse;class;1;2;1;0;0;2;1;54;
prism-samples720921;com.micromethod.sipmethod.sample.b2bua.B2BUAByB2buaHelper;B2BUAByB2buaHelper;class;11;32;2;0;13;6;5;190;
