file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.api.Router;Router;interface;6;44;1;0;946;44;0;84;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.socks.SocksServerNetLayerFactory;SocksServerNetLayerFactory;class;6;5;1;0;0;1;1;78;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.tool.CheckNetConnectivity;CheckNetConnectivity;class;5;17;1;0;1;3;2;169;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.api.util.IpNetAddress;IpNetAddress;class;4;40;1;0;25;11;3;233;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.util.Encoding;Encoding;class;2;65;1;0;120;17;7;494;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.nameservice.tor.TorNetAddressNameService;TorNetAddressNameService;class;6;21;1;0;0;4;2;154;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.circuit.CircuitAdmin;CircuitAdmin;class;15;118;1;0;7;9;5;638;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.api.NetAddress;NetAddress;interface;0;0;1;0;0;0;0;21;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.util.HttpUtilResponseReceiverThread;HttpUtilResponseReceiverThread;class;4;9;2;0;0;5;6;106;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.circuit.cells.CellRelayExtend;CellRelayExtend;class;6;3;4;0;0;1;1;87;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.api.util.JavaVersion;JavaVersion;enum;2;13;1;0;1;3;3;77;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.circuit.Node;Node;class;7;67;1;0;90;21;16;496;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.echo.Echo2NetSocket;Echo2NetSocket;class;2;4;1;0;0;4;1;53;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.util.StringStorage;StringStorage;interface;0;2;1;0;1;2;0;53;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.directory.DirectoryConsensus;DirectoryConsensus;class;9;53;1;0;22;12;7;315;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.adapter.url.impl.net.http.NetworkClient;NetworkClient;class;5;27;1;0;38;12;10;248;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.util.TempJCERSAPrivateCrtKey;TempJCERSAPrivateCrtKey;class;7;20;2;0;60;16;7;215;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.hiddenservice.HiddenServiceDescriptorCache;HiddenServiceDescriptorCache;class;3;19;1;0;0;6;3;167;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.control.ControlInputStream;ControlInputStream;class;2;10;2;0;0;10;2;185;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.logger.LoggingOutputStream;LoggingOutputStream;class;2;16;3;0;0;5;1;140;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.circuit.cells.CellRelayEarly;CellRelayEarly;class;2;1;3;1;0;1;0;56;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.util.PropertiesUtil;PropertiesUtil;class;2;43;1;0;8;5;2;218;
silvertunnel-monteux28567222;com.rovemonteux.silvertunnel.netlib.layer.tor.util.NodeType;NodeType;enum;0;0;1;0;0;0;0;27;
