file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.socket.InvalidSocketAddress;InvalidSocketAddress;class;0;0;2;0;0;0;1;31;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.nameservice.inetaddressimpl.DefaultIpNetAddressNameService;DefaultIpNetAddressNameService;class;6;38;1;0;7;6;7;299;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.url.URLUtil;URLUtil;class;3;1;1;0;0;1;1;76;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.directory.AuthorityKeyCertificate;AuthorityKeyCertificate;class;6;19;1;0;10;9;9;209;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.util.ByteUtils;ByteUtils;class;1;28;1;0;24;8;2;187;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.impl.ServerSocket2NetServerSocket;ServerSocket2NetServerSocket;class;3;3;1;0;0;3;1;47;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.circuit.TLSConnectionAdmin;TLSConnectionAdmin;class;7;25;1;0;0;6;5;214;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.HttpTestUtilRemoteTest;HttpTestUtilRemoteTest;class;6;4;1;0;1;2;1;78;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.url.impl.net.http.NetworkClient;NetworkClient;class;5;27;1;0;38;12;10;248;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.socks.Socks5RemoteTest;Socks5RemoteTest;class;10;4;1;0;1;2;1;88;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.util.UtilTest;UtilTest;class;2;40;1;0;15;6;0;187;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.util.NtpMessage;NtpMessage;class;1;47;1;0;379;35;13;576;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.socket.PatchedSocketAddress;PatchedSocketAddress;class;0;1;3;0;0;1;1;53;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.url.NetlibURLStreamHandlerFactory;NetlibURLStreamHandlerFactory;class;5;18;1;0;4;8;4;207;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.util.ByteArrayUtil;ByteArrayUtil;class;4;26;1;0;26;8;2;218;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.nameservice.NameServiceGlobalUtil;NameServiceGlobalUtil;class;6;37;1;0;10;8;5;363;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.directory.RouterParserCallable;RouterParserCallable;class;4;3;1;0;0;2;2;58;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.url.impl.net.http.NTLMAuthentication;NTLMAuthentication;class;1;2;4;0;1;2;1;36;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.redirect.SwitchingNetLayer;SwitchingNetLayer;class;10;28;1;0;5;14;5;223;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.experimental.TcpipServer;TcpipServer;class;4;5;2;0;0;4;6;80;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.circuit.CircuitAdmin;CircuitAdmin;class;15;124;1;0;7;9;5;532;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.directory.DirectoryConsensusFetcher;DirectoryConsensusFetcher;class;7;22;1;0;0;2;4;150;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.java.JvmGlobalUtilRemoteTest;JvmGlobalUtilRemoteTest;class;6;12;1;0;13;10;5;224;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.nameservice.NameServiceNetlibJava6;NameServiceNetlibJava6;class;3;3;1;0;0;3;1;66;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.nameservice.cache.CacheEntry;CacheEntry;class;4;17;1;0;1;11;3;117;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.DynamicTorconfigRemoteTest;DynamicTorconfigRemoteTest;class;6;1;1;0;0;1;1;97;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.stream.ResolveStream;ResolveStream;class;13;13;2;0;1;2;2;102;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.common.TCPStreamProperties;TCPStreamProperties;class;5;60;1;0;551;38;17;427;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.common.TorX509TrustManager;TorX509TrustManager;class;2;16;1;0;4;4;2;99;
silvertunnel-ng52732011;android.net.Credentials;Credentials;class;0;4;1;0;0;4;3;42;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.directory.AuthorityServers;AuthorityServers;class;7;17;1;0;6;4;4;213;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.util.RSAKeyEncoder;RSAKeyEncoder;class;6;20;1;0;34;9;3;135;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.ApiClientLocalTest;ApiClientLocalTest;class;12;2;1;0;1;2;1;91;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.mock.MockNetLayerLocalTest;MockNetLayerLocalTest;class;1;0;2;0;0;0;0;22;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.redirect.ConditionalNetLayer;ConditionalNetLayer;class;12;43;1;0;65;14;3;256;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.adapter.url.HttpHttpsRemoteTest;HttpHttpsRemoteTest;class;10;13;1;0;11;7;3;168;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.impl.DataNetSocketUtil;DataNetSocketUtil;class;2;1;1;0;0;1;0;43;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.impl.SocketTimeoutInputStream;SocketTimeoutInputStream;class;4;44;3;0;21;10;10;278;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.stream.TCPStreamThreadJava2TorThread;TCPStreamThreadJava2TorThread;class;4;14;2;0;0;3;5;110;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.TorExitHostnameRemoteTest;TorExitHostnameRemoteTest;class;8;9;2;0;3;3;3;98;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.control.ControlParameters;ControlParameters;class;1;14;1;0;15;14;14;146;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.circuit.CircuitHistory;CircuitHistory;class;1;50;1;0;16;9;10;247;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.redirect.SwitchingNetSocket;SwitchingNetSocket;class;2;10;1;0;0;6;3;85;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.TorHiddenServiceClientRemoteTest;TorHiddenServiceClientRemoteTest;class;8;17;2;0;21;7;6;168;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.api.NetServerSocket;NetServerSocket;interface;1;2;1;0;1;2;0;31;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.TestNGDependencyLocalTest;TestNGDependencyLocalTest;class;3;4;1;0;0;4;2;61;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.tor.directory.GuardEntry;GuardEntry;class;4;3;1;0;1;3;4;56;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.layer.control.ControlNetLayerLocalTest;ControlNetLayerLocalTest;class;11;11;1;0;8;8;12;288;
silvertunnel-ng52732011;org.silvertunnel_ng.netlib.util.ByteArrayUtilLocalTest;ByteArrayUtilLocalTest;class;2;1;1;0;0;1;0;60;
