file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
simple-huawei4780361;views.CallDialog;CallDialog;class;1;15;6;0;0;6;7;132;
simple-huawei4780361;views.SplashScreen;SplashScreen;class;0;2;6;0;0;1;1;35;
simple-huawei4780361;views.Window;Window;class;2;58;6;0;192;8;60;676;
simple-huawei4780361;models.Phone;Phone;class;0;9;1;0;0;6;3;65;
simple-huawei4780361;models.UDPHandler;UDPHandler;class;2;15;1;0;11;11;6;110;
simple-huawei4780361;models.Command;Command;class;0;8;1;0;0;7;3;50;
simple-huawei4780361;models.Preferences;Preferences;class;0;9;1;0;12;9;4;90;
simple-huawei4780361;operations.ConfigReader;ConfigReader;class;2;7;1;0;0;2;1;47;
simple-huawei4780361;operations.SerialInterface;SerialInterface;class;10;42;1;0;94;20;13;301;
simple-huawei4780361;events.InterfaceEvents;InterfaceEvents;class;1;17;1;0;66;12;0;67;
simple-huawei4780361;operations.PrefReader;PrefReader;class;1;3;1;0;0;1;0;38;
simple-huawei4780361;models.TCPServer;TCPServer;class;1;2;2;0;0;2;2;34;
simple-huawei4780361;operations.Application;Application;class;5;16;1;0;26;8;8;100;
simple-huawei4780361;operations.CommandProcessor;CommandProcessor;class;0;35;1;0;0;1;1;124;
simple-huawei4780361;models.TCPHandler;TCPHandler;class;2;15;1;0;11;11;6;110;
simple-huawei4780361;models.Keys;Keys;class;0;0;1;0;0;0;2;16;
simple-huawei4780361;models.TCPClient;TCPClient;class;1;13;2;0;36;13;5;92;
simple-huawei4780361;models.UDPClient;UDPClient;class;1;13;2;0;36;13;5;92;
simple-huawei4780361;models.InternetService;InternetService;class;0;3;1;3;0;3;2;37;
simple-huawei4780361;operations.StatusRequester;StatusRequester;class;0;8;1;0;0;2;2;44;
