file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.stat.DataAndType;DataAndType;class;1;55;1;0;119;27;11;231;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.stat.LinkDBHelper;LinkDBHelper;class;4;18;1;0;21;4;1;215;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.test.ExtractPackagePrefix;ExtractPackagePrefix;class;0;6;1;0;0;1;1;36;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.JimpleIndexNumberTag;JimpleIndexNumberTag;class;2;5;1;0;0;5;2;31;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.links.ICCLinker;ICCLinker;class;6;55;1;0;28;8;0;218;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.stat.IntentDB;IntentDB;class;3;38;1;0;264;25;12;141;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.sharedpreferences.StmtWrapper;StmtWrapper;class;2;2;1;0;1;2;2;14;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.util.StringUtil;StringUtil;class;0;3;1;0;0;1;0;11;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.stat.IntentFilterDB;IntentFilterDB;class;3;36;1;0;79;15;7;127;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.db.ConnectionType;ConnectionType;enum;0;0;1;0;0;0;0;6;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.todb.StmtTable;StmtTable;class;0;16;1;0;104;16;8;60;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.Component;Component;class;2;13;1;0;1;2;1;38;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.iac.IGraphDump;IGraphDump;interface;0;1;1;0;0;1;0;5;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.data.parsers.IPermissionMethodParser;IPermissionMethodParser;interface;1;1;1;0;0;1;0;24;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.todb.ToDBHelper;ToDBHelper;class;1;29;1;0;36;5;0;122;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.util.Constants;Constants;class;0;0;1;0;0;0;19;24;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.sharedpreferences.SootHelper;SootHelper;class;20;31;1;0;36;9;0;146;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.iac.Node;Node;class;2;14;1;0;13;10;4;64;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.ICCRedirectionCreator;ICCRedirectionCreator;class;23;41;1;0;17;11;8;524;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.stat.ApplicationDB;ApplicationDB;class;1;0;1;0;0;0;1;7;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.intentandfilter.IntentMatchFilterTest;IntentMatchFilterTest;class;5;16;1;0;36;9;0;161;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.test.TestWrapper;TestWrapper;class;0;3;1;0;0;1;0;30;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.util.AndroidHelper;AndroidHelper;class;1;31;1;0;0;3;2;104;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.util.ICCMethodHelper;ICCMethodHelper;class;3;17;1;0;1;2;1;64;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.db.DBAdapter;DBAdapter;class;0;6;1;0;1;2;0;40;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.db.ConnectionByC3P0;ConnectionByC3P0;class;6;21;1;0;2;5;3;106;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.sharedpreferences.SharedPreferencesHelper;SharedPreferencesHelper;class;13;16;1;0;0;3;2;97;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.sharedpreferences.SharedPreferencesUpdater;SharedPreferencesUpdater;class;17;70;1;0;15;6;0;265;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.iac.NodeUtil;NodeUtil;class;2;10;1;0;1;2;0;47;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.TestApps.FlowDroidLauncher;FlowDroidLauncher;class;20;199;1;0;264;17;12;653;
soot-infoflow-android-iccta18666693;soot.jimple.infoflow.android.iccta.todb.IccStmtTable;IccStmtTable;class;0;6;1;0;9;6;3;25;
