file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.DiscoveryClient;DiscoveryClient;class;5;43;4;0;31;10;14;232;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.NetworkGameManager;NetworkGameManager;class;6;75;2;0;95;18;3;328;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.TimedProgressBar;TimedProgressBar;class;3;13;4;0;0;5;5;77;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.Connection;Connection;class;4;74;1;5;276;28;10;209;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.ITouchListener;ITouchListener;interface;0;2;1;0;1;2;0;11;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.TcpClient;TcpClient;class;4;29;2;0;2;4;6;130;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.GameView;GameView;class;7;47;2;0;35;14;4;174;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.IGameModelListener;IGameModelListener;interface;0;4;1;0;6;4;0;18;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.SettingsView;SettingsView;class;10;24;2;0;0;7;13;146;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.UdpClient;UdpClient;class;5;17;2;0;6;4;3;91;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.Main;Main;class;4;8;2;0;8;5;3;68;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.TextLabel;TextLabel;class;3;14;2;0;5;6;10;91;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.MainView;MainView;class;21;114;2;0;15;18;37;491;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.Button;Button;class;3;23;1;0;5;7;10;114;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.ConnectionManager;ConnectionManager;class;9;70;2;0;39;18;10;256;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.GameModel;GameModel;class;3;134;1;0;44;20;17;468;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.UdpServer;UdpServer;class;6;24;2;0;5;5;4;119;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.TcpServer;TcpServer;class;6;33;2;0;0;4;6;146;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.MinimaxAI;MinimaxAI;class;3;73;1;0;1;6;8;293;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.AboutView;AboutView;class;3;1;2;0;0;1;3;32;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.ProgressBar;ProgressBar;class;2;8;2;1;0;4;7;57;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.console.Console;Console;class;5;13;2;0;2;4;3;74;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.AbstractGameManager;AbstractGameManager;class;0;6;1;2;15;6;3;43;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.connectivity.DiscoveryServer;DiscoveryServer;class;4;35;3;0;30;9;4;136;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.BasicGameManager;BasicGameManager;class;6;22;2;0;20;8;3;121;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.engine.ITicTacToeAI;ITicTacToeAI;interface;2;1;1;0;0;1;0;10;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.GameGrid;GameGrid;class;10;82;2;0;24;13;15;385;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.Splash;Splash;class;5;9;2;0;6;4;4;83;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.console.TextWrapper;TextWrapper;class;2;49;1;0;28;13;10;197;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.console.Log;Log;class;2;20;1;0;5;7;4;101;
tic-tac-toe-jme13951958;com.nokia.example.tictactoe.ui.InfoLabel;InfoLabel;class;3;7;3;0;0;2;1;37;
